"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Ulmus","Apiaceae","Utricularia","Fabaceae","Amaranthaceae","Sanguisorba-type","Plantago media-type","Cedrus","Cyperaceae","Juniperus","Olea","Cladium mariscus","Pistacia","Quercus cerris-type","Nymphaea","Sparganium-type","Poaceae","Quercus coccifera-type","Pinus","Ericaceae","Plantago undiff.","Platanus","Polygonum aviculare-type","Xanthium","Potamogeton","Rumex acetosa-type","Helianthemum","Poaceae (Cerealia-type)","Brassica-type","Phillyrea","Mercurialis annua","Unknown","Cichorioideae","Vitis","Matricaria-type","Lythrum","Stachys-type","Rumex hydrolapathum","Crocus","Botrychium","Caryophyllaceae","Centaurea solstitialis-type","Asperula-type","Plantago lanceolata-type","Triglochin","Betula","Trifolium-type","Oleaceae","Rhinanthus-type","Myriophyllum spicatum/M. verticillatum","Euphorbia","Alnus","Juglans","Asteroideae","Galium-type","Cirsium/Gundelia","Thymus/Mentha","Pimpinella-type","Ranunculus sect. Batrachium-type","Senecio-type","Artemisia herba-alba-type","Hymenophyllum","Caltha","Fagus","Scrophulariaceae","Rosaceae","Lotus-type","Hedera","Teucrium","Genista-type","Capsella-type","Ephedra fragilis-type","Noaea-type","Arctium/Jurinea","Ranunculus sceleratus-type","Phyteuma-type","Ophioglossum","Pteridium","Dryopteris-type","Citrus","Prunus-type","Polypodium","Humulus/Cannabis","Castanea","Thalictrum","Filipendula","Scrophularia/Verbascum","Brassicaceae","Primulaceae","Vicia-type","Theligonum","Artemisia vulgaris-type","Typha latifolia","Clematis-type","Centaurea cyanus-type","Viburnum-type","Apium-type","Sanicula","Celtis","Fraxinus ornus","Ostrya/Carpinus orientalis","Bunium-type","Equisetum","Corylus","Cornus mas","Rheum","Malva","Plantago maritima-type","Carduus-type","Urtica","Cuscuta","Unknown (trilete)","Osmunda regalis","Cheilanthes","Convolvulus","Aquilegia-type","Arceuthobium oxycedri","Hyoscyamus","Isoëtes","Tamarix","Anemone","Pteris","Carthamus","Iris","Datisca","Asphodelus","Spinacia-type","Asplenium","Plantago coronopus-type","Lonicera","Scabiosa undiff.","Scorzonera-type","Lomelosia rotata-type","Abies","Allium","Rhus","Taxus","Sanguisorba officinalis","Cistus","Arbutus","Potentilla-type","Dipsacoideae","Sphagnum","Thelypteris palustris","Liliaceae","Ferula-type","Quercus ilex-type","Gentiana","Ephedra distachya-type","Filago-type"
1154,1478,830,65,1,1,1,1,1,1,1,1,2,3,3,3,5,6,7,8,12,12,15,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1292,1597,982,80,4,NA,1,NA,1,2,6,NA,6,3,NA,4,5,4,14,13,18,31,29,156,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1476,1757,1184,100,NA,NA,NA,NA,NA,NA,3,NA,3,4,NA,1,2,NA,8,65,71,20,10,60,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1660,1918,1385,120,NA,1,NA,1,NA,1,1,NA,1,6,NA,NA,3,2,6,54,5,20,5,89,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2120,2340,1875,170,NA,NA,NA,NA,NA,NA,4,NA,3,6,NA,NA,4,1,3,NA,5,7,2,111,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2212,2430,1970,180,1,1,NA,NA,NA,NA,1,NA,1,13,NA,NA,16,1,3,24,13,100,3,51,NA,NA,NA,NA,NA,7,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2579,2804,2343,220,NA,NA,NA,NA,NA,NA,2,NA,NA,30,1,5,5,NA,7,10,23,25,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,3,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2763,2996,2522,240,NA,NA,3,NA,NA,1,1,NA,2,61,2,7,13,NA,28,18,38,36,18,37,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,31,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3177,3439,2915,285,12,1,2,NA,1,3,48,NA,21,52,1,169,60,2,60,NA,15,55,61,33,NA,NA,1,NA,NA,NA,NA,1,4,7,NA,NA,NA,8,NA,1,2,2,NA,NA,NA,NA,2,5,5,NA,NA,NA,15,NA,NA,NA,1,2,6,5,3,NA,NA,NA,8,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3315,3588,3046,300,3,1,NA,NA,NA,7,7,NA,1,48,NA,10,12,NA,9,2,28,5,9,38,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
