Sample Age (cal yr BP) [cal yr BP],depth,Sample name [],Abies,Acacia,Acer,Aizoaceae,Alnus,Chenopodiaceae/Amaranthaceae,Anthoceros,Apiaceae,Armeria,Artemisia,Asteraceae,Betula,Boscia senegalensis,Brassicaceae,Cadaba,Calligonum,Campanulaceae,Capparis,Cassia,Centaurea t.melitensis,Centaurea,Convovulus,Chorchorus,Cordia,Corylus,Cupressaceae,Cyperaceae,Ephedra t.major,Erica t.arborea,Euphorbia,Fabaceae,Fagonia,Fagus,Gymnogramma,Helianthemum,Lamiaceae,Lamiaceae (tricolpate),Limonium,Lythraceae,Liliaceae,t.Muscari,t.Gladiolus,Spores monoletes,Myrtus nivellei,Nerium oleander,Nyctagynaceae,Olea,Peganum,Pinus bis,Pinus t.sylvestris,Pistacia t.atlantica,Poaceae,Polycarpaea,Polygala,Polygonum t.persicaria,Quercus caducifolie,Quercus t.ilex,Quercus t.suber,Rhus,Rubiaceae,Rumex,Ruta (montana),Salix,Solanaceae,Sparganium,Tamarix,t.Anchusa,t. cereales,Thalictrum,Tilia,t.Lathyrus/Vicia,t.Lavandula,t.Peplis,t.Potentilla,Trichodesma,Spores triletes,t.Silene,Typha,Ulmus,Urticaceae,Zizyphus
,,Va,1,0,3,0,1,32,0,24,1,59,22,0,0,9,0,0,2,0,0,0,0,0,0,0,28,1,11,21,0,0,0,0,0,0,0,1,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,11,0,0,0,2,0,4,0,2,2,0,0,0,3,0,0,1,1,11,0,1,1,1,11,0,6,0,6,0,2
,,Vb,0,0,0,2,5,7,0,7,0,5,5,2,0,7,0,0,0,0,0,0,1,1,0,0,0,0,12,0,2,0,0,2,2,0,0,0,2,0,1,0,3,0,10,0,0,0,3,0,2,0,2,29,2,0,0,2,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,,Vc,0,0,0,0,0,21,0,34,0,77,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,2
,,Vd,0,2,0,3,17,0,2,25,0,6,16,0,0,17,2,2,0,2,2,0,0,0,1,2,0,0,15,0,2,0,0,5,0,0,2,0,2,2,0,0,2,0,11,0,0,1,4,0,2,0,4,82,0,0,2,0,3,0,0,2,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,3,0,2,2
,,Ve,0,0,0,0,0,8,2,2,0,8,2,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,8,0,16,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,83,0,0,0,220,51,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,2
5367,V,TOTAL V,1,2,3,5,23,68,4,92,1,155,45,2,0,37,2,2,4,2,2,0,3,3,1,2,28,1,49,27,22,0,0,7,2,1,2,1,4,2,1,0,7,3,33,0,0,1,119,0,4,8,226,179,2,0,2,4,6,4,0,6,7,0,1,2,3,3,1,1,1,11,0,5,1,1,167,2,6,5,6,2,8
,,IV,0,1,0,0,0,40,1,2,0,40,15,0,0,14,0,1,0,0,0,2,0,2,0,0,0,1,20,1,10,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,631,0,0,0,284,226,0,0,2,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1,2,0,0,2,0,2,2,0,0,0
,,III,0,0,0,0,0,25,4,3,0,3,4,0,0,19,0,0,0,0,0,3,0,4,0,0,0,0,16,8,20,0,3,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1282,3,0,0,326,165,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0
,,II,0,0,0,0,0,36,1,10,0,32,25,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,658,1,0,0,304,274,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,6,1,0,0,0,0,7,0,0,0,0
5655,I,I,0,0,0,0,0,46,1,8,0,41,18,0,2,54,0,2,1,0,1,8,0,0,0,0,0,0,30,2,16,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,466,0,0,0,517,204,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,1,0,0,0,0
