"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Caryophyllaceae","Cichorioideae","Liliaceae undiff.","Alnus","Fraxinus","Urtica dioica-type","Fabaceae undiff.","Apiaceae","Amaranthaceae","Asteroideae","Plantago lanceolata-type","Rumex acetosa-type","Arbutus unedo","Rumex acetosella-type","Phillyrea","Pteridium aquilinum","Sporormiella","Fungi (type 18, HdV)","Corylus","Salix","Lamiaceae","Calluna vulgaris","Daphne gnidium-type","Cyperaceae","Sordaria","Cytisus/Genista-type","Quercus pyrenaica-type","Pinus sylvestris-type","Quercus ilex-type","Cistus ladanifer-type","Poaceae","Olea europaea","Byssothecium circinans","Pinus pinaster","Erica arborea-type","Betula","Asphodelus albus-type","Lonicera","Poaceae (Cerealia-type)"
-19,NA,NA,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,8,9,11,13,13,16,19,21,53,133,NA,NA,NA,NA
49,NA,NA,4,2,2,NA,NA,2,2,1,2,1,3,1,3,3,3,3,4,2,3,4,2,3,3,5,5,7,6,7,8,3,9,12,21,23,18,29,141,NA,NA,NA,NA
119,NA,NA,6,1,1,NA,NA,1,2,NA,3,1,3,3,2,2,4,2,2,3,4,5,1,5,5,4,5,11,5,8,7,2,11,15,23,21,23,2,153,2,NA,NA,NA
191,NA,NA,8,NA,3,NA,NA,2,1,NA,2,1,2,3,4,4,3,4,4,5,5,13,2,6,4,6,3,35,4,7,9,4,8,17,15,2,6,3,134,1,NA,NA,NA
266,NA,NA,10,11,2,3,NA,1,3,NA,3,1,1,3,3,3,2,3,9,6,7,7,3,NA,4,13,2,6,5,6,2,3,21,26,14,1,21,4,156,NA,NA,NA,NA
346,NA,NA,12,NA,2,2,2,NA,NA,NA,1,2,4,2,3,1,4,5,5,4,6,24,2,4,3,4,4,43,6,7,8,3,7,11,23,2,6,3,167,NA,2,NA,NA
430,NA,NA,14,NA,4,1,3,NA,NA,2,4,1,3,5,NA,3,3,4,4,6,5,25,3,3,2,3,3,50,5,6,7,2,6,9,22,NA,8,2,129,NA,1,1,NA
520,NA,NA,16,3,3,3,1,2,1,1,3,2,2,4,NA,3,5,3,5,7,8,15,4,4,5,4,4,39,4,7,9,1,5,8,18,2,9,NA,189,NA,NA,NA,NA
617,NA,NA,18,2,2,2,1,3,2,3,2,3,4,5,3,2,NA,4,3,6,8,18,2,5,4,5,2,23,6,5,7,3,7,12,30,1,3,NA,211,1,NA,NA,2
722,NA,NA,20,NA,1,1,NA,NA,1,NA,4,3,3,4,4,1,NA,3,2,7,7,22,1,4,6,4,3,33,5,8,9,2,8,11,25,2,2,5,203,2,NA,NA,3
943,NA,NA,22,NA,3,1,NA,NA,2,NA,3,3,2,3,5,3,3,4,3,8,11,11,1,6,7,6,4,21,7,9,11,2,9,9,24,2,4,4,125,1,NA,NA,NA
1186,NA,NA,24,NA,3,3,NA,1,1,NA,3,1,3,3,5,3,4,4,2,11,9,24,NA,4,5,6,6,45,6,6,8,1,11,9,23,2,5,3,147,NA,NA,NA,NA
1442,NA,NA,26,NA,2,2,NA,2,1,NA,2,1,3,3,3,3,5,4,4,9,9,31,2,5,4,5,5,38,5,6,9,3,13,13,17,15,2,2,166,NA,NA,2,NA
1704,NA,NA,28,NA,4,16,NA,3,2,7,1,2,7,11,11,8,4,7,4,9,6,NA,2,7,5,7,5,5,8,7,13,2,8,11,25,11,31,3,169,NA,NA,1,5
1962,NA,NA,30,2,3,13,NA,4,3,11,2,2,8,13,19,7,3,6,3,13,7,NA,2,5,4,4,3,7,8,8,11,3,15,8,26,13,29,4,187,1,6,NA,7
2087,NA,NA,32,2,2,15,NA,5,1,9,2,2,6,15,16,8,2,8,4,12,13,11,3,3,4,5,2,13,21,5,9,2,14,8,17,NA,4,1,167,2,7,NA,8
2210,NA,NA,34,1,3,13,NA,5,2,10,2,1,9,14,17,8,4,9,5,15,15,15,3,4,3,4,3,21,29,6,12,4,13,12,21,NA,3,3,154,1,13,NA,7
2330,NA,NA,36,NA,2,2,4,6,3,NA,5,6,2,3,1,NA,5,2,3,2,13,21,11,6,4,5,4,50,33,5,15,3,35,4,11,NA,2,1,11,6,NA,2,NA
2448,NA,NA,38,NA,3,3,3,7,4,NA,4,7,3,2,NA,2,4,1,4,2,11,19,9,5,3,4,3,66,25,4,17,2,26,3,13,NA,3,2,9,7,NA,3,NA
2564,NA,NA,40,1,3,2,5,6,3,NA,5,6,2,2,NA,1,6,NA,5,5,NA,1,12,7,3,6,4,71,1,3,21,3,37,4,21,NA,21,2,11,6,NA,3,NA
2678,NA,NA,42,1,2,4,4,7,4,1,3,5,2,1,NA,NA,7,NA,4,3,1,2,9,7,4,5,3,49,1,4,16,3,29,3,13,NA,19,1,9,8,NA,4,NA
2791,NA,NA,44,NA,2,3,3,8,5,NA,4,8,1,4,NA,NA,8,NA,5,21,NA,23,9,6,3,5,2,11,NA,3,18,1,33,2,7,NA,1,3,9,8,NA,3,NA
2904,NA,NA,46,NA,3,2,4,6,5,NA,5,7,1,3,1,NA,5,1,4,8,NA,2,10,8,2,6,5,56,NA,6,22,1,41,3,8,NA,33,2,8,9,NA,2,NA
3016,NA,NA,48,NA,2,2,4,9,4,NA,6,5,2,2,NA,NA,6,1,5,8,NA,3,12,7,2,7,4,78,NA,3,19,3,33,3,11,NA,41,3,7,7,NA,3,NA
3127,NA,NA,50,NA,1,1,3,8,5,NA,4,4,2,2,NA,NA,5,NA,6,9,NA,3,13,6,3,5,3,67,NA,2,17,2,35,2,10,NA,29,2,8,6,NA,2,NA
