"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Melilotus-type","Rosaceae undiff.","Fraxinus","Juglans","Galium-type","Hedera","Rhamnus-type","Aster-type","Quercus suber-type","Echium","Phillyrea","Centaurea cyanus-type","Cichorieae","Ranunculus","Helianthemum","Plantago major/P. media-type","Poaceae (>50 µm)","Quercus (deciduous-type)","Apiaceae","Plantago coronopus-type","Botryococcus","Pinus","Brassicaceae","Coronilla-type","Rumex","Astragalus-type","Plantago lanceolata-type","Cyperaceae","Amaranthaceae","Ephedra undiff.","Artemisia","Cupressaceae","Ulex-type","Olea","Poaceae","Quercus (evergreen-type)","Cedrus","Pseudopediastrum boryanum","Myriophyllum","Salix","Xanthium","Urtica","Euphorbia","Pistacia","Anthemis-type","Lathyrus-type","Anagallis-type","Betula","Scrophulariaceae","Tilia","Typha latifolia","Alnus","Caryophyllaceae","Cistus","Saxifragaceae","Pteridophyta (trilete) undiff.","Acer","Fabaceae undiff.","Potamogeton","Lotus-type","Erica undiff.","Anthyllis rupestris","Corylus","Filipendula-type","Medicago-type","Mentha-type","Cytisus-type","Lygeum spartum","Convolvulus arvensis-type","Thalictrum","Primulaceae","Ilex","Lamiaceae","Indeterminable undiff.","Equisetum","Typha/Sparganium","Botrychium","Dipsacoideae","Alisma-type","Pteridium aquilinum","Anthericum","Buxus","Campanulaceae","Pteridophyta (monolete) undiff.","Rhus coriaria-type","Geranium","Rubus-type","Vitis","Polypodium","Poterium sanguisorba","Selaginella","Linum","Plantago undiff.","Potentilla-type"
-52.4,NA,NA,7.3,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,5,5,6,6,7,7,8,9,9,10,19,20,20,22,31,42,43,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-46.4,NA,NA,17,NA,2,2,NA,NA,NA,NA,5,NA,NA,4,NA,4,11,2,NA,NA,13,5,2,10,5,6,9,15,15,NA,7,9,5,7,15,9,18,27,54,39,256,1,1,1,1,2,2,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-41.1,NA,NA,26.6,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA,3,NA,2,3,NA,5,3,6,25,6,2,1,13,5,7,6,5,11,16,16,21,20,37,50,48,144,2,2,NA,NA,NA,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-37.3,NA,NA,36.3,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,NA,18,NA,NA,2,15,1,3,8,2,6,17,7,12,1,10,7,11,9,11,24,11,29,52,41,132,3,1,NA,NA,1,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-33.6,NA,NA,46,NA,1,NA,NA,NA,NA,NA,3,1,NA,2,NA,2,15,2,2,1,6,7,6,36,2,7,3,11,5,4,12,4,7,14,14,25,15,26,53,41,289,3,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-28.5,NA,NA,55.7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,26,NA,1,NA,10,8,1,65,1,5,8,4,8,6,6,11,7,16,14,20,16,31,55,35,57,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-22.7,NA,NA,65.4,NA,NA,1,NA,1,NA,NA,3,NA,NA,6,NA,NA,8,NA,NA,NA,35,7,11,30,8,9,1,11,NA,9,12,13,7,29,26,22,37,32,128,73,149,3,1,NA,NA,NA,8,5,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-16.4,NA,NA,75.1,NA,1,1,NA,NA,NA,NA,9,3,NA,3,2,3,13,2,3,1,16,2,2,40,NA,8,9,3,12,5,12,4,6,14,13,17,13,30,53,40,129,3,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10.5,NA,NA,84.8,NA,1,NA,NA,NA,NA,NA,4,NA,NA,2,NA,1,4,NA,NA,NA,11,1,3,12,2,NA,4,10,7,5,13,16,4,15,28,24,14,32,65,30,756,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6.5,NA,NA,94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,11,2,NA,NA,7,4,5,2,5,2,13,6,9,3,21,9,3,16,17,16,9,35,56,54,121,3,NA,NA,NA,3,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
