Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acanthaceae,Aerva-type,Aizoaceae,Amaranthaceae/Chenopodiaceae,Annona,Balanites,Baphia-type,Barleria,Blepharis,Borreria,Boscia,C3P3 verruquate,Capparis fascicularis-type,Cassia,Celosia-type,Celtis,Clematis,Cleome-type,Cocculus,Combretaceae,Commelinaceae,Commiphora,Convolvulaceae,Cordia,Crossopteryx,Crotalaria,Cucumis,Cucurbitaceae,Cyperaceae,Dichrostachys,Diospyros,Euphorbia,Ficus,Gramineae,Gramineae >40µm,Grewia,Gynandropsis,Hydrocharitaceae,Hyphaene-type,Indeterminables,Indetermines,Indigofera,Ipomaea,Justicia,Lamiaceae,Lannea/Sclerocarya,Liguliflorae,Liliaceae,Ludwigia,Lythraceae,Maerua,Malvaceae,Mitracarpus,Mitragyna,Monocotyledoneae,Monoletes,Nyctaginaceae,Nymphaea,Palmae,Papilionoideae,Paullinia-type,Phyllantus,Piliostigma,Polycarpaea,Polygala,Polygonum senegalense-type,Pteridophytae,Pterocarpus,Rhynchosia,Salvadora,Sapindaceae,Sida,Solanaceae,Talinum,Tephrosia,Tribulus,Triletes,Tubuliflorae,Typha,Vernonia-type,Ziziphus
0,0,,,,,4,,,,,1,,,,,2,,,1,1,,10,,,1,,1,,,2,131,,,2,1,250,21,,1,,,3,9,1,,,4,,1,1,,,,,5,,2,,1,27,,2,,,1,,,,,,,,,,,,,1,,3,1,,
51.76724,5,,,,,3,,1,,,,,,,2,1,,,,1,1,8,,,,,,,,,32,,,,,214,7,,,,,7,11,1,,,2,,,3,,,2,,,,1,,,12,,2,,,,,,,,1,,,,,,,3,,,1,,,
113.8879,11,,2,,1,5,,,,,,,1,,1,9,1,,,,,12,1,,3,,,1,,1,47,,,1,,179,2,,,,,5,9,1,,,4,,1,,,,1,,4,1,3,,,14,,3,,1,1,1,,,,,,1,,,1,,1,,,3,1,,1
155.3017,15,,1,,,5,,,,,,,,,1,3,,,,1,,8,,1,,,,1,,1,40,,,2,,152,3,,,1,,5,7,2,,,2,,1,,,,,,5,,5,,1,8,,1,,,,,,,,,,,,,,,,1,,4,2,,
217.4224,21,2,,,,3,,1,,,,1,,3,,2,,,,,,11,,,1,,,2,,,28,,,,1,137,2,1,1,,,6,13,,,,4,,,1,,,1,,1,,3,,1,6,,2,,,,,,,,,,,,,1,,,,,1,,,
258.8362,25,,1,,,2,,,,,,,,,1,1,,1,,,,7,1,,1,,1,,,1,26,,,1,,143,5,,,,,8,12,,,,4,,,,,,,,2,,2,,,5,,2,,,,,,,,,,,,,1,,,,,2,,,
300.25,29,1,1,1,,,,,,,,,,2,,3,,,,,,5,,,,,1,,1,1,41,,,1,,137,3,,,,1,7,11,2,,1,2,,1,,,,,,2,1,1,,,4,,2,,,,,1,1,,,,,,,,,1,,,1,,,
362.3707,35,,,,,1,,,,,,,,,1,1,,,,3,,4,,,,,1,1,,2,57,,,,,153,3,,,,,6,8,2,,,2,,,2,,,,,2,,1,,,3,,3,,,,,,,,,,,1,,,,2,,,1,,,
424.4914,41,,,,,1,,1,,,,1,,,,3,,,,1,,5,,,,,,,,,29,,,,,116,4,,,,,5,7,1,,,2,,,,,,1,,3,,1,,1,2,1,4,,,,1,,,,,,,,,,,1,,,,,,
465.9052,45,2,,,1,,,,,,,,,,1,2,,,,1,,7,,,,,,,,,23,,,,,132,2,,,,,3,3,,,,2,,,,,,,,,,2,,,3,,1,,1,,,1,,,,,1,,,1,,,1,,2,1,,
