"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rumex","Ephedra","Amaranthaceae","Potamogeton","Plantaginaceae","Fraxinus excelsior","Caryophyllaceae","Apiaceae","Sphagnum","Pinus","Unknown (monolete) undiff.","Pteridium","Olea","Asteraceae undiff.","Sarcopoterium","Cichorieae","Platanus","Poaceae undiff.","Quercus coccifera-type","Quercus undiff.","Ericaceae undiff.","Cyperaceae","Corylus","Rosaceae","Typhaceae","Fabaceae","Brassicaceae","Arbutus","Dipsacoideae","Phillyrea","Osmunda","Abies","Alnus","Juglans","Poaceae (>40 µm)","Hedera","Unknown (trilete) undiff.","Artemisia","Rubiaceae","Euphorbiaceae","Cistaceae","Rhamnaceae","Ranunculaceae","Hypericum","Liliaceae","Lamiaceae","Betula","Polygonaceae undiff.","Carpinus","Ostrya","Pistacia","Polypodium","Caprifoliaceae","Salix","Ulmus","Castanea"
295,NA,NA,51,2,NA,3,NA,5,NA,2,7,2,3,47,14,4,NA,2,3,3,78,28,7,317,268,NA,2,NA,6,1,4,NA,NA,9,NA,1,NA,NA,1,8,2,NA,1,2,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,NA,NA,56,1,NA,NA,NA,1,NA,NA,1,NA,6,53,10,20,1,4,3,1,68,6,6,141,232,1,7,NA,2,1,17,NA,NA,4,NA,2,1,NA,2,4,2,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
336,NA,NA,61,NA,NA,NA,NA,7,NA,NA,NA,NA,3,55,13,1,1,2,12,1,63,6,1,68,346,NA,NA,NA,2,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
357,NA,NA,66,1,NA,2,NA,4,NA,1,1,NA,3,24,10,3,3,2,3,1,61,14,2,141,268,NA,NA,NA,3,1,2,1,NA,NA,1,1,NA,1,4,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,NA,NA,71,NA,NA,NA,NA,2,NA,NA,3,NA,5,31,37,2,7,2,22,7,61,19,7,260,95,NA,3,NA,10,NA,NA,5,NA,1,NA,1,1,NA,3,NA,NA,NA,1,9,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
400,NA,NA,76,NA,NA,1,NA,1,NA,2,5,4,10,23,2,3,7,5,15,1,41,16,4,269,111,NA,1,NA,NA,NA,4,1,NA,1,NA,NA,NA,NA,12,NA,NA,1,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
424,NA,NA,81,NA,NA,NA,NA,NA,NA,1,1,1,12,32,21,5,9,9,25,6,16,30,9,301,58,NA,NA,NA,1,NA,11,3,NA,NA,NA,1,NA,NA,11,NA,NA,NA,1,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
448,NA,NA,86,NA,NA,1,1,6,NA,NA,3,6,12,58,34,6,6,3,12,25,17,45,15,216,169,NA,5,NA,5,NA,10,NA,1,2,NA,NA,1,NA,12,NA,2,NA,NA,4,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,NA,NA,91,NA,NA,2,NA,5,NA,NA,3,19,8,19,10,2,4,3,4,6,12,8,4,357,86,NA,NA,NA,12,3,2,4,1,1,NA,NA,NA,NA,5,NA,3,NA,NA,15,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,NA,NA,96,1,NA,NA,NA,2,NA,NA,1,22,3,15,2,4,1,2,2,3,10,29,10,281,133,NA,1,NA,6,NA,8,1,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,NA,NA,101,NA,NA,NA,NA,6,NA,1,1,21,8,37,10,3,4,1,9,5,25,11,5,311,120,NA,NA,NA,1,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,NA,NA,106,NA,NA,NA,NA,13,NA,1,8,13,5,21,8,1,5,3,10,8,21,19,9,220,173,1,1,NA,4,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,8,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568,NA,NA,111,2,NA,NA,NA,9,NA,NA,9,16,3,41,3,NA,7,NA,16,NA,36,17,1,151,238,NA,3,NA,1,NA,7,3,NA,NA,NA,1,NA,NA,NA,NA,4,NA,1,2,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA
616,NA,NA,121,NA,NA,1,NA,1,NA,1,2,3,6,26,34,2,4,NA,5,8,22,22,10,220,216,NA,4,NA,2,2,1,1,NA,5,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
640,NA,NA,126,NA,NA,1,NA,2,NA,NA,2,7,3,21,4,7,3,2,3,1,21,15,7,160,261,NA,2,NA,8,2,1,NA,NA,39,NA,1,NA,1,NA,5,NA,NA,NA,3,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
676,NA,NA,131,2,NA,2,NA,6,2,2,2,3,1,24,12,2,3,4,5,2,30,15,4,63,340,1,NA,NA,10,2,1,1,NA,32,NA,NA,NA,1,1,5,1,NA,NA,5,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
