"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cuscuta","Morus","Salix","Pistacia","Mentha-type","Rubiaceae","Rosa","Spergula-type","Paronychia-type","Phillyrea","Genista-type","Ephedra fragilis-type","Alisma-type","Apium-type","Erica arborea-type","Fraxinus excelsior-type","Lithospermum officinale","Mercurialis annua","Oenanthe","Peucedanum-type","Chaerophyllum hirsutum-type","Ranunculus sect. Batrachium","Falcaria-type","Urtica membranacea-type","Pteridophyta (monolete) undiff.","Cercophora-type","Plantago lanceolata-type","Rumex acetosa-type","Eucalyptus","Fagus sylvatica","Senecio-type","Castanea sativa","Eryngium","Plantago maritima-type","Smyrnium-type","Apiaceae undiff.","Olea","Aster-type","Artemisia","Poaceae (Cerealia)","Lythrum portula","Sporormiella","Cichorioideae","Potentilla-type","Quercus pubescens-type","Cyperus-type","Anthemis-type","Urtica dioica-type","Alnus glutinosa-type","Quercus cerris-type","Amaranthaceae-type","Quercus ilex-type","Cyperaceae","Daucus","Juniperus-type","Pinus","Callitriche","Plantago coronopus-type","Poaceae","Potamogeton","Lycopodium spike","Sparganium-type","Brassicaceae","Corylus avellana","Montia","Daphne","Gladiolus-type","Pteridium aquilinum","Silenoideae-type","Centaurea nigra-type","Trifolium repens-type","Phragmites australis","Betula","Platanus","Thalictrum","Vitis","Ranunculus acris-type","Carpinus betulus","Heracleum","Asphodelus albus-type","Ceratonia siliqua","Robinia pseudoacacia","Podospora-type","Juglans regia","Ceratophyllum","Pediastrum angulosum","Geum-type","Juncaceae","Rubus","Fabaceae","Ostrya-type","Heliotropium","Scabiosa","Liliaceae-type","Trifolium pratense-type","Silene dioica-type","Ornithogalum-type","Polygonum aviculare-type","Vicia-type","Astragalus-type","Fraxinus ornus","Gnaphalium-type","Corrigiola litoralis","Rumex scutatus-type","Foeniculum-type","Carduus","Asteroideae","Echium","Sambucus nigra-type","Dianthus superbus-type","Serratula-type","Sanicula europaea","Minuartia rubra-type","Reseda-type","Gelasinospora","Carlina","Picea","Cannabis sativa","Bupleurum","Centaurium","Tuberaria","Caltha-type","Scrophularia-type","Pseudopediastrum boryanum var. longicorne","Prunus-type","Nigella","Polypodium","Lamiaceae","Typha latifolia-type","Scleranthus","Silene vulgaris-type","Rosaceae undiff.","Ilex aquifolium","Cerinthe","Medicago falcata-type","Turgenia latifolia","Sagittaria","Pseudopediastrum boryanum var. boryanum sensu lato","Lemnoideae","Ulmus","Iris pseudacorus-type","Taxus baccata","Calligonum","Orlaya grandiflora","Isoëtes","Myriophyllum alterniflorum","Erodium","Hypericum perforatum-type","Saxifraga granulata-type","Cyclamen hederifolium","Anthoceros laevis","Utricularia","Linum austriacum-type","Geranium","Helianthemum","Sagina","Glomus","Carthamus","Moehringia-type","Malvaceae","Fedia cornucopiae","Cirsium","Anthyllis","Abies","Limonium","Ophioglossum vulgatum","Acer","Cerastium-type","Papaver rhoeas-type"
-4.52,NA,NA,5,"18583, 3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","6","7","11","16","19","19","25","31","171","294","708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
98.44,NA,NA,15,"18583, 3","1","1","","2","","","2","","2","1","","","","1","3","","2","","1","","","","3","1","","","1","6","1","1","","","12","","1","4","7","7","10","1","3","","12","26","2","10","1","6","1","2","","1","5","15","3","12","4","1","49","104","59","719","1","1","1","1","1","1","1","2","3","7","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
201.4,NA,NA,25,"18583, 3","1","1","","1","","6","3","","2","2","","","","2","5","2","3","","2","","1","4","","3","","","5","2","2","1","2","","6","","","4","7","3","3","4","7","7","12","20","3","11","3","10","2","3","2","3","5","46","9","14","5","10","56","156","83","758","","","2","","","","2","","","3","23","1","1","1","1","1","1","1","1","1","1","1","2","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
304.36,NA,NA,35,"18583, 3","1","4","","","2","6","7","","4","2","2","","","","3","2","","","1","","1","1","","1","1","1","5","2","1","","2","1","5","6","2","2","7","13","2","4","2","4","26","21","2","6","1","14","2","6","1","4","5","59","6","7","3","5","100","168","84","839","","1","2","","","","","","3","4","17","2","","","","","","","2","","","1","","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
407.33,NA,NA,45,"18583, 3","1","1","","1","","","6","","2","3","","1","","","1","1","1","","","","","2","4","","","","9","2","","","2","","2","3","4","5","5","10","9","8","2","9","38","69","2","5","","39","5","2","4","6","2","53","5","4","2","","92","218","48","632","1","4","4","","","2","1","1","2","9","26","","","","","1","","","3","","","2","","6","41","","1","","","","1","","","3","","","1","","2","","1","14","3","","4","1","1","1","1","1","1","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
510.29,NA,NA,55,"18583, 3","1","","","11","1","7","3","","","1","2","1","","","3","4","1","","4","","","","","","1","","1","4","1","","3","","4","1","2","2","4","11","1","9","2","4","4","10","","4","1","3","4","6","","4","6","70","3","6","","","56","94","208","571","","3","3","","","","2","","","","3","","","","","1","","","","","","1","","3","630","","3","","1","","1","1","","","","","","","1","1","1","","1","","","","","","","","","","","","","1","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
613.25,NA,NA,65,"18583, 3","1","","","1","1","14","5","","2","6","2","","","1","7","1","","","","3","","1","","2","","","4","1","2","","","","4","3","1","1","1","12","3","7","3","8","9","18","","4","1","11","2","2","1","3","3","59","4","3","2","2","37","131","575","796","","3","","","","","","","3","","1","","","2","2","1","","","1","","","2","1","17","26","","12","","1","1","","","","","2","","","","2","1","1","","5","","","","","1","","","","","","","","","","2","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
716.21,NA,NA,75,"18583, 3","1","","","1","","1","1","","3","1","","2","","","1","2","","","","2","1","3","","","","","6","1","","","","","","2","3","","7","7","8","2","3","1","34","67","","3","","34","","","","1","","4","1","","2","","76","200","30","251","","","1","","","","","","4","7","3","","","","","1","","","2","","","1","","3","10","","","","2","","","","","","3","","1","","","","1","","1","","1","","","","","","5","","","1","1","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
819.17,NA,NA,85,"18583, 3","1","","","","","4","3","","1","5","","","","4","8","","","","","","","2","1","1","","","3","5","1","","","","","1","","","5","4","4","10","4","6","17","36","","1","","14","","","","2","2","20","2","1","","","37","134","264","382","","2","","","","","2","","1","4","5","","","","","","","","","","","","1","13","","","2","","","","1","","","","1","","","","","1","1","","3","","1","","","","","1","1","","","","2","","1","2","","","","1","","","","","","","","2","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
922.13,NA,NA,95,"18583, 3","1","","","","","","","","","5","","","","","1","","2","","","1","","","","2","","","","","","","","","1","","","","1","3","","3","2","","3","5","","3","","1","","","","4","1","12","1","2","","","12","58","77","589","","","","","","","","","","","","","","","1","","","","","","","","","113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","1","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
