Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Abutilon,Acacia,Aerva,Ambrosia,Artemisia,Balanites,Blepharis,Borreria,Burkea,Cassia,Celtis,Cf Boscia,Cf Cadaba,Cf Capparis,Chenopodiaceae/Amaranthaceae,Chrozophora,Cleome,Combretaceae,Commicarpus-type,Commiphora-type,Compositae,Corchorus,Cornulaca,Cruciferae,Cucumis,Cyperaceae,Dalechampia,Ephedra,Erica arborea,Fenestrae,Gramineae,Grewia,Hyphaene-type,Indigofera,Jatropha/Croton,Justicia,Lannea,Laurembergia,Maerua,Merremia,Mitracarpus,Mitragyna,Oldenlandia,Pavonia,Peristrophe,Phyllanthus,Piliostigma,Polygala,Ruellia,Salvadora,Tamarix,Tephrosia,Tribulus,Typha,Vernonia,Ziziphus
5186.85,170,,2,,,,3,7,,,,,,,,43,,,3,1,2,,,,,,129,,,,,43,,,3,,,,,7,,,,,,,,,,,,,,1,,,
5329.15,180,,6,,,,,21,,,,,,,,37,,,6,,,,,,,,535,,3,2,,268,,,,,,,,11,,,,,,,,,1,,,5,,2,,,8
5471.45,190,5,12,4,,,4,9,,,,,,,,38,,,2,2,8,,,,,,427,,,2,,190,,,,,,,,9,,,,,,,,,1,,4,,,,,,4
5542.6,195,4,12,22,3,,,17,,,,7,,,,29,,3,11,5,1,4,,,,,873,,2,1,8,441,,,,,,,,4,,,,,,,,,,,2,6,,,6,,
5613.75,200,,3,,3,,,9,,,,,,,,67,,,,2,2,8,1,,10,,1769,,,,6,1145,,,,,,,,20,,,,,,,,,1,,,,,,21,,
5684.9,205,,7,5,,,,7,,,,,,,,28,,,3,2,5,,,,,,827,,,4,,694,,,,,,,,19,,,,,,,,,,,,1,,1,163,,2
5756.05,210,,4,,,,,2,,,,2,,,,83,,,6,4,6,,,,,,1447,,2,2,,776,,,,,,,,9,,,,,,,,,,,,,,2,48,,4
5827.2,215,,7,8,,,1,23,,,,,,,,15,,,4,4,6,,,,,,335,,2,7,15,228,,,,,,,,10,,,,,,,,,1,,2,4,,,11,,
5898.35,220,,,,2,,,10,,,,2,,,,20,,,5,3,1,2,,,,,694,,,,4,361,,,,,,,,5,,,,,,,,,,,3,,,,11,,
5969.5,225,,3,9,,,,12,,,,1,,,,17,,4,5,4,2,,,,,,374,,,2,4,242,,,,,,,,10,,,,,,,1,,,,3,3,,,,,
6040.65,230,,5,,,,,14,,,,7,,,,56,,,,5,9,5,,,8,,1161,,,3,4,1205,,,,,,,,12,,,,,,,,,,,,,,3,3,,
6111.8,235,,11,,,,9,29,,,,,,,,65,,,7,3,8,15,,,,,1300,,,,,1061,,,,,,,,19,,,,,,,,,,,,,,,10,,
6182.95,240,,4,,3,,4,18,,,,,,,,66,,2,,3,6,6,1,,,,1516,,2,2,1,1358,,,,1,,,,21,1,,,,2,,,,,,,,,,11,,3
