Sample Age (cal yr BP) [cal yr BP],depth,Sample name [undefined],Burial label [undefined],Cedrus,Cupressus ,Pinus,Ephedra ,Alnus,Betula,Carpinus,Corylus,Carpinus oient./Ostrya,Quercus deciduous,Quercus ilex type,Platanus,Asclepiadaceae,Boscia-type,Cadaba-type glandulosa,Cadia purpurea-type - Fabaceae,Capparis,Cassia-type,Celtis,Combretum-type,Commiphora,Ficus - Moraceae,Hyphaene-type,Maerua-type,Myrica humilis-type ,Myrtus,Nerium,Olea ,Phoenix,Pistacia,Populus,Rhus-type,Salvadora persica-type,Tamarix,Ziziphus-type,Poaceae,Poaceae undiff. (> 40 micron),Panicum-type,Cyperaceae,Acalypha,Aerva-type,Apiaceae ,Artemisia,Aster-type,Centaurea-type,Ambrosia-type maritima,Vernonia-type,Cichoriae undiff.,Asteraceae indiff.,Caryophyllaceae indiff.,Celosia-type trygina,Cornulaca monacantha-type,Chenop./Amaranth. undiff.,Cleome,Dialium type - Caesalpiniaceae,Euphorbia-type,Heliotropium,Boraginaceae undiff.,Brassicaceae,Boerhavia-type,Commicarpus-type,Galium-type,Lamiaceae,Liliaceae (incl. Gloriosa type e Allium t.),Lotus,Fabaceae (Crotalaria),Fabaceae (cf. Ormocarpum),Fabaceae (Indigofera),Fabaceae indiff.,Pancratium-type (Amaryllidaceae),Plantago ,Polycarpea-type,Polygonum,Sideritis type,Solanum-type,Spergula-type,Thymeleaceae,Tribulus ,Urticaceae (Laportea-type),Zygophyllum,Callitriche (Halorrhagaceaea),Hydrocharitaceae (Otterlia cf.),Juncus,Lemna,Nuphar,Nymphaea,Potamogeton,Typha domingensis-type,Typha latifolia-type,Not identified,Not determinable,Pteridophyta,Concentricystes
5418,P-543,7b,,,,0.942,,,,,,,,,,,,,,,0.942,,0.942,,1.884,1.884,,,,,,1.884,0.942,,,,,1.884,211.95,1.884,0.942,16.014,,,,0.942,,,1.884,,,,,,44.902,0.942,,,,,1.884,,,,,,0.942,,,,,,,,,,,,,,,1.884,,,,1.884,,,,0.942,3.14,,9.734,4,,
5418,P-543,7c,,,,,,,,,,,,,,0.972,,,0.972,2.916,0.972,0.972,,,1.944,,,,,,,,,,,,,,181.116,2.916,0.972,17.172,,6.156,,,,,,,,,,2.916,55.08,0.972,,,,,,,,,,,,,,,,0.972,,0.972,,,,,,,,38.88,,,,1.944,,,,0.972,,,4.86,5,,
5418,P-543,7d,,,,0.936,0.936,,,,,,,,,,,,,1.872,,,,,2.808,,,2.808,,,,,,,,0.936,,0.936,223.08,0.936,1.872,34.008,,1.872,,,1.872,,,,0.936,,,,6.864,,,,,,0.936,,,,0.936,,,,,,,3.12,,4.056,,,,,,,,4.992,1.872,,,1.872,0.936,,,,,,9.984,1,,
5418,P-543,7e,,,,,,,0.993,,,,,,,0.993,,,0.993,0.993,,,,,0.993,,,,,,,,,,,,,,235.01,,1.986,65.869,,,,,,,,,0.993,,,,2.979,1.986,,,,,1.986,,,,,,,,,,,0.993,,,0.993,,,,,,,1.986,0.993,,,2.979,,,,,,,7.944,2,,
5592,P-545,8,G3-B41,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,57,2,,11,,,,,,,,,,,,,15,5,,,,1,,,,,1,,1,,,,,,,2,,,,,,,,2,,,,2,,,,1,,,,9,,
,P-545,9,G3-B42,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,123,2,,19,,,,,,,,,6,,1,,,2,,,,1,1,,,,,1,1,,,,,,,3,1,,,,,1,,1,,,,2,,,,1,1,1,,12,,
9379,P-582,10a,G3-B8,,,,,1.009174312,,1.009174312,,,,,,1.009174312,,,,,,,,,1.009174312,,,1.009174312,,,,,,,,,1.009174312,,82.72,,,31.9,,,,,2.018348624,,,,1.009174312,,,2.018348624,75.02,3.027522936,,,,,1.009174312,1.009174312,,,,,1.009174312,,,,1.009174312,2.018348624,,1.009174312,,,,,,,,,,,,2.018348624,,1.009174312,,2.018348624,2.018348624,1.009174312,1.009174312,7,,
9379,P-584,10b,,,,,,,,,,,,,,,,,,,3,,,,2,1,,,1,,,,,,,2,4,1,137,,,26,,3,,,2,,,,,,,,44,9,1,,,,,,1,,1,,1,,,,,1,,2,,,,,,,,,1,,2,1,,3,,,3,,2,17,1,
9536,P-542,11a,G3-B9,,,,,,,,,,1.010638298,,,,,,,3.031914894,1.010638298,,1.010638298,,1.9,,,,,,,,,1.010638298,1.9,,1.010638298,1.9,71.63,,,29.07,,20.21276596,,,1.010638298,,,,,1.010638298,,,22.99,9.095744681,,,,1.010638298,1.010638298,,,,,,,,,,,1.9,,3.031914894,,,,0.76,,,,3.031914894,1.010638298,,,4.94,,,,,,1.010638298,2.28,12,,1
9536,P-542,11b,,,,,1.009433962,,1.009433962,,,,,,,,1.009433962,,,,,1.009433962,,,6.056603774,,,,,,1.009433962,,,1.009433962,,1.009433962,,1.009433962,140.812,,1.009433962,33.812,,1.009433962,,,2.782,,,,,,,,,4.037735849,,,,,,1.009433962,,,,1.009433962,,,,,,1.009433962,,2.782,,,,,,,,2.018867925,1.009433962,1.009433962,,1.009433962,,,,2.782,2.782,,,7,,
,,12a,G3-B15,,,,,,,,1.014285714,,,,,,,,,,,,0.994,,3.976,,,,0.994,,,,,,,0.994,,,35.429,,,4.97,,,0.994,,2.982,,,,0.994,,,,,2.982,,,,,0.994,1.917,,,,,,,,,,0.994,,4.97,,,,,,,0.994,0.994,,,,,,,,1.917,,1.917,,12,,
,,12b,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,14,1,,67,3,,10,,3,0.92,,1,1,,,2,,,,95,10,,,,,2,,,,,1,4,,,,,,,2,,,,1,,,1,2,2,,,,,,,1,,3,1,10,,
9584,P-590,13,G3-B17,,,,1,,,,,,,,,2,,,,,,1,,,3,,1,,1,,2,,,,,1,,3,72,,,42,,6,,,2,,,,,,,1,34,9,,,1,,2,,,1,,1,,,,,,,,4,,1,,,2.02,,1,,2,,,1,,,1,1,1,,2,20,1,
,,14,G3 B40,,,,,,,,,,,1.010526316,,,,,,,,,,,,,,,,,,,,,,,1.010526316,,48.50526316,1.010526316,,15.15789474,6.063157895,,,,1.010526316,1.010526316,,,6.063157895,,1.010526316,,,3.031578947,,,,,,,,,,,,,,,,,0.48,6.063157895,,,,,,,1.010526316,,,,1.010526316,,,,,2.021052632,,,0.576,13,1,
