"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rumex","Alnus","Lythrum","Fraxinus","Lamiaceae","Rubiaceae","Juniperus","Quercus suber","Unknown (monolete)","Artemisia","Liliaceae","Pinus","Brassicaceae","Rosaceae","Unknown (trilete)","Hypericum","Cichorioideae","Vitis","Fabaceae","Hedera","Quercus coccifera","Erica","Isoëtes","Osmunda","Caryophyllaceae","Apiaceae","Quercus faginea","Asteroideae","Cyperaceae","Plantago coronopus","Poaceae","Thalictrum","Damasonium","Amaranthaceae","Salix","Ulmus","Dipsacoideae","Olea","Phillyrea","Polypodium","Pistacia","Quercus ilex","Betula","Ilex","Ephedra","Polygonum","Asphodelus","Ranunculaceae","Plantago pro parte","Cistaceae","Myrtus","Cedrus","Campanulaceae","Linum","Typha","Myriophyllum","Thymelaeaceae","Corylus","Arbutus","Calluna","Epilobium","Iris","Abies","Nymphaea"
100,NA,NA,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,6,6,11,13,18,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,NA,NA,5,NA,NA,NA,NA,1,NA,3,NA,NA,65,2,4,NA,2,6,3,1,1,1,1,NA,7,6,8,6,6,11,3,21,13,81,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,10,9,1,NA,2,1,2,5,7,13,11,7,4,1,10,5,12,17,1,1,2,6,11,18,15,6,13,46,64,64,55,109,NA,2,3,1,1,1,1,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,NA,NA,15,10,1,1,4,NA,4,6,NA,4,18,11,5,1,6,13,10,15,2,16,4,5,15,18,19,6,20,55,72,62,32,153,NA,2,2,2,1,NA,1,NA,NA,NA,3,1,1,1,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,NA,NA,20,15,NA,1,3,NA,4,6,2,2,14,6,1,NA,6,1,4,4,4,3,1,NA,17,16,4,14,15,25,40,18,31,60,2,1,1,NA,2,1,NA,NA,NA,1,6,NA,NA,NA,1,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,NA,NA,25,10,NA,NA,1,1,2,3,3,NA,12,1,4,1,2,NA,3,2,3,7,1,2,9,24,1,10,10,28,88,7,48,79,NA,3,1,4,1,NA,4,NA,NA,1,2,NA,NA,NA,NA,NA,3,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,NA,NA,30,6,1,NA,11,1,2,4,1,NA,15,NA,4,1,13,2,10,6,3,4,2,14,15,10,2,17,5,39,171,24,22,80,2,2,1,1,2,NA,5,1,NA,3,2,NA,NA,NA,1,NA,3,6,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,NA,NA,35,1,2,NA,3,NA,3,4,3,NA,3,NA,NA,NA,4,NA,NA,1,NA,NA,1,1,12,3,NA,8,3,11,8,2,4,22,NA,2,1,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,NA,NA,40,9,NA,NA,1,NA,7,9,4,2,10,3,1,NA,7,NA,13,8,1,4,4,2,16,4,NA,10,13,46,41,44,22,78,NA,2,4,3,1,NA,9,NA,NA,3,2,NA,1,1,NA,NA,2,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
663,NA,NA,45,1,NA,NA,3,NA,2,6,1,NA,6,NA,NA,NA,3,1,3,1,NA,1,NA,NA,22,2,NA,3,6,16,2,8,6,54,NA,1,1,NA,NA,NA,1,NA,1,1,6,NA,NA,NA,2,NA,3,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
