"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Caryophyllaceae","Sanguisorba","Rosaceae","Polygonaceae","Teucrium","Scrophulariaceae","Polygonum aviculare","Quercus ilex","Papaveraceae","Lamiaceae","Apiaceae","Plantago","Potamogeton","Amaranthaceae","Typha","Ranunculus","Pinus","Quercus coccifera","Cedrus","Brassicaceae","Asteroideae","Poaceae","Cichorioideae","Juncaceae","Cyperaceae","Poaceae (Cerealia)","Sparganium","Ephedra fragilis","Unknown","Centaurea","Cupressaceae","Liliaceae","Fabaceae","Anacardiaceae","Symphytum","Poterium sanguisorba","Monoletes","Myriophyllum","Acer","Fraxinus excelsior","Urtica/Parietaria","Valeriana","Alnus","Trifolium","Valerianella","Sarcopoterium spinosum","Botrychium","Lysimachia","Plantago major","Malvaceae","Paronychia","Cistus","Saxifraga","Betula","Potentilla","Olea","Mercurialis","Asphodelus","Castanea","Corylus","Fagus","Rumex","Juniperus","Convolvulus","Lycopodium","Triletes","Galium","Lythrum","Knautia","Thalictrum","Campanulaceae","Ruta","Abies","Gentianaceae","Euphorbia","Humulus/Cannabis","Scabiosa","Rhus","Pistacia","Euphrasia","Erica","Ilex aquifolium","Carpinus orientalis","Myrica","Rubiaceae","Berberis","Picea","Helianthemum","Iridaceae","Salix","Sedum","Carya","Tamarix","Calligonum","Primulaceae","Hippophaë rhamnoides","Filipendula","Ceratonia","Rhamnus","Cuscuta","Aristolochia","Valerianoideae","Diphasium","Eriocaulon","Myrtus","Sambucus"
561,NA,NA,10,1,1,1,1,1,1,2,2,2,3,5,6,6,6,8,8,9,11,11,14,17,19,94,100,193,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717,NA,NA,18,1,NA,NA,1,NA,NA,2,1,3,NA,7,10,5,14,13,3,3,7,9,15,20,6,122,85,131,205,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,NA,NA,23,NA,1,NA,1,NA,3,NA,2,1,NA,8,9,4,2,4,1,2,4,NA,14,7,19,95,138,169,192,1,NA,NA,2,3,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1185,NA,NA,33,NA,NA,NA,1,1,2,NA,1,6,NA,3,16,1,1,8,2,1,2,NA,14,6,25,69,157,127,51,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,10,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1340,NA,NA,38,4,NA,1,NA,NA,1,NA,4,19,NA,7,16,3,28,17,6,NA,6,13,29,15,28,128,153,102,33,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1496,NA,NA,43,4,1,NA,1,NA,NA,2,2,6,NA,9,15,24,NA,6,2,2,1,6,18,12,21,128,35,63,19,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1652,NA,NA,48,10,5,NA,NA,NA,NA,3,NA,10,NA,4,1,10,NA,11,NA,3,20,16,19,22,24,115,25,41,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,1,NA,NA,NA,1,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,NA,NA,53,8,1,NA,NA,NA,1,2,NA,17,NA,6,6,7,16,6,6,NA,3,30,19,21,23,134,30,137,34,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,58,2,NA,NA,NA,NA,NA,3,5,21,NA,14,2,22,2,11,1,6,5,9,27,13,28,111,31,105,14,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2276,NA,NA,63,NA,NA,NA,NA,NA,1,NA,3,18,NA,12,13,NA,NA,6,7,NA,2,7,56,2,38,102,48,12,17,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
