depth,age CAL BP,Sample,Acacia-type,Aizoaceae,Algaecyst,Alisma-type,Alnus,Amaranthus-type,Anchusa-type,Anthemis-type,Anthoceros,Apiaceae,Artemisia,Asphodelus-type fistulosus,Asteroideae,Balanites,Betula,Blepharis-type,Boraginaceae,Boscia,Cadaba-type,Calligonum,Capparaceae,Capparis-type,Carduus-type,Caryophyllaceae,Celtis-type,Centaurea-type,Cerastium-type,Cerealia-type,Charred Plant Particles,Chrozophora,Cichorioideae,Cissus,Cistanche,Cistus,Cocculus,Combretum-type,Commiphora,Convolvulus-type,Cornulaca-type,Corylus,Cressa-type cretica,Crotalaria-type,Cyperaceae,Delonix,Dianthus-type,Dipsacaceae,Dodonaea,Drymaria-type,Echinophora,Echinops-type,Echium-type,Emex,Ephedra-type distachya,Ephedra-type fragilis,Epilobium-type,Equisetum,Erica-type,Euphorbiaceae,Euphorbia-type indica,Fabaceae,Fagonia,Farsetia-type,Ficus-type religiosa,Ficus-type vasta,Frankenia,Fraxinus-type excelsior,Fumaria,Fungi,Geranium-type,Gnidia-type,Gypsophila-type repens,Haplophyllum,Heliotropium-type ramosissimum,Indeterminable,Indigofera,Juniperus-type,Lamiaceae,Lannea-type,Leonotis-type,Liliaceae,Linum,Lithospermum-type afromontanum,Lotus-type,Maerua-type,Malva-type,marker spores counted,Matthiola,Mentha-type,Mikania-type,Moltkiopsis ciliata,Monsonia,Morella,Neurada procumbens,NPP,Ochradenus-type,Ocimum,Olea,Ophioglossum-type,Ostrya-type,Papaver,Pediastrum,Pediastrum-type boryanum,Persicaria-type senegalensis,Piliostigma,Pinaceae,Pistacia,Plantago-type amplexicaulis,Plantago-type ciliata,Poaceae,Polemonium,Polycarpaea-type,Polygala-type,Polygonum,Populus,Potamogeton-type,Quercus,Ranunculaceae,Reseda-type,Rhus-type,Ricinus-type,Rosaceae,Rubiaceae,Rumex-type acetosa,Rumex-type crispus,Ruppia,Salvadora-type persica,Saxifraga-type,Scrophulariaceae,Secale,Senna-type,Sesbania,Silene-type,Solanum-type nigrum,Spergula-type,Spermacoce-type,spores,Symphytum-type,Syzygium-type,Tamarix-type,Tetraena,Teucrium,Tilia,Tribulus,Trichodesma,Trifolium-type,triletes,Typha latifolia,Typha-type domingensis,Ulmus-type,Undetermined,Urticaceae/Moraceae,Verbenaceae,Veronica-type,Vicia-type,Viola-type,Vitis,Ziziphus-type,Zygnemaceae,Moraceae/Urticaceae (Mikrom)_17.5,Moraceae/Urticaceae (Mikrom)_20.0,Moraceae/Urticaceae (Mikrom)_22.5,Moraceae/Urticaceae (Mikrom)_25.0,Moraceae/Urticaceae (Mikrom)_27.5,Poaceae (Mikrom)_17.5,Poaceae (Mikrom)_20.0,Poaceae (Mikrom)_22.5,Poaceae (Mikrom)_25.0,Poaceae (Mikrom)_27.5,Poaceae (Mikrom)_30.0,Poaceae (Mikrom)_32.5,Poaceae (Mikrom)_35.0,Poaceae (Mikrom)_37.5,Poaceae (Mikrom)_40.0,Poaceae (Mikrom)_42.5,Poaceae (Mikrom)_45.0,Poaceae (Mikrom)_47.5,Poaceae (Mikrom)_50.0,Poaceae (Mikrom)_52.5,Poaceae (Mikrom)_55.0,Poaceae (Mikrom)_57.5,Poaceae (Mikrom)_60.0,Poaceae (Mikrom)_62.5,Poaceae (Mikrom)_65.0,Poaceae (Mikrom)_67.5,Poaceae (Mikrom)_70.0,Poaceae (Mikrom)_72.5,Poaceae (Mikrom)_75.0,Poaceae (Mikrom)_undef,Poaceae+Cerealia-type
146,4749,TAY22_0086,4,,254,,,91,,15,3,,30,,7,,,,,,,4,9,,1,,,25,,13,505,1,5,,1,,,,,,20,,,,57,,,,7,,3,,,,,7,,,4,,,,1,1,1,,,,,,4,,,,3,11,1,,,,,,,,,,,217,1,,,,,,,,,,2,,,,,,,,4,1,7,1,51,,,,,1,,1,,1,,,1,,1,1,,2,,,,,,,,,,1,,,1,1,,,,,,,,137,,3,1,,,,,5,,,,,,,,,7,3,13,8,4,3,4,4,3,,6,2,3,1,,,,,,,,,,3,64
157,4860,TAY22_0129,4,,,,1,358,,4,,1,20,,13,,,,,2,,21,38,5,,1,,9,,6,73,1,12,,,,,,,,94,1,,,34,,,,9,,6,,,,,2,,,2,,,2,3,13,,,1,,,,,,,,,28,,,,,,,,,,7,,73,,,,3,,,,,,,4,,1,,,,,,,1,13,,20,,,,,,,2,,4,,,,,,,,3,,,,,,,1,3,,2,,,,1,1,1,,,,1,,16,,3,1,,,,,11,,,,,,,,,,2,,8,6,2,,,2,6,,,,,,,,,,,,,,,26
163,4912,TAY22_0135,1,,94,,1,286,1,3,,4,10,,14,,,,,1,,3,11,8,,,,4,,20,137,,4,,,,,,,,59,,,,16,,,,4,,4,,,,,4,,,2,,,,,5,,,,,,,,,,,,16,,,,,,,,,,,,73,,,,,,,,,,,2,,1,,,,,,,,19,8,7,,,,,,,2,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,5,,,,,,,,,,,4,,,,,,3,,,,8,,8,4,,,,,,,,,27
169,4961,TAY22_0141,1,,300,,,407,,5,,4,6,,28,,,,,,,12,8,12,,,,7,,11,150,,9,,,,,,,,182,,,,10,,,,,,3,,,,,3,,,1,,,1,12,6,,,,,,,1,,,,,43,,,,,,,,,,,,18,,,,2,,,,,,,,,,,,,,,,,14,5,23,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,1,3,,,,,,,,,,6,,,,,,5,,,,,,,,,,,,,8,,,3,3,3,,,2,,,2,,,,,,,,13,34
178,5037,TAY22_0150,1,,,,,332,,1,,2,6,,7,,1,,,,,7,3,2,1,,,33,,9,702,,29,,,,,,,,92,,,,1,,,,3,,2,,,,,5,,,2,,,,,6,,,,,,,,,,,,7,,,,,,,,,,,,140,,,,,,,,,,,1,,,,,,,,1,,14,,5,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,3,,,1,,,,,,,1,,,,,,10,,,,,,,,,5,,,,,,,,,,4,,,,,5,,,,,,,,,14
179,5049,TAY22_0151,2,,,,,578,,3,,2,17,,10,,,,,,8,9,17,,,,,19,1,16,79,,13,,,,,,,,115,,,,11,,,,1,,,,,,,5,,,3,,,1,7,3,,1,,,,,1,,,,,20,,,,,,,,,,,,160,,,,1,,,1,,,,2,,,,,,,,3,1,17,16,17,,,,,,,2,,2,,,,,2,,,1,,,,,,2,,,,,,,,1,,1,,,,,,,,9,,,,,,3,,,,,,,,,,,,,4,4,4,3,,,8,3,,,,,,,,3,,,,4,33
189,5193,TAY22_0161,1,,470,,,461,,4,,1,28,,9,,,,,,,21,,15,,,,11,,6,690,,8,,,,,,,,238,,,,3,,,,,,2,,,,,1,,,1,,,1,1,17,,,,,,,1,,,,,17,,,,,,,,,,,,138,,,,2,,,,,,,4,,,,,,,,2,,17,4,28,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,11,,,,,,,,,,4,7,4,7,,,6,,,,3,3,,,,,,,,,,,,34
201,5318,TAY22_0216,,,132,,,1187,,8,,2,28,,34,,,,,,2,5,34,3,,,,25,,15,218,,52,,,,,,,,344,,,,20,,,1,1,,,,,,,4,,,,,1,2,,16,,,,,,53,,,,,,32,,,,,,,,,,,,106,,,1,1,,,,,,,2,,,,,,,,,,40,16,75,,1,,,,,2,,5,,,,,10,,,1,,,,,,,,,,,,,2,,,,,,,,,3,,7,2,,,,,4,2,,,,2,,,,,3,15,3,8,8,15,20,3,3,3,,3,,3,,,,,,3,,,,90
223,5494,TAY22_0238,,,82,,,841,,3,2,13,16,,36,,,,,,,5,9,,,,1,17,1,23,225,,41,,,,,1,,,395,,,,9,,,,,,,,,,,4,,,,,,1,14,14,,,,,,,1,1,,,,48,,,,,,,,,,1,,161,,,,1,,,,,,,1,,,,,,,,,,28,11,42,,,,,,,,,4,,,,,2,,,,,,,,,1,,1,,,,,9,8,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,2,15,15,9,,7,7,,1,,,7,,,,,,,,2,65
234,5596,TAY22_0250,,,44,,,858,,6,,2,21,,22,,,,,,8,32,14,5,,,1,33,,8,384,,68,,,,,1,,,517,,,,21,,,,3,,3,,,,,9,,,2,,,5,1,20,1,,,,,56,,,,,,29,,,,,,,,,,,,86,,,,1,,,,,,,8,,,1,,,,,1,2,49,12,51,,,,,,,,,7,,,,,3,,,5,,,,,,,,,,1,,1,4,1,,,,,,,,1,,2,2,,,,,1,1,,1,1,,,,,,4,14,9,9,4,,11,,,4,4,,,,,,,,,,,,,59
258,5800,TAY22_0272,1,,155,,,1036,,10,,6,72,,26,,1,,,,4,12,17,7,,,1,15,,53,4320,,48,1,,,,3,,,388,,,,39,,,,6,,6,,,1,,20,1,,,,,6,,21,1,,,,,80,1,,,,,11,,,,,,,,,,,,247,,,2,1,,,,,,,10,,,,3,38,,,1,1,75,,131,,,2,,,,4,,3,,,,,10,,1,1,,,,,,3,,,,,,1,4,1,,,,,,1,,8,,6,10,,,,,3,2,10,1,9,,,,,16,,36,31,16,11,16,5,,,16,16,16,5,,,,,,,,,,,184
260,5816,TAY22_0274,,,20,,,360,,17,1,7,79,,23,,,2,,,,15,4,,2,1,,21,,43,3515,,21,,1,,,2,,1,67,,,,19,,,,,,2,,,,,16,,,4,,,1,,38,3,,,,,21,,,,,,5,,,,,,,,,,,,261,,1,,,,,,,,,8,,,,1,1,,,1,4,58,23,72,,,,,,,2,,,,,,1,6,,,,,1,,,,2,,,,,,,5,1,,,,,,,,4,,8,,,1,,,6,,,,,,,,,14,,14,10,24,,5,,,,10,10,5,10,,,5,,,,,,,,115
262,5834,TAY22_0276,2,,114,,,656,,14,,14,87,1,40,,,1,,,,13,12,3,,,2,46,,65,3456,,42,,,,,1,,,187,,,,57,,,,3,,11,,2,,1,26,,,,,1,1,,32,3,2,,,,42,1,,,,,12,1,,,,,,,,,,,204,2,,,,,1,,,,,13,,,1,9,20,,,1,6,165,45,166,,,,,,,4,,1,,,,,17,,,3,,,,,,1,,,,,,,2,,,1,1,,,1,,7,,5,3,1,,,,7,,1,2,1,,,,,6,17,49,6,21,27,6,17,17,21,6,21,17,,,,,,,,,,,,231
271,5912,TAY22_N124,,,40,,,683,,6,,2,17,,25,,,,,,,10,9,1,,,2,23,,8,580,,40,,,,,4,,,166,,,,11,,,,1,,4,,,,,12,,,,,,2,1,14,,1,,,,10,,,,,,14,,,,,,,,,1,,,51,,,,1,,,,,,,2,,,,3,3,,,1,2,39,3,85,,,,,,,3,,,2,,,,8,2,,,,,,,,,,,,,,,3,3,,,1,,,,,,,3,3,,,,,1,1,,,3,,,,,6,8,11,10,14,6,8,18,4,2,4,,2,,,,,,,,,,,,93
280,5996,TAY22_N133,,1,53,1,,434,,6,,1,42,,14,,,1,,,1,5,2,2,,,,18,,38,952,,23,1,,,,2,,,144,1,,,27,,1,,1,,4,,1,,,4,,,1,,2,,,17,2,,,,,12,,,,,,5,,,,,,1,,,,,,161,,3,,,,,,,,,10,,,4,7,12,,,,1,61,20,69,,,,1,,,3,,2,,,,,4,3,,,,1,,,,1,,1,,,,,5,1,,,,,,,,3,,5,,,,,,2,,,,,,,,,,,,15,4,15,15,10,10,10,10,4,4,10,,,,,,,,,,,107
285,6050,TAY22_N071,1,,40,,,550,,3,,1,35,,32,,,,,,,5,2,,1,,,14,,17,1108,,18,,,,,2,,,186,,,,16,,,,,,4,,,,,4,,,1,,,2,,24,1,,,,,16,,,,,,8,,,,,,,,,,,,81,,,,1,,,,,1,,8,,,,,1,,,2,1,79,12,53,,,,,,1,3,,5,,,,,1,2,,1,,,,,,,,,,,,,1,1,2,,,,,,,2,,5,2,1,,,,,,,1,1,,,,,3,5,18,7,5,5,5,5,,,7,5,5,,,,,,,,,,,,70
289,6092,TAY22_N075,1,,85,,,831,,4,,2,63,,33,,,,,,,7,6,1,,,1,13,,12,4305,,63,,,,,,,,216,,,,60,,,,,,1,,,,,11,,,,,,,1,48,1,,,,,16,1,,,,,18,,,,,,,,,,,,197,,,,1,,,,,,,6,,,,46,22,,,2,,165,9,221,,,,,,,7,,3,,1,,,13,4,1,,,1,,,,2,,1,,,,,,,,,,,,2,,2,,4,7,,,,,1,,,3,3,1,,,,18,,46,35,35,28,,24,35,12,,,,,,,,,,,,,,,233
292,6127,TAY22_N078,,,85,,,389,,6,,5,29,,24,,,3,,,,8,5,7,,,,19,,8,331,,13,,,,,,,,172,1,,,15,,,,,,6,,,,,9,,,2,,,,,11,,,,,,,,,,,,16,,,,,,,,,,,,117,,,,,,1,,,,,8,,,,,,,,1,1,37,12,50,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,3,,2,,,,,,9,,,,,,,,,,,,17,8,,25,,,,,,8,,,,,,,,,,,,58
296,6179,TAY22_0321,,,68,,,363,,10,,4,38,,16,,,1,,,,3,,4,2,,2,6,,22,331,,8,,,,,1,,,151,,,,24,,,,2,,2,,,,,9,,,2,,,,,7,4,2,,,,3,,,,,,5,,,,,,,,,,,,29,,,,,,,,,,,8,,,,,,,,1,,23,6,53,,,,,,,1,,,1,,,,5,4,,,,,,,,,,,,,,,,,,,,,,2,,2,,3,,,,,,11,,,,,,,,,5,5,,,11,5,16,11,,,11,,11,,,,,,,,,,,,75
303,6271,TAY22_N032,1,,137,,,706,,4,,3,37,,15,,1,,,,3,11,7,,1,,2,15,,16,1025,,10,1,,,,6,,,224,,,,48,,,,1,,4,,,3,,13,,,,,4,1,,19,7,2,,,,5,,,,,,23,,,,,,,,,,,,65,,,,4,,,,,,,3,,1,1,2,2,,,1,,42,9,113,,,,,,,3,,6,,,,,3,1,,1,,,,,,,,,,,,,3,1,,,,,,,,1,,2,5,,1,,,9,,,4,1,,,,4,,15,25,28,15,7,,15,4,4,4,,,,,4,4,,,,,,,,129
