"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Artemisia","Caryophyllaceae","Corylus","Picea","Thalictrum","Pinus","Ostrya","Achillea","Galium","Amaranthaceae","Unknown (trilete)","Cichorioideae","Carpinus","Fagus","Salix","Olea","Cyperaceae","Poaceae (Cerealia-type)","Unknown (monolete)","Quercus","Poaceae","Alnus","Plantago lanceolata","Vitis","Cirsium","Pteridium","Rumex","Indeterminable undiff.","Ulmus","Apiaceae","Brassicaceae","Hedera","Fraxinus excelsior","Pistacia","Asteroideae","Poterium sanguisorba","Fraxinus ornus","Acer","Juniperus","Plantago undiff.","Centaurea montana","Centaurea nigra","Buxus","Dryopteris","Rhamnaceae","Betula","Tilia","Helianthemum","Taxus","Viburnum","Unknown","Ephedra fragilis","Allium","Hippophaë","Centaurea scabiosa","Ephedra distachya"
-36,458,-560,0,1,1,1,1,1,1,1,1,1,2,2,2,4,4,7,8,8,18,20,23,35,45,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,583,-340,10,NA,1,NA,1,NA,NA,2,1,NA,NA,3,1,2,5,10,4,4,11,6,17,44,49,98,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,729,-111,20,NA,NA,1,NA,NA,NA,NA,9,1,1,3,NA,4,13,14,2,NA,11,3,30,52,64,101,6,NA,NA,2,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,880,107,30,1,1,NA,NA,NA,NA,1,8,1,NA,NA,2,NA,17,40,NA,NA,18,2,138,80,19,157,5,NA,NA,3,1,2,2,NA,NA,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
822,1201,469,50,NA,NA,NA,5,NA,NA,NA,13,NA,NA,NA,NA,1,15,20,1,2,5,NA,NA,94,25,93,3,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166,1576,762,70,NA,NA,NA,5,NA,NA,NA,15,NA,NA,NA,NA,NA,17,47,NA,NA,3,NA,2,108,7,36,1,NA,NA,NA,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1797,2270,1302,100,4,2,1,24,NA,NA,3,16,1,1,1,NA,NA,39,17,NA,NA,3,NA,1,41,7,45,1,NA,1,NA,1,3,1,1,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2085,2538,1610,110,23,1,NA,44,NA,NA,2,30,NA,NA,1,NA,NA,20,20,NA,NA,2,NA,NA,34,25,34,2,1,NA,NA,2,1,3,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2662,3077,2223,130,31,NA,NA,21,NA,NA,1,35,NA,NA,2,NA,NA,33,15,NA,2,1,1,NA,53,30,32,3,1,NA,3,NA,1,2,NA,NA,NA,3,NA,1,NA,4,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA
3239,3628,2841,150,39,NA,NA,8,NA,NA,1,20,NA,1,NA,NA,NA,18,6,NA,NA,1,NA,NA,68,4,64,1,2,NA,NA,NA,6,4,1,NA,4,4,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,1,2,NA,5,1,1,NA,NA,NA,NA,NA
