"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Poaceae (Cerealia-type)","Cannabaceae","Unknown (monolete)","Ephedra","Quercus ilex-type","Buxus","Cistus","Fabaceae","Plantago","Quercus robur-type","Unknown (trilete)","Cyperaceae","Pinus","Asteroideae","Pseudoschizaea","Cichorioideae","Poaceae","Sparganium-type","Apiaceae","Amaranthaceae","Ericaceae","Polygonum","Geraniaceae","Artemisia","Corylus","Typha latifolia-type","Rubiaceae","Lamiaceae","Olea","Thalictrum","Vitis","Thymelaea","Tamarix","Phillyrea","Caryophyllaceae","Tilia","Potamogeton","Coriaria myrtifolia","Alnus","Hedera","Pistacia","Ligustrum","Betula","Ranunculaceae","Myrtaceae","Brassicaceae","Fagus","Lythrum","Rumex","Helianthemum","Ulmus","Lygeum-type","Juglans","Rosaceae","Juniperus","Dinoflagellata","Convolvulus","Lotus","Carpinus","Centaurea-type","Urticaceae","Myriophyllum","Malvaceae","Nymphaea","Rhamnus","Salix","Euphorbia","Nuphar","Populus","Abies","Dipsacoideae","Crassulaceae","Boraginaceae"
5847,6018,5753,1010,NA,NA,2,29,4,13,NA,NA,NA,3,12,2,13,97,3,NA,22,14,30,2,10,NA,NA,4,4,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2,NA,NA,6,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5881,6048,5786,1025,NA,NA,NA,33,12,40,NA,NA,NA,2,18,5,11,79,1,NA,8,8,52,NA,14,NA,NA,NA,6,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1,NA,NA,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5914,6078,5820,1040,1,NA,1,15,3,18,NA,1,NA,NA,19,1,17,72,NA,NA,25,21,26,NA,19,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5947,6107,5853,1055,NA,NA,2,19,7,19,NA,NA,NA,NA,13,NA,9,45,1,NA,39,9,31,NA,12,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5981,6134,5884,1070,NA,NA,2,43,3,52,NA,NA,2,NA,18,7,20,113,NA,NA,11,11,49,NA,12,NA,NA,9,2,NA,NA,5,NA,NA,3,4,1,NA,NA,1,5,NA,3,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
6014,6158,5917,1085,NA,NA,NA,24,7,28,NA,2,NA,NA,26,1,14,82,2,NA,37,26,42,NA,9,NA,NA,6,7,NA,NA,4,2,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
6047,6173,5949,1100,1,NA,2,33,8,35,NA,2,NA,2,32,3,19,112,NA,NA,16,5,40,NA,19,1,NA,2,8,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
6080,6202,5980,1115,NA,NA,NA,36,2,33,NA,2,1,4,16,1,19,70,2,NA,20,19,14,NA,14,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
6114,6231,6011,1130,NA,NA,NA,15,4,35,NA,NA,NA,2,19,NA,8,53,3,NA,24,15,21,3,12,1,NA,2,11,NA,2,NA,4,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6147,6262,6043,1145,NA,NA,NA,33,5,62,NA,NA,5,2,20,NA,16,88,3,NA,35,32,24,5,8,1,NA,2,10,NA,NA,2,1,NA,NA,2,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
6180,6294,6074,1160,2,NA,NA,15,6,46,NA,1,3,NA,21,6,4,114,3,NA,8,4,56,NA,12,1,NA,3,3,NA,NA,2,NA,NA,NA,12,NA,NA,NA,4,2,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6213,6327,6106,1175,1,NA,2,34,3,42,NA,NA,NA,2,31,NA,11,107,1,NA,25,4,21,1,11,NA,NA,NA,21,NA,NA,2,NA,NA,NA,11,NA,NA,2,NA,NA,NA,6,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6247,6361,6138,1190,NA,NA,NA,25,10,46,NA,1,11,4,11,1,3,112,NA,NA,37,10,39,4,17,1,NA,2,14,NA,NA,1,NA,NA,NA,6,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
6291,6405,6180,1210,NA,NA,NA,32,14,55,NA,4,2,6,22,2,NA,138,2,NA,11,5,101,4,24,4,NA,4,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,2,NA,5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6313,6427,6200,1220,1,NA,2,57,12,49,NA,5,NA,NA,19,3,12,104,NA,NA,34,12,38,NA,23,1,NA,1,11,NA,2,1,NA,NA,NA,4,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,1,NA,66,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6340,6454,6225,1232,2,NA,NA,38,3,21,NA,1,1,1,8,NA,2,126,NA,2,11,7,64,NA,8,1,NA,10,21,NA,NA,3,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,55,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
6366,6482,6250,1244,NA,NA,NA,38,2,16,NA,5,5,NA,24,1,7,143,NA,2,22,8,66,NA,5,NA,NA,3,15,NA,NA,6,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6393,6509,6275,1256,NA,NA,3,29,8,33,NA,1,3,6,14,12,31,83,NA,3,20,11,21,NA,9,NA,NA,2,19,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
6420,6537,6299,1268,1,NA,1,29,7,45,NA,5,14,NA,13,3,8,128,NA,NA,39,6,49,NA,18,3,NA,6,14,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
6446,6565,6324,1280,NA,NA,NA,52,5,34,NA,2,4,1,23,1,2,149,2,NA,2,4,47,2,31,1,NA,3,9,NA,NA,5,NA,NA,NA,2,NA,NA,NA,3,3,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6473,6593,6348,1292,NA,NA,2,55,7,22,NA,NA,5,10,10,2,4,118,NA,NA,11,8,74,2,11,NA,NA,2,11,NA,NA,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6500,6621,6372,1304,1,1,NA,31,1,24,NA,2,8,2,12,2,3,212,1,1,37,NA,31,2,10,NA,NA,NA,11,NA,NA,2,NA,NA,1,7,NA,1,3,NA,1,NA,5,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6526,6650,6396,1316,NA,NA,NA,36,4,17,NA,1,5,4,15,2,15,181,NA,NA,6,6,32,8,17,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,1,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6553,6679,6420,1328,1,NA,NA,40,4,27,NA,NA,15,1,20,1,11,126,NA,2,15,NA,25,NA,18,1,NA,2,17,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
6579,6709,6445,1340,NA,NA,7,69,8,27,NA,NA,15,10,19,2,23,301,1,1,10,5,52,5,29,3,NA,4,19,NA,NA,NA,1,NA,1,11,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
6606,6739,6470,1352,NA,NA,1,34,1,22,NA,1,2,2,14,1,11,193,2,NA,4,1,37,3,18,NA,NA,2,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6633,6770,6495,1364,NA,NA,5,63,7,26,NA,1,11,4,21,4,28,245,NA,NA,16,6,58,2,11,1,NA,4,14,NA,NA,NA,4,NA,NA,9,NA,NA,NA,NA,NA,NA,6,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
6659,6799,6519,1376,1,NA,1,61,3,21,NA,NA,10,5,9,2,11,296,3,2,17,2,43,2,14,NA,NA,2,8,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
6686,6830,6545,1388,NA,NA,NA,31,2,23,NA,2,2,1,12,1,3,213,3,NA,3,2,39,NA,12,NA,NA,NA,19,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6712,6860,6570,1400,1,NA,2,43,NA,51,NA,3,22,3,21,3,18,319,NA,NA,14,2,130,NA,6,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6746,6898,6601,1415,2,NA,7,59,NA,51,NA,11,18,4,59,10,21,514,NA,3,39,NA,153,2,29,1,NA,NA,5,NA,NA,4,NA,NA,1,11,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
6779,6935,6632,1430,1,1,NA,41,3,9,NA,4,1,2,16,3,5,267,NA,NA,12,1,54,NA,27,NA,NA,NA,8,NA,NA,2,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6812,6972,6662,1445,3,2,NA,53,12,17,NA,NA,27,4,36,2,21,292,2,2,19,8,68,NA,23,NA,NA,2,7,NA,NA,4,NA,NA,NA,3,NA,NA,NA,1,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA
6846,7009,6692,1460,NA,NA,8,78,6,25,NA,3,18,6,52,3,19,490,1,NA,26,NA,108,5,30,NA,NA,4,17,NA,NA,3,2,NA,NA,15,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,1,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
6879,7047,6723,1475,NA,NA,NA,39,6,39,1,1,1,3,40,1,14,313,NA,NA,12,NA,104,5,13,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,2,NA,5,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
6912,7084,6752,1490,1,NA,2,52,5,9,NA,3,13,4,41,3,14,382,NA,NA,12,4,81,NA,16,NA,NA,3,18,NA,NA,NA,2,NA,NA,15,NA,NA,3,NA,NA,NA,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
6934,7110,6773,1500,NA,NA,NA,68,3,22,NA,3,5,3,38,11,17,357,NA,NA,17,4,134,NA,15,NA,NA,2,14,NA,NA,4,1,NA,NA,11,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6968,7147,6802,1515,NA,NA,2,32,3,56,NA,6,1,NA,32,15,NA,69,NA,NA,35,12,30,5,2,NA,NA,2,8,NA,1,5,2,NA,NA,4,NA,NA,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,47,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7001,7185,6832,1530,1,NA,3,30,1,19,NA,NA,6,3,51,4,18,221,NA,NA,17,3,51,NA,49,NA,NA,3,8,NA,NA,2,NA,NA,NA,7,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7034,7223,6861,1545,NA,1,5,45,3,14,NA,2,9,2,21,2,14,165,NA,NA,6,NA,68,NA,18,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7067,7260,6890,1560,NA,NA,1,29,7,58,NA,NA,NA,9,21,12,35,53,NA,2,8,14,21,1,2,NA,NA,3,4,NA,NA,5,3,NA,NA,4,NA,NA,NA,NA,1,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,48,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7097,7286,6923,1575,NA,NA,NA,26,4,25,NA,5,10,4,11,3,16,81,NA,NA,17,8,26,NA,4,NA,NA,2,10,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7127,7313,6956,1590,NA,NA,NA,40,6,61,NA,NA,5,7,26,2,15,153,NA,2,5,13,32,4,11,1,NA,NA,11,NA,NA,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7147,7331,6978,1600,1,NA,NA,38,1,63,NA,1,2,2,31,6,19,74,NA,2,6,8,23,NA,NA,NA,1,NA,7,NA,NA,6,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7177,7358,7011,1615,NA,NA,1,43,3,85,NA,1,1,NA,21,2,22,149,NA,1,20,18,40,2,NA,NA,NA,5,12,NA,1,1,NA,NA,NA,7,NA,NA,NA,4,1,NA,6,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7206,7385,7044,1630,NA,NA,2,61,6,73,NA,NA,4,NA,25,8,28,147,NA,NA,15,13,45,2,5,NA,NA,NA,14,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7236,7412,7077,1645,1,NA,NA,48,4,53,NA,NA,3,2,25,11,18,103,NA,NA,9,16,39,NA,2,NA,NA,4,8,NA,NA,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,23,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7266,7439,7109,1660,NA,NA,NA,35,3,46,NA,NA,5,2,32,2,28,86,4,NA,9,3,26,3,2,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
7296,7465,7140,1675,1,NA,NA,33,5,58,NA,NA,7,2,14,3,21,78,NA,NA,14,14,26,2,1,NA,NA,3,12,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7326,7492,7172,1690,NA,NA,NA,21,6,71,NA,NA,NA,2,39,11,11,89,NA,NA,26,5,61,2,2,NA,NA,1,20,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7345,7509,7192,1700,3,NA,NA,25,3,41,NA,NA,8,1,29,7,34,104,4,2,8,6,15,2,4,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7365,7528,7214,1710,NA,1,NA,41,3,51,NA,NA,1,NA,17,1,11,134,1,NA,8,17,46,NA,1,NA,NA,NA,10,NA,NA,NA,2,NA,NA,2,NA,1,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7385,7545,7234,1720,NA,NA,NA,40,2,38,1,3,NA,NA,19,9,13,109,3,NA,13,7,50,2,NA,NA,NA,NA,10,NA,NA,1,NA,NA,NA,8,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7405,7563,7255,1730,NA,NA,NA,27,11,61,NA,NA,NA,NA,17,3,9,97,NA,NA,12,4,34,NA,NA,2,NA,NA,10,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7425,7581,7276,1740,NA,1,1,35,4,62,NA,1,4,NA,13,2,22,101,1,1,4,10,31,1,NA,1,NA,NA,13,NA,NA,1,NA,NA,NA,10,NA,NA,NA,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7445,7599,7297,1750,NA,NA,NA,19,1,47,NA,3,1,3,22,1,17,96,NA,NA,13,6,28,NA,1,NA,NA,1,4,NA,NA,7,NA,NA,NA,6,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7465,7617,7318,1760,NA,NA,NA,50,7,87,NA,9,5,1,36,7,29,187,2,NA,12,9,47,2,5,1,NA,NA,22,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7484,7636,7340,1770,NA,NA,NA,39,2,105,NA,3,3,2,24,2,21,150,NA,NA,13,16,30,NA,4,4,NA,4,17,NA,NA,2,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7504,7654,7361,1780,1,NA,NA,44,4,32,NA,NA,NA,NA,18,7,12,120,6,NA,9,5,55,3,NA,NA,NA,4,12,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7544,7691,7402,1800,NA,1,NA,24,4,42,NA,2,9,NA,22,NA,13,131,2,NA,12,1,30,1,NA,NA,NA,1,25,NA,NA,1,2,NA,NA,7,NA,1,NA,NA,1,NA,2,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7614,7755,7474,1835,NA,NA,NA,31,11,68,NA,5,NA,3,30,NA,20,135,1,NA,9,12,39,5,2,NA,NA,NA,14,NA,NA,NA,1,NA,NA,11,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7683,7817,7543,1870,1,NA,5,24,6,28,NA,1,4,1,32,5,59,71,1,2,19,10,22,2,NA,NA,NA,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7753,7884,7617,1905,NA,1,NA,21,7,20,NA,NA,NA,1,18,NA,16,91,2,NA,17,19,38,NA,2,NA,NA,2,17,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7822,7953,7690,1940,NA,NA,NA,16,2,52,NA,2,NA,NA,13,NA,31,83,NA,NA,8,6,24,1,5,1,3,NA,41,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
