"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Poaceae (Cerealia-type)","Cannabaceae","Unknown (monolete)","Ephedra","Quercus ilex-type","Buxus","Cistus","Fabaceae","Plantago","Quercus robur-type","Unknown (trilete)","Cyperaceae","Pinus","Asteroideae","Pseudoschizaea","Cichorioideae","Poaceae","Sparganium-type","Apiaceae","Amaranthaceae","Ericaceae","Polygonum","Geraniaceae","Artemisia","Corylus","Typha latifolia-type","Rubiaceae","Lamiaceae","Olea","Thalictrum","Vitis","Thymelaea","Tamarix","Phillyrea","Caryophyllaceae","Tilia","Potamogeton","Coriaria myrtifolia","Alnus","Hedera","Pistacia","Ligustrum","Betula","Ranunculaceae","Myrtaceae","Brassicaceae","Fagus","Lythrum","Rumex","Helianthemum","Ulmus","Lygeum-type","Juglans","Rosaceae","Juniperus","Dinoflagellata","Convolvulus","Lotus","Carpinus","Centaurea-type","Urticaceae","Myriophyllum","Malvaceae","Nymphaea","Rhamnus","Salix","Euphorbia","Nuphar","Populus","Abies","Dipsacoideae","Crassulaceae","Boraginaceae"
3433,3892,3000,370,2,2,2,9,11,NA,NA,35,63,NA,25,4,6,96,9,13,20,NA,24,4,136,6,2,NA,6,NA,2,NA,28,NA,2,2,1,1,2,4,NA,NA,3,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3552,3984,3144,400,NA,NA,9,4,8,NA,NA,63,15,11,29,3,17,93,1,NA,12,13,7,6,46,NA,NA,2,14,NA,NA,3,79,NA,NA,1,8,19,NA,NA,NA,NA,4,1,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3691,4093,3313,435,1,NA,13,6,8,NA,NA,97,56,2,39,NA,3,67,3,4,10,2,13,1,81,4,1,2,1,NA,1,NA,82,NA,NA,NA,21,10,NA,1,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3831,4201,3481,470,NA,1,2,3,2,NA,4,23,77,1,26,1,2,93,18,12,10,NA,23,7,172,14,4,1,NA,NA,1,NA,27,1,NA,1,1,1,NA,NA,1,NA,5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3950,4294,3625,500,2,1,2,3,3,NA,2,13,59,NA,20,3,7,47,5,14,21,5,1,2,114,2,NA,1,2,NA,NA,NA,27,NA,NA,NA,6,7,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4089,4403,3792,535,2,NA,3,4,21,NA,NA,22,48,1,7,NA,7,67,4,25,15,3,8,5,116,NA,NA,2,6,NA,NA,NA,20,NA,NA,NA,7,2,1,NA,NA,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4229,4512,3959,570,1,NA,5,1,10,NA,5,9,37,5,10,2,2,34,5,10,20,3,8,8,201,2,NA,3,7,NA,NA,1,25,1,NA,NA,1,6,NA,1,2,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4348,4605,4101,600,NA,NA,4,NA,13,NA,4,9,25,6,3,11,5,41,2,18,6,NA,8,16,79,NA,NA,3,4,NA,NA,NA,14,1,NA,NA,NA,2,NA,NA,NA,1,1,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4388,4636,4148,610,6,NA,13,3,10,NA,NA,51,39,NA,30,NA,4,66,NA,7,18,8,8,4,41,1,NA,4,2,NA,NA,NA,59,NA,NA,NA,1,9,1,NA,NA,NA,2,4,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4428,4667,4195,620,NA,NA,3,2,13,NA,NA,51,40,NA,26,5,5,74,13,6,8,NA,18,17,131,7,5,5,6,NA,NA,4,37,NA,3,NA,NA,5,NA,3,NA,NA,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4467,4699,4243,630,1,1,2,4,17,NA,9,47,41,8,9,3,3,37,3,4,17,24,18,20,88,NA,3,7,1,NA,NA,NA,28,NA,NA,3,NA,6,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4507,4730,4290,640,5,NA,6,11,11,1,NA,43,21,2,43,4,5,54,NA,5,32,13,16,3,61,1,NA,NA,7,NA,NA,NA,26,NA,1,NA,NA,2,NA,NA,NA,NA,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4547,4762,4337,650,NA,NA,NA,18,11,13,NA,16,11,4,23,3,6,123,4,NA,19,11,45,8,52,3,NA,5,15,NA,NA,NA,21,NA,NA,NA,NA,4,1,NA,1,NA,7,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4587,4794,4384,660,1,NA,2,3,3,3,2,30,37,3,19,3,20,61,NA,1,14,10,23,2,67,NA,1,5,2,NA,NA,NA,68,NA,NA,3,NA,9,3,NA,NA,NA,13,3,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4627,4827,4432,670,4,NA,NA,6,5,5,NA,30,39,8,28,NA,15,94,NA,3,17,6,22,4,93,1,NA,NA,10,NA,NA,1,46,NA,1,NA,9,4,NA,NA,NA,NA,3,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4666,4859,4479,680,NA,NA,NA,29,3,35,NA,5,2,2,6,3,3,143,2,NA,12,6,85,3,22,3,NA,2,10,NA,NA,NA,8,NA,NA,5,1,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4746,4924,4571,700,1,3,NA,22,5,5,2,1,2,5,12,NA,14,158,NA,NA,21,6,51,9,15,NA,NA,6,11,NA,NA,3,20,NA,NA,2,1,2,NA,NA,NA,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4806,4974,4640,715,NA,2,NA,16,4,5,NA,3,NA,2,20,2,5,107,11,NA,20,7,37,NA,9,NA,NA,NA,2,NA,NA,4,2,NA,NA,5,NA,1,2,1,NA,NA,7,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4865,5024,4709,730,NA,NA,1,27,2,14,NA,1,NA,1,12,1,8,71,NA,NA,11,14,79,NA,19,1,NA,2,7,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,34,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4925,5074,4776,745,NA,NA,NA,21,7,1,NA,1,NA,NA,16,1,5,191,3,NA,11,NA,156,1,27,2,NA,NA,24,NA,NA,4,12,NA,NA,4,NA,1,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4985,5125,4843,760,1,NA,5,21,10,29,NA,6,5,2,20,NA,1,146,1,NA,6,9,65,4,23,1,NA,2,10,NA,NA,2,2,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5044,5176,4909,775,NA,NA,2,20,8,29,NA,3,4,5,13,NA,1,168,NA,NA,2,15,112,NA,20,NA,2,9,9,NA,NA,NA,15,NA,1,4,NA,3,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5104,5229,4976,790,NA,1,1,22,12,26,NA,4,3,6,10,NA,4,134,1,NA,4,16,85,7,20,NA,NA,6,11,NA,NA,4,21,NA,NA,3,NA,5,NA,NA,NA,NA,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,34,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
5144,5265,5020,800,NA,NA,NA,10,9,25,NA,3,7,NA,12,NA,6,104,NA,NA,15,16,78,3,28,NA,NA,NA,12,NA,NA,2,16,NA,NA,2,NA,5,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
5223,5341,5107,820,NA,1,2,24,10,17,NA,3,3,NA,20,4,NA,180,3,NA,3,19,134,3,9,1,NA,1,7,NA,NA,NA,19,NA,NA,5,NA,1,NA,NA,3,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,23,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
