depth,Site name,"Pollen sum (from Grandi, Lippi & Mercuri 1998)",Trees,shrubs,herbs,Acacia,Rhus,Anacardiaceae undiff.,Acanthaceae,Araliaceae,Artemisia,Cheno-Amaranthaceae,Asclepiadaceae,Celtis,Calligonum,Capparis,Maerua,Capparaceae undiff.,Ficus,Ephedra,Cistaceae,Cassia,Caesalpiniaceae undiff.,Fabaceae undiff.,Moltkiopsis,Rhamnaceae,Salvadora persica,Tamarix,Vitaceae,Zilla cf.,Brassicaceae undiff.,Fagonia,Ziziphus,Myrtus,Cupressus type,Pinus,Quercus deciduous,Quercus ilex,Olea,Pistacia,Fraxinus,Ulmus,Populus,Other woody plants,Ricinus ,Euphorbiaceae undiff.,Paronychia,Caryophyllaceae undiff.,Pulicaria,Cichorieae undiff. ,Asteraceae undiff.,Echium,Trichodesma,Boraginaceae undiff.,Cucurbitaceae,Cyperaceae,Poaceae undiff.,Panicum type,> 40 micron,Hypericum,Lamiaceae,Liliaceae,Lotus,Plantago,Rumex,Zygophyllum,Tribulus,Umbelliferae,Urticaceae,Typha,Potamogeton,Lemna,Juncus,Other herb plants,Concentration (p/g)
TH113-1,TH113-1,362,11,138,214,3,9,0,0,0,18,20,0,0,27,9,4,0,0,1,0,1,2,8,26,0,2,6,0,12,19,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,2,80,25,3,6,10,3,4,1,3,4,4,0,0,17,1,9,0,1,0,1,1,1,3,0,0,0,16,193800
TH113-2,TH113-2,517,31,21,465,1,3,7,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,28,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,13,2,16,0,6,2,2,2,24,372,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0,13,56612
TH113-3,TH113-3,532,43,74,410,5,7,0,0,0,1,35,0,0,1,10,0,0,13,4,0,0,2,7,3,0,0,24,4,3,7,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,22,1,68,0,128,12,0,0,1,11,2,101,19,0,2,0,0,0,3,0,0,1,0,0,0,0,0,30,102952
TH113-4,TH113-4,454,9,27,418,1,4,0,0,0,7,3,0,0,0,0,2,0,0,0,0,5,0,6,0,0,0,4,6,0,18,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,3,2,27,3,3,31,18,0,2,18,4,226,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,27,109473
