Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia group I,Acacia group III,Acalypha,Acanthaceae undiff.,Alchemilla,Allophylus,Anacardiaceae undiff.,Apiaceae,Apodytes,Artemisia,Asteraceae: Asteroideae,Asteraceae: Lactucoideae,Blepharis,Botryococcus braunii,Brassicaceae,Canthium,Capparidaceae,Carissa,Caryophyllaceae,Casuarina,Celtis,Chenopodiaceae/Amaranthaceae,Clematis,Coelastrum,Combretaceae undiff.,Combretum,Commelina,Commiphora,Convolvulaceae,Cordia abyssinica,Croton,Cucurbitaceae,Cupressaceae,Cyperaceae,Dodonaea angustifolia,Dombeya,Ekebergia,Ericaceae,Eucalyptus,Euclea,Euphorbia,Euphorbiaceae undiff.,Fabaceae: Papilionoideae undiff.,Ficus,Gentianaceae,Hagenia abyssinica,Hildebrantia,Hypoestes,Indeterminate,Indigofera,Justicia,Lamiaceae hexacolpate,Lamiaceae tricolpate,Lemnaceae,Leucas,Liliaceae,Maesa,Malvaceae,Maytenus,Menispermaceae cf. Cissampelos,Myrica salicifolia,Myriophyllum,Nuxia/Dobera,Nymphaea,Olaceae cf. Ximenia,Olea capensis,Olea europaea ssp. africana,Passifloraceae cf. Adenia,Pediastrum boryanum,Pediastrum duplex,Phoenix,Phyllanthus,Plantago,Poaceae <40,Poaceae >40,Podocarpus falcatus,Polygala,Polygonum,Potamogeton,Prunus africana,Pterolobium,Ranunculaceae/Papaveraceae undiff.,Rapanea,Rhus,Ricinus communis,Rosaceae cf. Rosa,Rubiaceae undiff.,Rumex,Salix,Sapotaceae,Schefflera,Scrophulariaceae,Senna,Solanum,Spores: monolete,Spores: trilete,Tapinanthus,Teclea,Terminalia,Tiliaceae,Tribulus,Trilepsium,Typha latifolia,Typha type-angustifolia,Unknown tetracolpate,Unknowns: various,Urticaceae,Vitaceae,Zanthoxylum,Ziziphus
-45,0,3,3,,,,,,,,,13,1,,210,1,,2,1,,1,10,22,,2216,1,,,,1,,1,,65,53,22,,,,5,1,2,1,3,1,,,1,2,22,,1,,,,,,,,,,,,,,,1,18,,1136,1,,,10,243,22,32,,1,14,,1,1,,4,3,,1,48,,,,,,1,3,2,,,2,,1,,,3,,2,3,,1,1
14,4,1,4,2,,,,,2,,,9,1,,70,,,2,,,1,14,27,,,3,1,,,,,,1,180,35,21,,,1,,6,2,1,4,,,3,,1,21,,,,,,,1,,,,,2,,2,1,,,15,,1744,1,,,4,184,18,14,,,1,,2,,,5,3,,2,40,,,,,,2,2,,1,1,,1,1,,,2,4,7,2,,,1
66,8,,1,1,1,,1,,1,,,13,,,131,,,2,,1,,14,38,1,,1,3,,,,,1,,156,55,16,,,1,,2,4,1,6,,,1,,3,21,,,,,1,,1,,1,,,6,,,1,,,22,,15677,1,,,,164,21,25,,1,10,,,2,,8,4,,2,27,,,,,,5,4,1,,,1,,,,1,7,3,6,4,,,
121.4,12,1,3,,,,,,,,,19,3,,207,1,,,,,,9,34,1,,1,1,1,,,,,,176,77,8,,,,,1,1,1,4,1,,1,2,5,25,,,,,1,,2,,,,,10,1,,1,,,37,,1597,1,,,1,186,17,14,,,20,,,,,4,1,,1,16,,,,,,4,2,2,,,4,,,,,3,3,1,2,1,3,
172.5,16,1,2,,,,,,,,,15,2,,130,2,,,,,,22,21,1,,4,1,2,,,,,,301,56,16,,,2,,1,1,,1,2,,1,,3,23,1,,,,,,,,1,,,6,,3,1,,,44,,5528,4,1,,1,196,18,14,,,4,1,1,,,3,3,,2,9,,,,,,1,3,1,,,,1,1,,1,2,2,2,3,,,
223.6,20,,2,,,,,,1,,,13,,,148,1,1,,2,,,40,30,7,,9,,,,,,,,548,97,7,,1,,,3,,2,1,,,2,,2,19,,,,,,,,,,,,4,,,,,1,73,,555,,,,,150,7,17,,,,,,,,7,1,1,1,13,,,,,,1,7,1,,,3,1,1,,,2,3,3,4,,,
274.8,24,,3,,,,1,,,,2,8,1,,298,,,,,,,61,24,1,,1,3,,,,,,,508,69,12,1,,1,,1,1,4,1,,,1,,,20,1,,1,,,,1,,,,1,4,,1,,,2,49,,1628,1,,,,173,17,9,,,2,,1,,,4,2,,1,8,,,,,,1,3,,,,4,,,,,1,4,5,3,,,
325.9,28,1,2,,,,1,,1,1,,5,,,182,1,,,,1,,38,15,4,,2,1,,,,,,,289,46,10,1,,1,,,3,2,1,,,,2,1,15,,,,1,,,,,,,,11,,3,1,,1,81,,6931,13,1,,,184,20,7,,,7,,1,1,1,4,,,,10,,,,,,2,3,1,,2,1,,,,,,7,5,4,1,,1
377,32,1,3,,,,,,,,2,1,1,,593,,,1,1,,,51,13,,,,1,,,,,1,,242,27,10,1,1,1,,1,2,1,1,,,,2,,12,,,,,,,,,,,,13,1,,1,,2,57,1,1579,7,,,2,194,21,6,,,1,,,1,,2,,,1,7,,,1,,,,3,2,,1,,1,1,,,1,3,3,,,,
428.2,36,,6,1,1,1,,,,,,6,3,,413,,,,,,,19,23,3,1,2,3,,,,,,,94,132,16,,,3,,2,2,,6,,,,1,2,21,,,,,,1,2,2,,,,12,,,4,,3,42,,8157,6118,,,,276,33,7,,1,6,,1,,,3,1,1,3,10,,,,,,1,2,1,,,1,1,,,3,2,4,5,1,,,
