"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Liliaceae undiff.","Rumex acetosella-type","Rumex conglomeratus-type","Caryophyllaceae","Allium-type","Plantago lanceolata-type","Lavandula stoechas-type","Sordaria undiff.","Scrophulariaceae","Fabaceae","Juglans","Viburnum","Calluna vulgaris","Pistacia terebinthus","Adiantum capillus-veneris","Lamiaceae undiff.","Phillyrea","Arbutus unedo","Castanea","Erica arborea-type","Apiaceae","Cardueae","Quercus (evergreen)","Asphodelus albus-type","Polypodiophyta (monolete)","Alnus","Indeterminable undiff.","Pinus sylvestris-type","Juniperus-type","Cichorioideae","Aster-type","Fraxinus","Cyperaceae","Quercus (deciduous)","Cistus ladanifer-type","Chaetomium undiff.","Olea europaea","Pteridium aquilinum","Poaceae","Pinus pinaster","Urtica dioica-type","Amaranthaceae","Brassicaceae","Betula","Rubiaceae","Polypodiophyta (trilete) undiff.","Artemisia"
103,NA,NA,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,5,5,6,7,7,7,7,8,8,9,11,13,13,15,21,21,33,34,36,37,45,288,NA,NA,NA,NA,NA,NA,NA
152,NA,NA,2,NA,NA,2,NA,1,3,3,NA,2,2,3,3,2,NA,2,3,5,2,11,4,7,8,3,5,6,9,9,11,13,21,21,9,33,19,46,78,17,64,66,153,1,2,2,3,3,3,NA
201,NA,NA,4,1,NA,NA,1,2,1,5,2,3,2,2,4,NA,2,NA,5,4,2,8,6,8,9,9,8,5,11,7,8,21,9,25,9,11,11,56,95,21,49,54,167,NA,2,2,3,3,NA,1
251,NA,NA,6,NA,3,NA,1,2,1,4,3,4,3,7,5,1,3,NA,5,5,NA,13,7,5,11,16,5,3,13,11,13,9,9,18,11,9,23,39,21,29,32,39,311,NA,NA,3,2,NA,2,NA
300,NA,NA,8,1,2,NA,NA,NA,NA,5,NA,NA,NA,5,3,2,NA,NA,2,4,7,9,11,4,5,8,13,2,15,12,12,8,14,5,12,9,9,67,89,5,85,72,169,NA,NA,NA,NA,NA,NA,NA
349,NA,NA,10,3,NA,1,1,NA,1,2,5,1,2,2,5,4,3,NA,3,14,5,11,12,NA,3,15,NA,10,15,11,23,8,5,3,23,33,36,14,NA,NA,17,27,489,1,2,1,1,NA,5,1
399,NA,NA,12,4,2,NA,2,NA,NA,6,4,2,4,5,2,8,4,1,5,11,11,13,15,3,2,21,NA,8,25,9,17,19,1,3,18,21,28,22,4,NA,23,31,521,5,NA,1,NA,2,5,NA
448,NA,NA,14,1,2,NA,2,5,13,2,43,1,2,7,1,2,NA,NA,2,3,4,6,21,2,15,8,8,2,15,11,21,9,33,21,11,7,7,77,65,NA,43,66,213,13,5,3,1,1,NA,3
498,NA,NA,16,1,NA,2,NA,5,18,3,28,NA,NA,8,NA,2,NA,NA,1,3,3,8,35,2,9,5,9,NA,11,9,13,11,54,33,21,8,11,65,88,NA,35,59,222,16,8,5,3,NA,1,4
547,NA,NA,18,2,NA,1,1,2,NA,2,NA,1,2,2,3,2,4,NA,4,9,7,6,13,5,2,13,NA,5,23,5,11,11,4,4,13,33,23,23,NA,NA,13,44,400,3,2,2,2,NA,4,NA
596,NA,NA,20,1,1,NA,3,2,1,2,1,2,1,2,3,1,4,2,5,12,13,7,24,5,NA,24,NA,7,18,15,13,23,5,4,22,41,15,19,NA,NA,29,38,444,3,3,3,1,2,5,1
646,NA,NA,22,NA,NA,NA,2,NA,1,5,NA,3,NA,3,4,NA,NA,NA,7,11,9,5,14,4,1,27,2,8,23,11,17,17,7,2,18,23,28,44,3,NA,18,25,359,NA,NA,NA,2,1,NA,NA
695,NA,NA,24,3,2,3,3,2,1,5,1,5,4,1,1,8,1,NA,4,4,11,7,35,6,2,23,7,1,11,13,12,11,2,3,9,21,19,93,133,NA,113,78,165,3,3,1,2,2,2,1
740,NA,NA,26,3,2,NA,NA,NA,NA,2,NA,2,3,NA,2,4,2,1,2,9,7,4,23,5,1,25,NA,5,21,7,21,9,3,2,11,21,21,11,1,NA,25,39,477,NA,NA,NA,NA,5,NA,NA
783,NA,NA,28,3,1,1,1,1,1,3,1,NA,3,4,3,4,NA,NA,5,9,8,NA,11,5,NA,32,NA,5,19,11,15,13,1,NA,13,19,33,9,3,NA,33,42,513,NA,2,5,3,3,3,NA
826,NA,NA,30,5,2,1,NA,NA,NA,1,NA,3,NA,NA,2,3,4,NA,5,15,5,9,18,6,2,19,NA,7,11,6,9,19,4,3,8,23,15,13,NA,NA,19,45,449,1,1,1,NA,NA,1,NA
869,NA,NA,32,1,1,NA,1,2,NA,7,NA,2,1,3,5,3,2,NA,5,13,9,5,8,1,2,23,NA,7,15,11,7,11,5,3,9,15,18,19,NA,NA,19,41,469,1,3,2,1,1,5,1
913,NA,NA,34,NA,NA,NA,2,NA,NA,5,NA,3,2,4,4,2,NA,NA,3,11,8,4,11,5,NA,11,NA,5,17,8,6,9,1,2,7,23,23,32,NA,NA,23,32,500,NA,NA,3,2,NA,4,NA
967,NA,NA,36,3,NA,3,3,2,1,6,NA,NA,3,3,5,2,2,NA,2,23,6,5,9,6,3,21,1,11,23,9,8,11,NA,3,11,32,27,28,NA,NA,34,29,456,NA,NA,4,3,1,5,NA
1033,NA,NA,38,3,1,1,1,1,2,7,1,4,2,5,8,NA,4,NA,5,11,7,16,12,5,3,33,NA,8,19,7,9,9,4,NA,21,14,19,41,NA,NA,13,42,397,2,3,3,1,3,5,1
1099,NA,NA,40,NA,1,NA,4,NA,NA,3,NA,4,1,4,NA,2,7,1,6,14,8,7,21,7,4,26,1,9,18,11,7,8,3,3,9,15,21,33,NA,NA,21,32,433,2,NA,5,NA,3,5,NA
1165,NA,NA,42,4,NA,NA,3,NA,NA,8,2,NA,3,3,3,3,NA,NA,5,7,11,8,13,8,NA,27,NA,13,26,12,9,13,5,3,9,23,13,69,2,NA,34,15,509,NA,2,5,1,2,3,NA
1231,NA,NA,44,NA,NA,NA,2,NA,NA,9,NA,NA,2,4,4,NA,2,1,7,9,9,11,15,11,NA,19,NA,17,17,9,6,12,3,NA,12,19,23,57,8,NA,49,37,333,NA,NA,2,2,4,2,NA
1293,NA,NA,46,1,1,NA,2,3,NA,3,NA,2,1,5,3,3,NA,NA,4,1,3,21,23,7,6,7,5,4,13,8,11,3,21,15,6,11,32,10,11,33,53,103,300,2,3,3,2,NA,2,2
1353,NA,NA,48,NA,NA,1,2,1,2,3,2,3,1,5,NA,5,2,1,4,NA,3,19,31,8,8,8,12,4,11,12,9,6,33,23,7,7,21,9,34,49,45,78,277,3,3,3,3,2,3,2
1413,NA,NA,50,3,2,4,1,1,NA,4,NA,7,NA,4,1,6,NA,NA,5,4,4,13,18,5,13,9,9,3,9,7,9,7,29,35,8,8,18,11,54,65,38,93,169,4,5,4,NA,NA,5,NA
1473,NA,NA,52,3,5,NA,2,4,2,3,NA,2,2,2,3,5,NA,NA,7,1,5,5,13,3,13,13,13,NA,8,9,5,8,34,24,11,4,16,17,23,43,67,77,256,1,3,3,NA,2,NA,3
1533,NA,NA,54,3,4,1,3,5,NA,3,2,2,4,3,3,5,2,NA,8,NA,4,23,13,5,21,8,11,3,11,9,4,11,25,35,9,4,27,13,34,51,58,89,199,3,NA,3,2,NA,1,2
1594,NA,NA,56,2,3,3,3,3,1,4,NA,NA,3,5,2,6,1,NA,9,2,3,11,14,3,14,9,9,3,6,8,13,6,18,25,9,11,15,8,79,39,33,67,187,2,3,2,NA,3,NA,2
1654,NA,NA,58,2,2,2,NA,5,1,3,1,3,2,7,4,7,NA,NA,9,NA,6,14,21,4,15,13,9,2,7,7,8,5,29,18,3,13,18,16,67,44,61,56,254,2,2,4,3,2,NA,3
1714,NA,NA,60,3,2,2,3,5,2,2,2,5,1,NA,3,6,NA,NA,13,2,7,18,18,3,7,11,21,NA,5,11,21,5,19,23,4,15,13,69,87,27,42,79,176,3,2,2,3,2,1,2
1774,NA,NA,62,1,6,NA,4,7,NA,3,NA,NA,1,NA,2,8,NA,NA,11,NA,3,7,8,5,13,8,17,NA,8,12,15,4,26,27,13,6,23,54,99,38,69,69,257,1,NA,3,NA,2,2,1
1834,NA,NA,64,2,5,NA,NA,4,1,4,NA,1,NA,2,3,2,6,NA,2,6,7,8,17,2,11,19,7,1,4,13,11,7,24,23,9,7,27,26,33,NA,34,47,402,2,2,2,3,1,1,2
1906,NA,NA,66,NA,NA,1,2,NA,NA,5,1,2,2,2,5,NA,7,NA,3,8,5,7,13,3,9,23,3,3,5,9,13,6,13,18,11,9,33,23,29,NA,45,53,387,2,2,1,2,2,2,NA
1982,NA,NA,68,2,1,NA,3,NA,1,5,NA,3,2,NA,6,5,7,1,2,8,5,6,23,3,3,16,NA,3,6,9,9,9,3,3,9,13,29,6,NA,NA,6,29,365,2,5,2,3,3,2,1
2058,NA,NA,70,4,2,1,1,1,1,6,2,2,3,3,7,3,8,NA,3,9,6,11,31,4,3,27,NA,4,13,11,21,11,3,4,18,15,42,7,5,NA,21,33,399,1,3,3,3,NA,3,NA
2134,NA,NA,72,3,NA,NA,NA,NA,1,7,NA,NA,1,3,8,NA,6,3,4,11,7,9,24,5,4,18,NA,3,18,13,13,6,4,6,5,21,35,8,NA,NA,13,21,404,NA,NA,2,NA,NA,3,2
2209,NA,NA,74,NA,NA,2,3,NA,NA,4,NA,1,NA,4,5,2,5,NA,5,13,3,9,35,NA,2,23,NA,5,9,8,7,8,5,7,6,23,29,3,NA,NA,22,32,413,3,3,3,3,3,2,1
2270,NA,NA,76,NA,NA,NA,4,NA,NA,5,NA,1,3,NA,7,4,7,NA,3,17,8,3,29,3,5,33,NA,6,9,8,13,9,4,8,10,13,31,4,NA,NA,18,18,378,NA,2,2,2,NA,1,NA
2283,NA,NA,78,3,NA,2,2,1,2,7,NA,2,2,3,7,2,4,NA,3,21,4,4,33,3,2,31,1,3,8,9,7,7,3,3,7,21,44,4,1,NA,15,39,403,NA,NA,7,1,3,5,1
2297,NA,NA,80,3,1,1,1,1,1,11,2,2,3,3,7,2,4,3,2,16,5,7,43,3,3,19,NA,3,8,9,7,6,9,6,7,15,37,3,2,NA,21,60,377,2,2,6,2,4,5,4
2311,NA,NA,82,2,1,NA,NA,NA,3,9,1,NA,4,2,6,1,3,2,4,13,11,7,49,6,5,21,NA,7,11,13,6,8,5,3,6,8,25,7,NA,NA,18,37,399,NA,1,5,NA,NA,6,NA
2325,NA,NA,84,3,1,1,3,2,1,8,NA,3,2,NA,3,3,5,NA,2,18,7,8,36,6,8,26,NA,6,13,11,11,11,6,3,5,23,54,7,2,NA,8,43,367,2,2,3,NA,3,7,2
2338,NA,NA,86,NA,NA,NA,2,1,NA,3,NA,NA,5,3,2,2,3,NA,3,23,8,11,25,NA,3,33,NA,2,9,7,13,9,6,4,9,31,43,6,NA,NA,7,51,413,NA,NA,2,1,2,4,1
2352,NA,NA,88,NA,NA,NA,NA,NA,NA,5,NA,4,6,5,7,1,8,NA,6,13,9,9,38,3,4,20,NA,8,7,5,12,7,3,2,4,19,39,3,NA,NA,17,36,366,NA,NA,4,1,NA,4,NA
2366,NA,NA,90,3,NA,2,2,NA,1,5,NA,3,5,3,5,1,3,2,5,16,3,5,56,NA,2,29,NA,5,13,8,5,5,4,1,5,11,37,5,NA,NA,33,45,346,1,1,2,NA,3,8,1
2380,NA,NA,92,2,1,NA,2,NA,2,4,NA,3,4,2,4,NA,3,3,4,22,9,3,45,3,3,33,NA,6,11,7,7,4,5,3,7,21,39,7,NA,NA,22,65,356,3,2,3,1,2,8,NA
