"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Lonicera","Malvaceae","Primulaceae","Rhus","Apiaceae","Fabaceae","Pinus","Urticaceae","Juniperus","Crataegus","Styrax","Tamarix","Thymelaeaceae","Hippophaë","Cistus","Phillyrea","Arbutus","Nerium","Acantholimon","Pistacia atlantica","Pistacia palaestina","Polygalaceae","Rubiaceae","Dipsacoideae","Quercus coccifera","Polygonum","Rumex","Juglans","Plantago","Fraxinus ornus","Scrophulariaceae","Centaurea","Ziziphus","Myriophyllum","Sagittaria","Salix","Poaceae","Ulmus","Lamiaceae","Rosaceae","Lemna","Hedera","Elaeagnus","Acer","Campanulaceae","Populus","Brassicaceae","Liliaceae","Ranunculaceae","Papaveraceae","Prunus","Myrtus","Ceratonia","Alismataceae","Cercis","Quercus ithaburensis","Vitis","Olea","Cyperaceae","Typha","Rubus","Platanus","Fraxinus","Rhamnus","Laurus","Poaceae (Cerealia)","Artemisia","Boraginaceae","Ephedra","Amaranthaceae","Asteraceae","Euphorbiaceae","Helianthemum","Scabiosa","Zygophyllaceae","Teucrium","Sarcopoterium"
1861.177,NA,NA,75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,6,7,8,8,8,9,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,14,14,14,17,17,18,18,19,20,20,20,20,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925.882,NA,NA,80,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,3,11,10,12,13,13,11,13,3,16,15,12,8,13,13,13,18,13,14,14,14,14,14,15,15,15,15,15,15,22,16,16,24,25,41,42,19,22,22,22,22,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990.588,NA,NA,85,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,4,10,9,10,10,11,9,11,4,11,11,10,9,11,11,11,12,11,12,12,12,12,12,13,13,13,13,13,13,15,14,14,20,18,20,18,17,20,20,20,20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2055.294,NA,NA,90,6,6,6,6,6,6,6,1,6,1,6,6,6,6,6,6,6,6,6,6,1,1,2,2,2,3,11,11,13,13,13,10,13,3,23,23,11,8,12,12,12,23,12,13,14,13,13,13,14,14,14,14,14,14,23,15,15,21,19,32,32,18,21,21,21,21,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2120,NA,NA,95,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4,5,10,9,12,12,12,9,12,6,21,21,10,10,11,11,11,21,11,12,12,12,12,12,13,13,13,13,13,13,21,14,14,17,18,31,31,17,20,20,20,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2184.706,NA,NA,100,4,4,4,4,4,4,4,5,4,6,4,4,4,4,4,4,4,4,4,4,6,5,6,6,7,10,8,7,10,10,10,8,10,11,18,18,9,13,10,10,10,18,10,11,11,11,11,11,12,12,12,12,12,12,18,13,13,15,16,28,29,16,19,19,19,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2249.412,NA,NA,105,2,2,2,2,2,2,2,7,2,8,2,2,2,2,2,2,2,2,2,2,8,7,8,8,9,12,6,5,8,7,8,3,8,13,15,15,4,15,5,5,5,15,5,6,6,6,6,6,7,7,7,7,7,7,16,8,8,13,13,25,25,11,14,14,14,14,13,4,4,4,4,4,4,4,4,4,4,4
2314.118,NA,NA,110,3,3,3,3,3,3,3,10,3,10,3,3,3,3,3,3,3,3,3,3,11,10,10,11,11,15,2,2,2,3,3,4,3,15,8,7,5,18,6,6,6,10,6,7,7,7,7,7,8,8,8,8,8,8,11,9,9,10,12,14,12,12,15,15,15,15,12,4,4,4,4,4,4,4,4,4,4,4
2378.823,NA,NA,115,2,2,2,2,2,2,2,7,2,8,2,2,2,2,2,2,2,4,2,2,13,9,8,8,9,13,3,3,3,4,4,8,4,12,10,11,9,15,10,10,10,13,10,11,11,11,11,11,12,12,12,12,12,12,16,13,13,11,13,21,18,16,19,19,19,19,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2443.529,NA,NA,120,2,2,2,2,2,2,2,8,2,9,2,2,2,2,2,2,2,2,2,2,14,10,9,9,10,14,2,2,2,3,3,3,3,13,8,8,6,16,5,5,5,8,5,6,6,6,6,6,7,7,7,7,7,7,17,8,8,10,12,16,14,11,14,14,14,14,12,1,1,1,1,1,1,1,1,1,1,1
