14C age (yr BP) [undefined],Depth (cm) [cm],Amaranthaceae/Chenopodiaceae,Armeria/Limonium,Artemisia,Cruciferae,Cyperaceae,Gramineae,Indeterminables,Indetermines,Liguliflorae,Monoletes,Salvadoraceae,Tribulus,Tubuliflorae,Typha
6290,10,264,8,,,7,13,64,,1,,,1,6,
,20,228,43,2,1,5,33,73,1,1,2,,2,4,1
,30,295,11,2,,1,18,30,1,1,,1,,3,1
,40,302,51,1,,6,35,57,11,,,7,,2,
,50,265,12,2,,,15,34,,3,,,1,3,1
