"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Corylus","Cupressaceae","Euphorbia","Platanus","Typha/Sparganium","Liliaceae","Fraxinus","Pistacia","Poaceae (Cerealia)","Solanaceae","Acacia","Erodium","Fontanesia phillyreoides","Poterium sanguisorba","Anthoceros","Triletes (psilate)","Sample quantity","Brassicaceae","Plantago","Artemisia","Plantago lanceolata","Pinaceae","Poaceae","Ericaceae","Myrtaceae","Asteroideae","Rumex","Ruppia","Cyperaceae","Pinus","Indeterminable (unknown)","Cichorioideae","Quercus ilex","Olea","Quercus suber","Isoëtes","Amaranthaceae","Lycopodium spike","Rhus","Salix","Heliotropium","Myriophyllum verticillatum","Dipsacoideae","Thymelaeaceae","Indeterminable (unidentified)","Riccia","Botrychium lunaria","Indeterminable","Asphodelus","Knautia","Cedrus","Geranium","Apiaceae","Vitis","Alnus","Convolvulus","Polygonum aviculare/Bistorta officinalis-type","Monoletes (psilate)","Caryophyllaceae","Ranunculaceae","Buxus","Ephedra fragilis-type","Mercurialis annua","Unknown (monolete, non-psilate)","Betula","Typha latifolia","Lamiaceae","Linum","Persicaria maculosa","Ranunculus acris-type","Valerianella","Borago","Calluna-type","Echium","Cucumis sativus","Ophioglossum","Lythrum","Blepharis","Myrica","Chrozophora","Scabiosa","Cistus","Pteridium aquilinum","Malvaceae","Fabaceae","Plumbaginaceae","Huperzia selago","Polypodium vulgare","Abies","Castanea","Thalictrum","Centaurea","Cryptogramma crispa","Ulmus"
49,NA,NA,1,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.5, 39616.60104","2","3","4","4","5","6","7","7","8","9","9","12","14","22","23","27","37","49","57","168","386, 20848","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
247,NA,NA,5,"","","","","3","1","","4","4","","","","","2","1","2","2, 54840.47545","4","4","3","14","13","57","9","","20","2","5","28","4","24","27","41","7","162","6","39","387, 20848","1","1","1","1","1","1","1","1","1","1","2","4","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
841,NA,NA,17,"","1","","","6","1","","","","","","1","","","1","2","2.5, 90448.79725","3","1","2","14","3","16","5","4","24","19","","15","2","33","69","17","22","13","135","83","291, 20848","","","","","","1","","","","4","","","","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
940,NA,NA,19,"1","","","","4","","","5","1","","","","1","","","2","2, 44964.54237","5","","2","2","10","297","3","2","13","3","13","20","4","15","25","7","9","17","7","30","472, 20848","","","","1","","","","","","1","","","3","","","","","","","1","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1039,NA,NA,21,"","","","","3","","","1","","1","","","","","1","1","2, 94934.14533","2","1","6","9","1","31","","","14","4","","35","3","22","76","11","8","9","256","145","289, 20848","","","","","","","","","","4","","","1","1","1","","","","","","1","","","","","","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","",""
1633,NA,NA,33,"","","","","1","","","","","","","","","","","","0.5, 2550.745098","1","","1","1","5","6","9","","19","1","","28","7","12","60","21","2","4","87","163","3264, 37168","","","","1","2","","2","6","","2","","","6","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2407,NA,NA,53,"","","","1","6","","","5","1","","","4","","","2","3","2.5, 13335.86854","","1","","18","15","21","10","","20","4","2","19","12","23","77","2","11","19","54","79","1704, 20848","","","","","","","3","1","","6","2","1","6","","1","","","","","1","2","","","","","","","","","","","1","","","","1","1","1","","","","","","","","","","","","","","","","","",""
2952,NA,NA,69,"","","1","1","2","1","","2","","","","","","","1","","1, 5113.669646","7","","2","2","2","19","4","","15","8","1","33","2","9","26","23","5","24","29","118","2573, 37168","","","","6","1","","","1","","","","1","3","1","","","1","","","","","","","","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","",""
3429,NA,NA,83,"1","","","","3","1","","7","6","","","","","","","3","2, 8689.547816","3","2","2","13","5","40","5","3","42","8","14","16","7","17","45","21","27","32","13","25","1809, 20848","","","","","","","1","","","6","","","2","","","","","","","","","","","","1","","1","1","1","","","","","","","","","1","","","1","1","","","","","","","","","","","","","",""
4403,NA,NA,113,"","","","","4","","","3","","","","","4","1","","2","0.5, 10988.8","3","1","3","12","4","72","5","1","12","20","22","36","1","24","11","44","7","73","33","66","805, 37168","","","","1","","","1","","","","","","1","","3","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","",""
4670,NA,NA,123,"","","","1","","","","1","1","","","","","","","1","2, 14965.94996","2","5","1","","5","12","5","","12","3","","33","7","14","32","56","4","65","13","126","1159, 20848","","","","","","","","","","","1","1","6","","","","1","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","","","","",""
