Depth (cm),Acacia/Parkia,Alchornea,Amaranthaceae/Chenopodiaceae,Arecaceae,Artemisia (Africa),Asphodelus,Balanites,Barleria,Brassicaceae,Cadaba,Caesalpinioideae,Calligonum,Canthium,Caryophyllaceae,Cassia-type,Caylusea,Clematis-type,Cnestis-type,Combretaceae/Melastomataceae,Commicarpus,Compositae Liguliflorae,Compositae Tubuliflorae,Cordia,Cyperaceae (Africa),Dodonaea viscosa,Ephedra,Ericaceae (Africa),Euphorbia (Africa),Fern spores,Gramineae (Africa),Gypsophila,Hedera (Africa),Ilex cf. I. mitis,Indeterminata/Varia,Indigofera-type,Lannea,Liliaceae (Africa),Lycopodium (Africa),Lygodium,Merremia,Monolete psilate spores,Monolete spores with perianth,Monolete verrucate spores,Nitraria,Olea (Africa),Phillyrea,Phyllanthus,Pinaceae cf. Cathaya,Pinus,Plantago (Africa),Plumbaginaceae (Africa),Podocarpus,Polygala (Africa),Pteris,Rhamnaceae (Africa),Sapotaceae/Meliaceae,Schizaea-type,Schrebera,Solanum (Africa),Tamarix (Africa),Trilete psilate spores,Trilete verrucate spores,Typha angustifolia-type,Uapaca,Zygophyllum
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,
625,,,1,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1,,,,1,,,,,,,,,,,,3,,,17,,,,,,,,,,,,,,,,
775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,16,,,,,,,,1,,,,,,,,
925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,1,,,,,,,,
975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,
1925,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,1,,,,,,7,,,,,,,,,,,,,,,,
2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2225,,,43,,3,,,1,,,,1,,1,,,,,,1,5,19,,4,,4,,,5,16,2,,,2,,,,2,,,1,,,2,,,,,158,1,1,5,1,1,,1,,,,,,1,,,
2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
2525,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,1,,,
2675,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,3,,,5,,,,,,,,,,,,,,,,
2875,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
3025,,,64,,19,,1,,2,,,1,,20,,,,,,,2,7,,34,,22,,,5,17,5,,,1,1,,,,,2,3,,1,,1,1,1,,99,,,,,,,,,1,,,,1,,,
3175,,,31,,23,,,,,1,,,,4,1,,,,,,1,3,,14,1,10,,1,7,20,1,,,,1,,1,3,,,2,,1,,2,,,,181,,,,,,,,,,,1,,1,,,
3325,,,1,,,,,,,,,,,,,,,,,,,2,,,,2,,,2,2,,,1,,,,,,,,,,2,,,,,,288,,,,,,,,,,,,,,,,
3475,,,2,,,,1,,,,,,,1,1,,,,,,1,2,,1,,,,,5,4,,,,4,1,,1,,,,,,4,,,,,,272,1,,,,,,,,,,,,1,,,
3625,,,,,2,3,,,,,,,,,1,,,,,,5,6,,1,,,,2,8,5,1,,,2,,,,1,,,,1,5,,2,,,,239,,,3,,,2,,,,,,,1,,,1
