"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Apiaceae","Pinus","Amaranthaceae","Asteraceae (echinate)","Abies","Cichorioideae","Erica","Cyperaceae","Olea","Cupressus","Quercus ilex/Q. coccifera","Cistus","Quercus canariensis/Q. pyrenaica","Alnus","Cedrus atlantica","Poaceae","Mercurialis","Ephedra fragilis","Artemisia","Centaurea","Fraxinus","Daphne gnidium","Brassicaceae","Plantago","Plumbaginaceae","Caryophyllaceae","Pistacia","Asphodelus","Helianthemum","Boraginaceae"
4377,NA,NA,269,4,NA,NA,1,NA,NA,NA,NA,NA,17,18,NA,61,NA,53,10,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4451,NA,NA,276,2,NA,2,NA,NA,NA,NA,NA,NA,36,13,NA,87,NA,19,6,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,11,NA,NA,NA
4553,NA,NA,286,3,NA,NA,NA,NA,NA,NA,NA,6,33,32,NA,87,NA,33,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
4748,NA,NA,306,6,NA,NA,5,NA,NA,NA,NA,6,NA,35,NA,131,NA,102,11,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4878,NA,NA,320,3,NA,NA,5,NA,NA,2,NA,NA,NA,45,NA,176,NA,68,15,NA,6,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
4941,NA,NA,327,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,33,1,126,NA,26,13,NA,7,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
5012,NA,NA,335,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,38,NA,112,NA,28,14,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5115,NA,NA,347,6,NA,NA,NA,NA,NA,NA,NA,11,13,61,NA,145,NA,160,21,NA,11,NA,NA,NA,NA,NA,3,NA,5,9,1,NA,NA
5165,NA,NA,353,8,NA,NA,2,NA,NA,3,NA,7,23,NA,NA,105,NA,43,26,NA,6,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA
5320,NA,NA,372,1,NA,NA,1,NA,NA,NA,NA,1,15,24,NA,114,NA,32,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5444,NA,NA,388,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,26,NA,106,NA,34,8,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
5512,NA,NA,397,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13,NA,37,NA,23,24,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,NA,NA
5557,NA,NA,403,NA,NA,NA,3,NA,NA,NA,NA,2,NA,20,3,59,NA,23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
5615,NA,NA,411,4,NA,NA,2,NA,NA,NA,NA,NA,NA,36,2,62,NA,63,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5673,NA,NA,419,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,38,NA,63,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5729,NA,NA,427,2,NA,NA,6,NA,NA,NA,NA,NA,NA,36,NA,60,NA,78,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
5785,NA,NA,435,5,NA,NA,5,NA,NA,NA,NA,NA,14,30,NA,48,NA,104,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
5868,NA,NA,447,NA,NA,NA,5,NA,NA,NA,NA,14,NA,70,NA,168,NA,319,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5902,NA,NA,452,1,NA,NA,6,NA,1,NA,NA,NA,NA,49,NA,99,NA,216,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
5949,NA,NA,459,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,9,NA,38,NA,91,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA
5996,NA,NA,466,3,NA,NA,10,NA,NA,NA,NA,NA,NA,87,2,122,NA,96,68,NA,2,9,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA
6042,NA,NA,473,NA,NA,NA,4,NA,NA,NA,NA,5,NA,52,NA,98,NA,176,55,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA
6088,NA,NA,480,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,22,2,27,NA,435,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
