sample_name,depth,Achyranthes-type aspera,Olea capensis,Triletes,Hagenia abyssinica,Trema-type orientalis,Elaeophorbia-type drupifera,Euclea,Suaeda-type monoica,Flueggea-type virosa,Laportea-type aestuans,Rapanea,Myrica,Celtis,Zea mais,Combretaceae,Phyllanthus-type reticulatus,Tubuliflorae,Prunus africana,Urticaceae,Celosia-type trigyna,Zanthoxylum-type usambarense,Ricinus communis,Cyperaceae,Tribulus,Juniperus procera,Gramineae,Nuxia/Dobera,Cyphostemma-type,Ericaceae,Dodonaea viscosa,Rumex,Myrsine africana,Plantago lanceolata,Anthospermum,Eucalyptus,Chenopodiaceae,Rhus-type,Podocarpus,Nymphaea lotus-type,Monoletes,Typha,Justicia-type anselliana,Acacia groupe III,Crateva-type adansonii,Solanum,Acalypha,Umbelliferae,Xanthium-type,Ficus,Papilionoideae,Pilea-type bambuseti,Cissus-type quadrangularis,Cyathula-type orthacantha,Olea europaea ssp africana,Hypoestes-type,Capparis fascicularis-type,Protea-type,Salvadora-type persica,Aerva-type lanata,Pterolobium stellatum,Clematis,Plantago africana-type,Amaranthaceae/Chenopodiaceae,Acacia groupe I,Indetermines,Apodytes dimidiata,Shirakia-type elliptica,Indigofera-type schimperi,Phyllanthus engleri-type,Lannea-type,Macaranga,Euphorbia-type,Potamogeton thunbergii-type,Rubia-type cordifolia,Aphania-type senegalensis,Lactuceae,Moraceae,Clutia,Cruciferae,Buxus hildebrandtii-type,Syzygium,Lamiaceae,Blighia-type unijugata,Maytenus-type senegalensis,Hymenodictyon-type floribundum,Schefflera abyssinica-type,Asparagus buchananii-type,Leucas-type,Borassus-type aethiopium,Alchornea,Rubus pinnatus-type,Commiphora africana-type,Hallea-type rubrostipulata,Dichrostachys cinerea-type,Polyscias fulva-type,Diospyros,Maesa lanceolata-type,Phoenix reclinata,Vernonieae,Tiliaceae,Kotschya-type,Boscia-type,Kohautia-type caespitosa,Rhamnaceae,Maerua-type,Rubiaceae,Vepris-type dainellii,Psydrax-type schimperiana,Artemisia,Cussonia,Capparis tomentosa-type,Justicia-type odora,Croton-type,Loranthaceae,Schefflera myriantha-type,Cordia africana-type,Serichostachys-type scandens,Potamogeton pectinatus-type,Balanites aegyptiaca-type,Ximenia,Hymenocardia,Allophylus abyssinicus-type,Jasminum floribundum-type,Cocculus-type,Anthocerotaceae,Aerva-type javanica,Monocotyledoneae,Entada-type,Vepris-type nobilis,Mimulopsis-type,Digera-type muricata,Sapotaceae,Pupalia-type lappacea,Caucanthus-type,Polygonum senegalense-type,Cerastium-type octandrum,Cassia-type mimosoides,Cyathea,Margaritaria-type discoidea,Erhetia,Ascolepis,Trifolium-type acaule,Psilotrichum elliottii-type,Lantana-type viburnoides,Senecio-type mannii,Cissampelos-type mucronata,Erythrococca-type,Tephrosia-type uniflora,Ekebergia-type,Commelina-type benghalensis,Rhynchosia-type malacophylla,Pappea-type capensis
,1,1,6,4,9,1,1,3,3,1,1,1,1,3,2,2,1,15,1,9,3,1,6,76,1,27,275,2,1,4,21,1,1,7,1,6,4,1,46,1,13,6,1,4,1,1,15,1,3,3,1,1,1,1,5,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,6,1,5,,1,4,5,1,,,1,8,2,,,5,,3,2,,2,79,1,30,279,,,5,14,1,1,4,1,5,,3,65,2,10,4,,2,,3,3,1,6,3,,,,,7,1,,,4,1,1,1,1,2,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,1,5,3,8,,1,,5,,1,,1,2,,1,,4,1,22,6,,4,72,1,28,249,,,4,12,3,,8,,3,4,,87,1,7,3,1,5,,1,14,3,3,6,,,,,13,1,,,2,,,,,,4,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,2,8,5,10,,,4,5,,,,,4,,1,,7,2,10,,,2,55,,39,325,,,5,25,2,,6,2,,3,5,87,,8,14,2,4,,1,8,,1,4,,,,,10,1,1,,,1,,,1,,2,,,,,,2,1,,,1,,,1,2,,,1,,,3,1,1,1,1,2,1,1,1,2,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,12,,5,1,,5,4,,2,,1,7,,1,,6,,24,2,,4,55,,62,268,,,3,17,3,,5,,1,3,6,84,,6,5,2,3,,2,11,1,,1,,,,,7,,,,4,,,1,,,3,,1,,,,,,,,,,,,,,,,,,2,2,,1,2,,,,,,,,,,,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,4,1,13,,,6,,,,,1,9,1,3,,6,,24,3,,,42,,31,346,,,3,14,1,,1,,,1,1,80,,4,2,,1,,3,8,,,,1,,,,4,3,1,,,,1,2,,,,1,,,,,2,,,1,,,,,,,,,1,,3,,,,1,1,,,,1,,,,,2,1,,,1,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,6,1,9,,,1,3,1,,,,3,,2,,3,,17,1,,2,65,,27,332,,,4,6,1,,,,,,2,96,,2,2,,5,,1,,1,,,,,2,1,19,,2,,1,,1,,,1,,,,,,,,,1,,,,1,1,1,,,1,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,10,2,11,,,1,3,,1,,1,7,,1,,3,,4,1,,,66,,42,324,,,3,11,1,1,1,,,4,2,88,,5,8,,4,,3,1,,,1,,1,,,12,,,,4,,,,,,,1,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,3,2,1,6,,1,1,,,,,,3,,2,,2,,16,,,1,50,,27,356,,,4,9,2,,2,,,7,,84,,2,6,,2,,1,1,,,,1,,,,16,,,,1,,,,,,,3,,,,1,,,,,,,2,,,,,3,,,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,1,15,,10,,,1,7,,,,,4,,2,,6,1,16,,,,74,,67,327,,,5,16,2,,,1,,1,2,98,,2,3,2,2,,2,2,1,,,,,,1,25,,1,,3,,,,,,1,,1,,,,,1,,,,,1,,,,,1,1,,2,,,,2,,,,,,,,,1,2,,,,,1,,,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
