"age_NA","ageolder_BP","ageyounger_BP","depth","Nymphaea","Persicaria maculosa-type","Cirsium-type","Ostrya/Carpinus orientalis","Scilla-type","Datisca","Fraxinus excelsior-type","Cyperaceae","Salvinia","Polypodium","Poaceae","Dryopteris-type","Pteridium","Ulmus","Corylus","Tilia","Alnus","Quercus cerris-type","Abies","Carpinus betulus","Pinus","Fagus","Pediastrum","Ericaceae","Typha latifolia","Juniperus","Cedrus","Hedera","Scrophularia/Verbascum","Solanum dulcamara","Ranunculus sceleratus-type","Amaranthaceae","Artemisia herba-alba-type","Betula","Sparganium-type","Senecio-type","Poaceae (Cerealia-type)","Matricaria-type","Sphagnum","Anthriscus-type","Bunium-type","Caryophyllaceae","Ilex","Platanus","Prunus-type","Sambucus nigra-type","Thymus/Mentha","Ranunculus peltatus-type","Salix","Vitis","Brassica-type","Olea","Plantago coronopus-type","Juglans","Plantago lanceolata-type","Rhododendron","Rhynchospora-type","Verbena","Unknown","Castanea","Picea","Fabaceae","Populus","Onobrychis-type","Geranium","Acer","Artemisia vulgaris-type","Ranunculus repens-type","Viburnum-type","Pistacia","Rumex acetosa-type","Humulus/Cannabis","Quercus coccifera-type","Equisetum","Lythrum","Phillyrea angustifolia","Rosa-type","Buxus","Myriophyllum spicatum/M. verticillatum","Dipsacus-type","Cichorioideae","Secale","Theligonum","Botrychium","Taxus","Potamogeton","Hypericum perforatum-type","Antirrhinum/Linaria","Geum-type","Euphorbia","Filipendula","Plantago media-type","Loranthus","Silene-type","Mercurialis annua","Calluna-type","Urtica dioica-type","Cynoglossum-type","Apiaceae","Helianthemum","Rosaceae","Salvia","Cousinia","Hypecoum","Sanguisorba-type","Hedysarum/Ebenus","Bidens-type","Ephedra distachya-type","Galium-type","Polygonum aviculare-type","Crassulaceae","Thalictrum","Nuphar","Centaurea cyanus-type","Unknown (trilete)","Ophioglossum","Crataegus-type","Lysimachia","Lathyrus-type","Juniperus sabina","Plantago tenuiflora-type","Calligonum","Cyclamen","Xanthium","Plantago major-type","Periploca","Trapa natans","Apium-type","Celtis","Lemna","Orobanche","Linum","Rumex acetosella","Cerinthe-type","Plantago ovata-type","Juncus/Luzula","Nymphoides","Gentiana nivalis-type","Rumex hydrolapathum-type","Cistus","Centranthus","Fontanesia phillyreoides","Epilobium","Centaurea solstitialis-type","Urtica pilulifera-type","Kickxia","Pyrus","Boraginaceae","Stachys-type","Ranunculaceae","Oleaceae","Viscum","Delphinium-type","Heracleum-type","Fraxinus","Potentilla-type","Eryngium-type","Solanum nigrum","Veronica","Sagittaria","Lythrum portula-type","Lamiaceae","Fraxinus ornus","Pterocarya","Myrica","Hippocrepis-type","Verbascum-type","Consolida","Bupleurum-type","Plantaginaceae","Alisma","Cornus sanguinea","Trifolium-type","Asparagus-type","Liquidambar","Convolvulus","Iris","Hippophaë","Plantago cylindrica-type","Lycopodium","Menyanthes trifoliata","Campanula-type","Glaucium","Morus","Ranunculus sect. Batrachium-type","Capsella-type","Stratiotes","Ruta","Noaea-type","Frangula","Bellis-type","Lepidium","Cotinus coggygria","Hippuris","Prunella-type","Punica","Anthoceros laevis-type","Ephedra fragilis-type","Roemeria hybrida subsp. dodecandra-type","Rubus","Zea mays","Corydalis","Plantago maritima-type","Cuscuta","Androsace","Tamarix","Malus-type","Alhagi","Hypericum hirtellum var. assyriacum-type"
NA,NA,NA,1420,NA,NA,1,1,NA,NA,1,NA,NA,NA,9,5,7,21,35,16,45,74,4,165,78,483,NA,1,NA,1,1,1,NA,NA,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1240,NA,NA,NA,NA,NA,NA,2,11,NA,NA,9,3,62,10,2,NA,112,68,13,19,108,62,NA,3,NA,2,NA,NA,NA,NA,NA,2,4,NA,2,NA,3,3,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,6,2,1,NA,NA,8,7,NA,NA,NA,NA,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,660,NA,NA,NA,NA,NA,NA,8,2,NA,NA,11,7,15,9,26,NA,172,64,18,52,114,59,NA,2,NA,2,NA,2,NA,NA,NA,3,NA,NA,3,1,NA,NA,NA,1,1,NA,NA,21,NA,NA,NA,1,14,8,NA,NA,NA,2,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,960,1,NA,NA,NA,NA,NA,12,3,NA,NA,4,4,18,10,7,2,106,64,11,77,382,58,NA,1,NA,3,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,235,NA,NA,NA,1,NA,NA,4,6,NA,NA,17,3,3,28,15,2,140,20,8,54,49,201,NA,NA,NA,4,NA,2,NA,NA,NA,NA,1,NA,2,1,1,2,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,9,4,1,NA,NA,6,7,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1220,NA,NA,NA,NA,NA,NA,NA,6,2,1,8,4,77,4,5,1,116,80,24,12,85,56,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,2,1,2,1,NA,1,NA,NA,NA,40,NA,NA,NA,NA,11,1,2,3,NA,11,2,NA,NA,NA,NA,36,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,280,1,NA,NA,NA,NA,NA,2,4,NA,NA,10,5,5,35,33,8,284,43,15,57,77,162,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,1,NA,NA,28,7,1,NA,NA,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1275,NA,NA,NA,NA,NA,NA,4,19,1,NA,30,3,49,6,8,NA,213,120,33,34,131,86,NA,2,NA,4,NA,2,NA,NA,NA,3,10,1,1,NA,6,1,NA,1,1,NA,NA,35,NA,NA,NA,NA,9,5,1,7,NA,19,3,NA,NA,NA,1,59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,480,NA,NA,NA,3,NA,NA,14,8,NA,NA,11,13,8,15,18,28,113,118,14,90,143,176,NA,4,NA,3,NA,3,NA,NA,NA,1,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,16,8,2,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1110,1,NA,NA,NA,NA,NA,2,12,NA,NA,14,4,47,2,5,NA,151,98,15,21,117,60,NA,2,NA,3,NA,NA,1,NA,NA,3,4,NA,1,NA,4,1,NA,NA,NA,1,NA,23,NA,NA,NA,NA,8,3,1,2,NA,8,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2,1,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1200,NA,NA,NA,NA,NA,NA,5,6,2,NA,29,3,45,7,9,NA,213,92,12,28,90,71,NA,7,NA,5,NA,1,NA,NA,NA,3,5,1,4,NA,2,NA,NA,1,NA,NA,NA,27,NA,NA,NA,NA,7,3,1,4,NA,10,4,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1475,1,NA,NA,2,NA,NA,2,2,NA,NA,11,11,2,9,26,22,90,82,40,93,155,186,999,1,NA,NA,NA,4,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,820,NA,NA,1,NA,NA,NA,7,10,NA,NA,50,9,64,7,26,3,148,118,5,60,161,127,NA,3,1,2,1,1,NA,NA,NA,3,6,NA,NA,1,5,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,19,11,NA,NA,1,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1040,NA,NA,NA,1,NA,NA,2,14,NA,NA,20,2,56,6,10,NA,163,107,7,39,168,97,NA,7,NA,6,NA,2,NA,NA,NA,2,2,NA,5,1,NA,1,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,6,5,NA,NA,NA,5,2,NA,NA,NA,NA,12,NA,1,NA,NA,NA,1,3,NA,NA,NA,1,3,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,675,NA,NA,NA,NA,NA,NA,14,2,NA,NA,36,1,30,5,39,NA,203,116,12,38,112,50,NA,5,NA,3,NA,NA,NA,NA,NA,2,2,NA,2,NA,1,NA,NA,1,2,NA,NA,21,NA,NA,NA,1,5,16,NA,NA,NA,6,1,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,2,1,NA,NA,1,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,440,3,NA,NA,2,NA,NA,20,8,NA,1,12,26,9,15,15,7,98,113,16,104,139,109,NA,1,NA,9,1,1,NA,NA,NA,1,1,NA,2,1,1,1,NA,NA,NA,NA,NA,13,1,NA,NA,NA,16,10,NA,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,740,NA,1,NA,1,NA,NA,12,12,NA,NA,62,2,85,32,34,2,395,122,21,48,144,130,NA,8,NA,4,NA,NA,NA,NA,NA,1,NA,NA,7,NA,1,1,NA,NA,1,NA,NA,43,NA,NA,NA,3,3,21,1,2,NA,16,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1185,2,NA,NA,1,NA,1,2,20,2,NA,22,3,127,1,4,1,190,146,37,36,168,118,NA,2,NA,4,NA,NA,NA,NA,NA,4,6,NA,7,NA,3,NA,NA,1,NA,NA,NA,34,NA,NA,NA,1,11,3,NA,6,NA,20,4,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,540,1,NA,NA,2,NA,NA,24,4,NA,NA,8,7,10,14,17,21,114,78,14,60,143,126,NA,1,NA,2,NA,1,NA,NA,NA,2,2,NA,3,2,1,NA,NA,NA,1,1,NA,11,NA,NA,NA,1,10,4,NA,NA,NA,4,1,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1290,NA,NA,NA,4,NA,1,3,39,NA,NA,18,NA,71,4,2,1,159,88,20,29,145,79,NA,4,NA,1,NA,6,NA,NA,NA,NA,3,NA,4,NA,3,NA,NA,NA,1,1,NA,34,NA,NA,NA,1,20,4,NA,1,NA,15,2,NA,NA,NA,1,77,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
