Depth (cm),Acanthaceae,Alnus,Anthoceros,Antidesma-type,Apiaceae,Artemisia,Asphodelus,Betula,Brassicaceae,Calligonum,Caryophyllaceae,Cedrus,Celtis,Centaurea scabiosa-type,Chenopodiaceae/Amaranthaceae,Cistus-type,Combretaceae,Corylus,Cupressaceae,Cyperaceae,Delphinum,Dipsacaceae,Ephedra distachya-type,Ephedra fragilis-type,Erica,Euphorbiaceae,Geraniaceae,Gramineae,Gymnocarpus,Gypsophila-type,Helianthemum,Heliotropium,Isoetes,Juglans,Lamiaceae,Leguminosae,Liguliflorae,Liliaceae,Meliaceae,Monoletes,Olea,Ophioglossum,Phillyrea,Pinus,Pistacia,Plantago psyllium-type,Plantago sp.,Polemonium,Polycarpon,Poterium-type,Quercus ilex-type,Quercus pubescens-type,Quercus sp.,Ranunculaceae,Rhus,Rubiaceae,Rumex,Sanguisorba-type,Thalictrum,Thymelaea,Tilia,Triletes,Tubuliflorae,Typha,Ulmus
12.75,,1,,,,,,2,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,2,,1,,12,,,,,,,,2,,,,,,,,,,1,,,
22.75,,,1,,,,,2,,,,,,,6,,,1,,,,,1,1,,,,1,,,,,,,,,,,,,,3,1,9,1,,,,,,1,1,,,,,,,,,,,,,
32.75,,,,,,,,1,,,,,,,8,,,1,,,,,,1,,,,2,,,,,,,,,,,,1,,1,,20,1,,,,,,1,1,,,,,,,,,,,,,
42.75,,,,,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,
49.25,,,,,,26,,,11,,1,,,2,57,3,,1,,,,,5,17,2,,,11,,2,,,4,,,,14,,,1,4,1,4,99,4,,,,,,9,5,,,,,,,1,,,,15,,
59.25,,,,,,38,1,1,10,1,,,,,28,2,1,1,,5,,,3,5,1,,1,15,,,,,2,,,,14,,,1,1,,3,146,2,1,2,,,,3,5,,,,,2,,,,,,6,,
69.25,,,,,,74,,,6,,1,,,,37,1,,1,1,1,,,6,5,2,,,5,,1,1,,1,,,,6,,,,,,1,132,,,2,,,,2,3,,,,,4,,,,,,10,,
79.25,,,,,,51,,,1,,,1,,,40,2,,,,,,,9,8,2,,,6,,1,1,,3,,,,8,1,,2,,,,153,,,,,,,2,2,,,,,,,,1,,,8,,
84.75,,,,,,81,,,4,,2,,1,,50,,,,,1,,,5,6,,,,5,,,,,1,,,,8,,,,,,1,119,,,1,1,,,3,3,,,,,,,,1,,,11,,
89.25,,,,,,52,,,2,,3,,,,39,,,1,,1,,,8,10,1,,,12,,,,,1,1,,,9,,,,,,1,132,,,,,,1,4,5,,,,,2,,1,,,,16,,
94.25,,,,,,76,,,8,,,1,1,,49,,,,,4,,,6,8,2,,,21,,,,,2,,,,9,1,,,,,1,88,,,2,,,,5,5,,,,,2,,,,,,11,,
99.25,,,,,,109,,,7,,,,,2,38,,,,,2,,,4,5,5,,1,16,,,,,,,,,7,,,,1,,,78,,,1,,,,3,3,,,,,1,,,,1,1,17,,1
105.25,,,,,,91,,1,7,,,,1,2,43,,,,1,5,,,11,7,2,,,14,,,,,,,,,5,1,,,,1,1,89,,,,,,,3,1,,,,,2,,1,,,,9,,1
109.75,,,,,,82,,1,6,,,1,,,44,,,,1,2,,,8,5,1,,,10,,,2,,2,,,1,3,,,,,1,,115,,,2,,,,4,3,,,,,1,,,,,,7,,
119.25,,,1,,,69,,,10,,1,1,,,58,,,,,3,,,7,4,1,,,13,,,,,,,,1,15,,,,,,1,108,,,1,,,,4,3,,,,1,,,1,,,,10,,
129.25,,1,,,1,59,,,4,,1,,,1,47,,,2,,3,,,2,7,1,,,9,,,,,1,1,,,9,,,1,,,,130,,,3,,,,3,4,,,,,,,1,1,,,13,,
139.25,,,,,1,70,,,11,,,1,,1,53,,,,1,1,,,8,3,1,,,13,,,,,,,,,8,,,,1,,2,110,,,,,,,4,3,,1,,,1,,,,,,5,,
149.25,,,,,,91,,,5,,,2,,,47,,,,2,6,,,4,6,3,,,27,,,1,,2,,,,6,,,2,1,,2,73,1,,1,,,,2,6,,,,,2,,,,,,5,,
159.25,,,,,5,82,,1,16,,1,,,1,55,,,,,5,,,5,7,2,,,13,,,,,1,,,,10,,,,1,,2,57,3,,4,,,,9,6,,,,,3,,,,,,15,,
169.25,,,,,,41,,,12,,1,1,1,1,56,,,,,4,,,11,6,2,,,25,,1,,,3,,,,13,,,,,2,1,93,3,,2,,,,8,5,,,,,1,,,1,,1,8,,
179.25,,,,,,39,,1,7,,1,,,,50,,,,,1,,,,8,2,,,32,,1,,,,,,,25,,,,,,2,79,3,,3,,,,12,7,1,,,,4,,,,,1,11,,
189.25,,,,,,35,,,10,,,,,,31,,,,,3,,,2,11,2,,,25,,1,,,2,,,,16,,,,1,,6,111,7,,6,,,,14,6,,,1,,2,,,,,,12,,
199.25,,1,,,3,44,,,16,,,1,,1,35,,,1,1,3,,,2,11,2,,,34,1,,,,1,,,,10,,,,1,,4,94,3,,3,,,,11,4,,,,,1,,,1,,,14,,
209.25,,,,,,55,,1,3,,,1,1,,43,,,1,,2,,,8,5,1,,,7,,,,,,,,,1,,,,,,2,159,2,1,3,,,,2,1,,,,,,,,,,,5,,
219.25,,,,,,58,,,2,,,,,,30,,,,,3,,,7,4,1,,,6,,,,,1,,,,2,,,,1,,2,175,1,,,,,,2,1,,,,,,,,,,1,4,,
