"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Plantago major","Rubus","Vitis","Ostrya-type","Pistacia","Populus","Cannabis sativa","Trifolium repens-type","Mentha-type","Rubiaceae","Astragalus-type","Apiaceae undiff.","Lotus-type","Daphne","Cistus","Paronychia-type","Anthemis-type","Sorbus-type","Hypericum perforatum-type","Urtica dioica-type","Asphodelus albus-type","Theligonum cynocrambe","Chaerophyllum hirsutum-type","Ranunculus sect. Batrachium","Falcaria-type","Dryopteris filix-mas-type","Ulmus","Acer","Poaceae (Cerealia)","Typha latifolia-type","Corylus avellana","Phillyrea","Fraxinus ornus","Solanum dulcamara","Mercurialis annua","Isoëtes","Cercophora-type","Artemisia","Vicia-type","Ailanthus","Pteridium aquilinum","Sporormiella","Salix","Brassicaceae","Aster-type","Hedera helix","Amaranthaceae-type","Potentilla-type","Plantago lanceolata-type","Daucus","Pteridophyta (monolete) undiff.","Plantago coronopus-type","Quercus cerris-type","Cichorioideae","Eucalyptus","Quercus ilex-type","Fraxinus excelsior-type","Peucedanum-type","Juniperus-type","Potamogeton","Ceratophyllum","Olea","Castanea sativa","Rumex scutatus-type","Callitriche","Sparganium-type","Quercus pubescens-type","Oenanthe","Poaceae","Pinus","Cyperaceae","Lemnoideae","Lycopodium spike","Abies","Cuscuta","Platanus","Carpinus betulus","Fagus sylvatica","Carduus","Heracleum","Juglans regia","Lysimachia vulgaris-type","Asparagus","Celtis australis","Ornithopus","Cynoglossum officinale-type","Rosa","Trifolium pratense-type","Alnus glutinosa-type","Pimpinella major-type","Cyperus-type","Podospora-type","Spergula-type","Euphorbia","Rumex obtusifolius-type","Erica arborea-type","Cyclamen hederifolium","Rhynchospora","Epilobium","Echium","Agrimonia-type","Boraginaceae","Dipsacus","Ephedra fragilis-type","Centaurea nigra-type","Linaria-type","Verbena officinalis","Viburnum tinus","Nigella","Cerinthe","Corrigiola litoralis","Diporotheca","Foeniculum-type","Apium-type","Polygonum aviculare-type","Scrophulariaceae","Thalictrum","Rumex acetosa-type","Alisma-type","Carthamus","Glomus","Juncaceae","Fabaceae undiff.","Ranunculus acris-type","Euphrasia-type","Liliaceae-type","Eryngium","Odontites-type","Ammi-type","Turgenia latifolia","Bupleurum","Plantago maritima-type","Dianthus superbus-type","Linum catharticum-type","Matthiola-type","Pseudopediastrum boryanum var. boryanum sensu lato","Smyrnium-type","Caltha-type","Cerastium-type","Anemone-type","Convolvulus","Calystegia","Calligonum","Scandix pecten-veneris-type","Betula","Polypodium","Allium-type","Tuberaria","Silenoideae-type","Gladiolus-type","Calendula","Geranium","Prunus-type","Sedum-type","Ficus carica","Ornithogalum-type","Utricularia","Anemone hortensis-type","Asplenium-type","Jasione","Genista-type","Scorzonera humilis-type","Reseda-type","Urtica membranacea-type","Athyrium filix-femina","Helianthemum","Dorycnium","Senecio-type","Gelasinospora","Cirsium","Erodium","Asphodelus fistulosus","Gnaphalium-type","Heliotropium","Echinops","Papaver rhoeas-type","Lythrum portula","Anthoceros laevis","Rosaceae","Carlina","Persicaria maculosa-type","Loranthus europaeus","Ilex aquifolium","Riccia","Sanguisorba minor-type","Consolida-type","Lamiaceae undiff.","Serratula-type","Rhamnus","Urtica pilulifera","Dryopteris dilatata-type","Fedia cornucopiae","Humulus lupulus","Saxifraga granulata-type","Ophioglossum vulgatum","Anogramma leptophylla","Silene dioica-type","Knautia","Anthyllis","Myrtus communis","Botrychium"
-53.1,NA,NA,1,"18583, 3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","6","6","7","7","8","8","8","8","8","9","9","10","11","12","13","17","19","30","38","104","120","143","237","665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-41.49,NA,NA,5,"18583, 3","1","","","","","1","","1","","1","18","","1","","1","","1","2","1","","1","","","2","","2","","4","5","","","","2","","25","1","","10","6","","3","","","7","","2","5","2","3","1","7","3","7","9","2","16","8","5","2","5","7","2","12","22","2","3","","27","26","92","250","240","205","389","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-26.99,NA,NA,10,"18583, 3","1","","2","","","1","","","3","","16","1","3","","","","","1","1","1","1","","","3","","","","","1","1","","","1","1","27","","","6","1","2","1","","1","6","3","1","1","1","","3","9","3","2","8","2","8","3","10","","3","11","","8","15","3","","3","16","17","77","178","176","130","270","","","","","","1","","","","","","","","","1","","","","","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2.03,NA,NA,20,"18583, 3","1","","1","","1","2","2","","1","1","2","2","","","","","2","1","","","1","","","1","1","","","","","2","","","1","1","3","1","","2","3","","","","","3","1","","1","1","","2","3","","1","2","2","2","2","","","1","2","20","6","6","4","","2","8","8","59","63","132","77","279","","","","","","","","","","","","","","","","1","","","","","1","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31.04,NA,NA,30,"18583, 3","1","1","1","","","","","","1","","","","1","","","","1","2","","1","10","","","1","1","","","1","","3","","","","","","","1","","4","1","","5","2","1","1","","1","4","","1","4","","2","5","5","","","","","2","15","68","14","5","9","","","8","6","75","2","73","1","381","","","","","","2","","","","","","","","","","","1","","1","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
60.06,NA,NA,40,"18583, 3","1","","4","2","","","","2","","","","1","","","","","3","5","","1","4","","","3","13","","","","","7","","","1","","","","","","9","1","","1","1","","1","1","","10","1","2","11","","1","7","5","","4","2","1","5","14","100","7","9","12","7","","67","20","198","","102","12","545","","","","","","","","2","","1","","","","","","","2","","","","","","2","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
89.07,NA,NA,50,"18583, 3","1","","","","","1","","1","2","1","","","","","","1","1","6","","","1","","","7","51","","","","","3","","1","","","","1","","2","1","","","8","2","","1","","1","4","","","1","","","9","3","","3","1","1","1","9","101","2","1","2","","","14","34","140","2","73","4","576","","","","","","","","","","","","","","","","","1","","1","","","","2","","2","","","","","","2","","","","","","","","","","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
118.08,NA,NA,60,"18583, 3","1","","","","","","","","","","2","","","","","","4","1","","","1","","","2","12","3","","","","","","","1","","","","","1","6","","","3","3","","","3","","1","3","","1","1","2","5","6","","3","","1","1","7","91","1","3","6","","1","20","76","89","1","43","3","334","","","","","","","1","","","","","","","","","","","","","","","","","1","","","5","","","","","1","","","","","","","","","","","1","","2","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
147.1,NA,NA,70,"18583, 3","1","","8","","1","","","1","","","1","","2","","","","5","1","","","1","1","","3","5","","","","","4","","1","","","","1","","1","6","","","6","4","","1","3","","4","2","1","14","1","2","10","2","","6","","4","2","14","126","6","","4","","1","61","125","222","2","82","23","616","","","","","","","","","","1","","","","1","","1","1","","","","","","","","","","","","","","2","","","","","","","1","","5","6","","1","","1","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
176.11,NA,NA,80,"18583, 3","1","","","","","1","","","","","2","","2","","","","4","","","","3","","","1","3","","1","","","2","1","","","2","1","1","","2","4","","","2","","","2","1","","5","","2","6","","1","15","5","","5","","2","1","11","76","1","","2","","1","24","59","150","2","61","","448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","3","","","1","","","","","1","","","","1","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
