"age_NA","ageolder_BP","ageyounger_BP","depth","Pseudopediastrum boryanum","Betula","Caryophyllaceae","Corylus","Juglans","Plantago lanceolata-type","Knautia","Quercus coccifera-type","Ranunculus repens-type","Unknown","Botrychium","Cyperaceae","Alnus","Poaceae","Senecio-type","Sparganium-type","Myriophyllum spicatum/M. verticillatum","Cichorioideae","Matricaria-type","Cirsium/Gundelia","Polygonum aviculare-type","Amaranthaceae","Fraxinus ornus","Quercus","Dryopteris-type","Asteroideae","Cedrus","Centaurea solstitialis-type","Artemisia herba-alba-type","Pinus","Taxus","Ulmus","Trifolium-type","Sanguisorba-type","Galium-type","Poaceae (Cerealia-type)","Valerianella","Fraxinus excelsior","Sphagnum","Apiaceae","Euphorbia","Lemna","Brassica-type","Ephedra distachya-type","Ephedra fragilis-type","Filago-type","Fabaceae","Juniperus","Ranunculus peltatus-type","Sisyrinchium","Populus","Olea","Centaurea cyanus-type","Solanum dulcamara","Alisma","Convolvulus","Bunium-type","Ericaceae","Salix","Valeriana","Plantago major-type","Helianthemum","Erodium","Delphinium-type","Noaea-type","Pteris","Ostrya/Carpinus orientalis","Tilia","Artemisia vulgaris-type","Centaurea scabiosa-type","Ranunculus sect. Batrachium-type","Cheilanthes","Capsella-type","Cornus sanguinea","Lomelosia rotata-type","Eryngium-type","Turgenia-type","Citrus","Thalictrum","Hippophaë","Rhinanthus-type","Hypericum perforatum-type","Sambucus nigra-type","Scorzonera-type","Butomus umbellatus","Pteridium","Persicaria amphibia","Echinops","Utricularia","Anemone","Lotus-type","Arctium/Jurinea","Onobrychis-type","Nigella","Isoëtes","Daphne","Onopordum-type","Arceuthobium oxycedri","Carthamus","Plantago undiff.","Lysimachia","Rumex acetosa-type","Carpinus betulus","Thymus/Mentha","Typha latifolia","Campanulaceae","Papaver","Colchicum","Ranunculus sceleratus-type","Vitis","Persicaria maculosa-type","Pterocarya","Cousinia","Urtica dioica-type","Lycopodium","Rosaceae","Nymphaea","Rhamnus","Filipendula","Humulus/Cannabis","Castanea","Fagopyrum","Agrimonia","Dipsacus-type","Crassulaceae","Ribes","Potamogeton","Succisa","Cladium mariscus","Thelypteris palustris","Tamarix","Ranunculaceae","Bupleurum-type","Sanguisorba officinalis","Pimpinella-type","Pistacia"
NA,NA,NA,85,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,5,6,7,8,10,10,12,13,19,33,68,83,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,45,NA,NA,NA,1,7,10,NA,7,NA,2,NA,37,NA,8,1,118,NA,8,3,2,2,6,13,6,5,7,146,53,22,275,1,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,75,NA,NA,NA,NA,8,8,NA,9,NA,NA,3,73,NA,17,9,8,5,19,6,9,9,7,13,31,6,12,75,37,67,149,NA,NA,NA,1,NA,8,NA,NA,NA,NA,1,1,1,1,1,1,2,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,190,NA,NA,NA,NA,16,1,NA,4,3,NA,NA,62,NA,15,NA,16,NA,4,4,5,17,2,20,13,5,4,139,19,12,284,NA,1,NA,NA,1,8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,9,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,95,NA,NA,NA,1,8,8,2,NA,NA,NA,3,31,NA,7,4,NA,NA,35,19,6,14,11,24,31,7,22,50,51,362,176,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,225,NA,NA,NA,NA,4,NA,NA,2,NA,NA,1,45,NA,2,1,8,NA,23,15,4,23,9,11,3,7,82,94,222,34,182,NA,NA,NA,1,1,4,NA,NA,2,1,1,NA,2,1,NA,NA,NA,1,5,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,205,NA,1,NA,2,4,2,NA,3,NA,1,NA,20,2,8,NA,2,NA,6,2,3,10,1,1,2,2,12,51,29,9,145,NA,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30,NA,1,1,2,18,6,NA,1,1,NA,NA,60,NA,10,2,96,NA,35,1,1,3,10,13,39,2,5,89,84,26,406,NA,1,1,6,3,5,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,10,NA,NA,2,NA,1,4,NA,17,NA,2,NA,18,NA,18,11,8,NA,93,3,4,8,18,2,11,3,22,215,89,30,699,NA,NA,NA,NA,NA,26,1,NA,NA,NA,NA,NA,3,NA,2,NA,NA,33,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,60,NA,2,1,3,10,3,NA,5,NA,NA,1,44,1,18,1,25,NA,23,1,10,10,18,16,19,7,14,65,53,22,97,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
