Samples,Total pollen,Undetectable,Spores,Terfeziaceae spore type,Total palynomorphs,Lycopodium,Concentrations (gram/sediment),Weight (gram),Clumps of Chenopodiaceae,Apiaceae,Artemisia,Asteraceae Asteroideae type (aster-like),Atriplex,Boraginaceae,Brassicaceae,Bunium type,Carthamus,Caryophyllaceae,Centaurea cyanoides,Centaurea nigra,Chenopodiaceae,Asteraceae Cichorioideae type (dandelion-like),Convolvulaceae,Convolvulus,Crocus,Cupressus/Juniperus,Daphne Thymelaea,Dipsacaceae,Echinops,Ephedra fragilis type,Erodium,Fabaceae,Geraniaceae,Gundelia,Helianthemum sancti-antonii,Lamiaceae,Liliaceae,Limonium,Malvaceae,Noaea,Olea europaea,Pinus halepensis,Plantaginaceae,Poaceae,Quercus calliprinos type,Ranunculaceae,Rubiaceae,Scabiosa,Tamarix,Turgenia type,Urticaceae,Valerianaceae,Vicia type,Xanthium,Ziziphus
P21,239,9,4,,252,195,3852,3.1,23,,,4,169,,19,,2,,1,,1,5,,,,1,,,,2,,,,,23,,,,,5,,,1,,1,,,,2,,,,,3,
P22,358,10,4,,372,56,14972,4.1,62,,,4,219,,1,,,4,,,2,7,,,,2,,,,,,,,,91,,,,,25,,1,,2,,,,,,,,,,,
P23,471,,1,,472,97,12491,3.6,57,1,,1,341,,4,5,5,7,1,,6,1,21,2,2,,2,,1,,,4,1,,32,,1,5,,4,2,,,,,,3,6,,2,,2,7,2,
P24,173,31,19,,223,1198,441,3.9,12,,13,4,13,,,,4,,2,2,1,,,,,4,,,,,4,64,,17,11,,,,,2,,,,,,,,4,,,,,,25,3
P25,224,99,13,,336,591,1281,4.1,43,,,10,163,,,,,,,2,9,11,,,,7,,,,4,,,4,,,,,,,11,,,,3,,,,,,,,,,,
P26,373,,4,4,377,242,3788,3.8,23,12,,14,149,,4,13,2,64,,4,4,41,11,,,,,4,,2,,,,,6,,,,,11,2,7,1,,,,,15,,,,,,7,
P27,235,1,191,,427,211,4453,4.2,52,,,1,195,,,,,,,,22,1,,,,,,,,,,,,,,,,,1,14,,1,,,,,,,,,,,,,
P28,180,27,2,,209,251,2137,3.6,1,2,81,9,4,1,16,,,27,,,,15,,,,,,,,,,,,,,,,,,8,1,,,,,5,,,,,11,,,,
P29,330,,10,3,340,181,4234,4.1,7,,3,11,129,,1,,,1,,,11,144,,,,,,2,,3,,1,2,,1,1,3,,,2,,9,1,1,,,,2,,,,,,2,
P30,433,11,20,,464,339,4216,3,8,,,14,46,,2,,,27,,,1,311,,,,,,,,2,,,6,,,,3,,,4,2,7,2,,,,,4,,,,,,2,
P31,135,74,83,,292,53,11840,4.3,7,,10,25,21,,26,,7,4,,,1,4,,,,11,,,7,2,,,1,,,,,,,3,,11,1,,,,,1,,,,,,,
