"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Callitriche","Sparganium-type","Ostrya-type","Rosaceae","Ericaceae undiff.","Melampyrum","Anemone-type","Liliaceae-type","Cedrus","Sorbus-type","Ephedra fragilis-type","Fraxinus ornus","Lysimachia vulgaris-type","Centaurea nigra-type","Erica arborea-type","Hedera helix","Mercurialis annua","Myrtus communis","Pimpinella major-type","Pinus cembra-type","Falcaria-type","Smyrnium-type","Fungi","Betula","Cuscuta","Thalictrum","Allium-type","Rubiaceae","Rumex acetosa-type","Ranunculus acris-type","Plantago maritima-type","Anthriscus sylvestris-type","Apium-type","Pedicularis palustris-type","Sedum-type","Lythrum portula","Urtica pilulifera","Pteridophyta (monolete) undiff.","Apiaceae","Olea","Castanea sativa","Solanum dulcamara","Amaranthaceae-type","Chaerophyllum hirsutum-type","Silenoideae-type","Alnus viridis-type","Achillea-type","Corylus avellana","Plantago major/P. media","Peucedanum-type","Artemisia","Phillyrea","Pteridophyta (trilete) undiff.","Poaceae (Cerealia)","Cannabis sativa","Aster-type","Plantago coronopus-type","Pinus subg. Pinus","Juniperus-type","Alnus glutinosa-type","Ilex aquifolium","Urtica dioica-type","Myriophyllum verticillatum","Quercus cerris-type","Cichorioideae","Quercus ilex-type","Plantago lanceolata-type","Brassicaceae","Typha latifolia-type","Myriophyllum alterniflorum","Cyperaceae","Quercus pubescens-type","Fagus sylvatica","Poaceae","Lycopodium spike","Crataegus-type","Acer","Alisma","Hypericum perforatum-type","Daucus carota","Fraxinus excelsior-type","Gnaphalium-type","Cynoglossum officinale-type","Polypodium","Potentilla-type","Rubus","Cistus","Silene dioica-type","Cercophora-type","Mentha-type","Ranunculus sect. Batrachium","Pediastrum","Potamogeton","Phragmites-type","Sambucus ebulus","Salix","Pteridium aquilinum","Botryococcus","Fabaceae undiff.","Ulmus","Trifolium repens-type","Helianthemum","Juglans regia","Echium","Spergula-type","Sambucus nigra-type","Lemnoideae","Osmunda regalis","Astragalus-type","Rumex acetosella-type","Cerastium-type","Ephedra distachya-type","Loranthus europaeus","Sanguisorba minor-type","Lamiaceae undiff.","Geranium","Plantago undiff.","Populus","Carpinus betulus","Carduus","Gentiana-type","Asphodelus albus-type","Sphagnum","Saxifraga granulata-type","Spirogyra","Senecio-type","Trifolium pratense-type","Cyperus-type","Abies","Pistacia","Bupleurum-type","Thymelaeaceae","Indeterminable","Plantago major","Plantago media","Matthiola-type","Geum-type","Stachys-type","Eryngium","Paronychia-type","Gelasinospora","Cyclamen hederifolium","Secale","Genista-type","Caltha-type","Jasione","Oenanthe","Solanum nigrum-type","Viola","Alchemilla-type","Primula veris-type","Urtica membranacea-type","Scleranthus","Scrophularia-type","Ustulina deusta","Lygeum spartum","Sporormiella","Silene vulgaris-type","Crocus","Primula hirsuta-type","Juncaceae","Rhabdocoela","Rumex obtusifolius-type","Ceratophyllum","Vitis","Tilia","Picea","Ligustrum-type","Phlomis","Reseda-type","Cirsium","Astrantia-type","Rhinanthus","Euphorbia","Aconitum","Botrychium","Ambrosia","Filipendula","Rhamnus","Epilobium","Heracleum","Viburnum","Theligonum cynocrambe","Podospora-type","Athyrium filix-femina","Campanula-type","Adonis","Amphitrema","Prunus-type","Ophioglossum vulgatum","Teucrium","Vicia-type","Hedwigia","Montia","Cercis siliquastrum","Rumex scutatus-type","Lycopodium clavatum"
-56,NA,NA,0,"18584, 3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","5","5","5","6","6","6","6","7","7","7","7","8","9","9","10","11","17","22","27","45","52","69","98","214","629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
278.44,NA,NA,5,"18584, 3","1","2","2","2","","","","","1","","","","","","","1","","","","","","","","","","","","1","","","","1","","3","","","10","","4","","4","","","4","1","","","6","1","","1","12","","","3","","4","62","","","2","9","","","2","9","2","3","","13","35","50","27","57","115","82","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","3","9","14","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
612.89,NA,NA,10,"18584, 3","1","","12","3","","","","","","","","","3","","","","","","","","","3","","","","","3","","","","3","6","","3","","","3","","18","6","9","3","","3","","9","","3","3","","","3","","","18","","3","9","","","9","2","","18","9","2","3","2","3","42","48","30","18","90","126","78","","","","","","2","","","","","","","","","","","","","","3","6","9","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
947.33,NA,NA,15,"18584, 3","1","15","8","","","","","","","","","1","","","1","1","","1","","","","1","1","","","","","1","4","","1","","","3","","","62","","2","2","14","2","","2","3","","","3","1","","","10","2","","2","","1","48","1","2","5","7","1","","1","6","10","2","3","23","36","78","53","181","152","51","","1","2","","2","","1","","","","2","","","","1","6","17","14","14","","1","1","","1","1","1","1","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1281.78,NA,NA,20,"18584, 3","1","14","9","","","","","","1","","","","1","","","2","2","","","","","","","","","","","","2","","3","","","","","","18","","4","","6","","","2","1","","","6","2","","","3","","","1","","2","10","1","","1","5","1","","10","1","6","2","","","13","16","61","151","96","33","","","","1","","","","","","2","5","","","","1","4","3","7","10","","","3","","","","1","","1","","","","3","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1616.22,NA,NA,25,"18584, 3","1","3","24","","","","","","","","","","1","","","2","2","","","","","1","1","","","","","","1","","","","","1","","","26","","3","","11","","","2","","","","3","","","","4","","","","","2","16","","","5","7","","","2","5","7","2","2","","24","15","94","240","156","56","","","2","","","","","","","2","1","","1","","4","4","1","1","15","","","4","","","","","1","","","1","","1","","1","2","1","1","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1980.45,NA,NA,30,"18584, 3","1","19","7","1","","","","6","","","","1","","","","2","1","","","1","","","","","","","","1","","","6","","1","","","1","8","","15","","12","","","","1","1","","3","5","","1","4","","10","2","","1","","1","","5","16","","","33","2","3","","3","","","24","142","195","132","55","","3","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2364.54,NA,NA,35,"18584, 3","1","","","3","","","","","","","","1","1","","","2","","","","","","2","1","","","1","","","","","","","","","","","1","","1","","8","","","3","","","","2","1","","3","5","1","","","","5","1","","","2","5","","","4","2","9","3","3","","","1","65","227","305","40","","1","","","1","","","","1","","1","","","","2","","","1","2","","","2","","","1","1","2","","","1","","","","","","","","","","","","","","","","","2","","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2748.64,NA,NA,40,"18584, 3","1","22","","2","","","","","","","","1","2","","","2","","","","","","","","","","","","","","","","1","","","","","","","8","","6","","","2","1","","","4","1","","","3","","","","","5","1","1","","1","5","","","3","1","3","5","","","","28","41","150","191","20","","2","","","","1","","","","","","","","","5","1","","","","","","1","","","","","1","","","","","","","","","1","","","","","","","","1","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3132.73,NA,NA,45,"18584, 3","1","10","1","2","","","","","","","","1","","","","3","","1","","","","","1","","","","","","","","","","","","","","","","30","","6","","","2","3","","","1","","","3","6","1","","1","","2","1","1","","1","","3","","23","4","3","1","","","","8","114","181","104","30","","3","","","1","1","","","","","","","","","","","","","","","","3","","","3","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","1","1","1","1","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
