depth,R3cp 5,Compositae (tub),"R3c 4, corroded",Dracaena,Ziziphus? (R3cp 2),Cyatheaceae (P3letes 2),microforaminifera,R3cp 8,Gramineae,Mangifera indica (P3cp 2),Mallotus (P3cp 7),Cyperaceae,Indet pollen,Malvaceae,Psilatriletes 1,LYCOPODIUM tablets,P3c 2,Tamarix,Ammi,Euphorbia,Phyla,tintinids,Compositae (lig),Combretaceae,Schizaceae (Anemia type),Ceratopteris,R1c 6,diatoms,Impatiens,Chenop/Amar/Caryo,Echi-Bacutriletes,corr pollen,P3cp 18-14,Justicia,Retitriletes,cf. Canthium (R3p),Cardiospermum,Bignoniaceae? (R3c 6),P3cp 9,Emc 1-2,Acanthaceae,Verrutriletes,R3c 5,R3cp 3,cf. Plantago,Emc 3,Limonium,Typha,Thelipteridaceae (Emletes),Salvadora persica,Polygonaceae (P. glabrum type),cf. Adenium (P3p 1),Fagonia,cf. Cadaba (E3cp 2),Euphorbiaceae,P3cp 17,Hypoestes,P3cp 3,Allophylus,R3cp 18,Cassia (P3cp 1-5-6),corr spore,Solanum cf. incanum,Pinus,Psilamonocolpites 1,cf. Zygophyllum (R3cp 7),Acacia,Ephedra,Podocarpus,Leguminosae
3,1,16,1,2,2,1,131,1,117,4,2,10,4,2,5,467,3,19,1,1,1,6,26,6,1,1,2,4,2,136,8,1,1,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,25,1,,1,1,67,,127,2,,4,7,1,3,330,5,41,,,,3,17,14,,1,1,1,,105,3,7,,4,,1,1,1,1,1,2,1,6,1,1,1,1,1,1,1,6,,,,,,,,,,,,,,,,,,,
14,,24,,,,3,88,,38,,,3,8,2,6,646,7,18,,1,2,3,19,19,,4,,,,126,6,,,4,,1,,1,,,,1,1,,,,1,35,,4,,1,1,1,2,1,,,,,,,,,,,,,,
22,,44,1,2,,2,221,2,62,1,,1,4,3,6,1973,10,40,,1,,,21,15,,1,1,3,,168,2,13,,6,,,,,,1,5,,3,,,,1,3,,3,4,,1,,5,,1,1,2,1,1,1,,,,,,,,
35,,32,,2,1,,148,,148,,1,3,10,,5,937,2,17,1,2,1,2,13,39,1,1,,2,3,177,6,9,,9,,,,,,,,,1,,,,4,2,,4,6,,,,3,2,,,3,,,,2,2,1,2,2,2,1,2
