sample_name,depth,Olea africana,Grewia-type,Euphorbia-type,Prunus africana,Urticaceae,Chenopodiaceae,Salvadora,Pteridophyta monoletes,Ricinus communis,Hagenia abyssinica,Euclea,Amaranthaceae/Chenopodiaceae,Dodonaea viscosa,Typha,Acalypha,Myrica,Maytenus-type senegalensis,Ericaceae,Acacia groupe III,Juniperus Excelsa,Hypoestes-type,Macaranga-type,Pteridophyta triletes,Rumex,Capparidaceae,Rhus-type,Commelinaceae,Eucalyptus,Indetermines,Indeterminables,Cyperaceae,Nuxia/Dobera,Podocarpus,Plantago,Compositae Tubuliflorae,Celtis,Gramineae,Combretaceae,Plantago coronopus-type,Celosia-type trigyna,Achyranthes-type,Aerva-type lanata,Suaeda-type monoica,Solanum-type,Clematis-type,Euphorbiaceae,Justicia-type anselliana,Maerva-type,Vernonieae,Erythrococca-type,Ranunculus,Olea hochstetteri-type,Rubiaceae,Combretum-type molle,Croton-type,Impatiens,Cruciferae,Acacia groupe I,Lannea-type,Capparis tomentosa-type,Caucanthus-type,Salix,Digera-type muricata,Phoenix reclinata-type,Commelina-type benghalensis,Olea,Compositae Liguliflorae,Allophylus-type,Ambrosieae,Pupalia-type,Anthospermum,Sericocomopsis-type,Potamogeton,Plantago lanceolata-type,Leucas-type,Chenopodium-type,Sapotaceae,Pilea-type bambuseti,Plantago africana-type,Phyllanthus-type reticulatus,Dichrostachys-type,Schefflera,Mitragyna-type,Combretum-type aculeatum,Vahlia,Artemisia,Cissus-type quadrangularis,Ilex mitis,Clerodendrum,Kohautia-type caespitosa,Euphorbia-type hirta,Rhamnaceae,Papilionoideae,Commiphora africana-type,Acanthaceae,Cardiospermum,Bryophyta anthocerotaceae,Aerva-type javanica,Malvaceae,Commiphora Boiviniana-type,Umbelliferae,Buddleia,Securinega virosa,Cissamplelos-type Mucronata,Tribulus,Abutilon-type,Alisma-type plantago-aquatica,Schefflera abyssinica,Brucea antidysenterica,Tapinanthus-type,Rubia-type,Justicia-type odora,Acanthus-type,Ficus,Canthium-type schimperianum,Polyscias fulva-type,Balanites,Celosia-type argentea,Capparis,Blighia-type unijugata,Ximenia,Labiatae,Boerhavia-type
,1,8,1,1,1,13,6,1,1,3,5,1,1,9,5,2,1,1,2,2,15,1,1,2,3,1,3,1,1,4,8,18,1,55,3,3,5,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.5,13,,,,10,2,,3,1,5,,4,8,2,2,,,,1,35,1,,,,,,,,8,14,49,,100,,5,3,266,1,1,1,3,2,1,2,2,1,1,1,1,1,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.5,10,,1,,14,3,1,4,,8,2,1,6,2,5,1,,3,3,38,2,,,2,,2,,,6,11,73,,124,,1,5,311,,,,,1,2,,1,,1,,,,,11,,1,,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72.5,18,,,,4,,,3,2,7,,2,8,,1,,,6,3,26,,,1,2,,,,,5,15,38,,99,,1,7,165,2,,,3,3,2,1,1,,,,1,,,6,,2,,,,,1,,,,,,,,,,,,1,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102.5,12,,1,,20,,,1,,8,3,1,3,4,2,1,,1,2,29,,,,2,,2,,,4,8,21,,78,,2,5,167,1,1,1,2,,,,1,,,2,,,,2,,1,,,,,,,,,,,,,,2,,,,,,1,,2,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,122.5,20,,2,,15,3,,5,,5,3,4,1,3,5,1,,3,2,31,,,,4,,2,,,5,9,76,,91,,5,7,259,,,2,,1,1,,,,,,,1,,8,,2,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,13,,,,2,,2,6,,5,,,1,2,,1,,4,4,24,,,1,1,,2,,,1,14,120,,92,,1,5,372,,,,2,1,1,,2,,1,,,,,4,1,1,,,1,,1,,,1,,,,,2,,,,,,,,1,,,,,2,,,,1,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,170,11,,,,3,6,,4,1,1,,,,3,,,,2,,10,1,,2,,,2,,,3,12,160,2,88,,3,,294,,,,3,1,,,1,,2,,,,,3,,,,,,,1,,,,,1,,1,1,1,,,,1,,,1,,,,,,,,1,1,,4,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,180,25,,,,4,2,,1,,6,4,2,12,8,2,1,,1,2,9,,,2,2,,1,,,2,6,185,3,47,,3,8,285,,,,2,2,2,,2,,1,2,,,,2,,,,,,,,,,1,,,,,1,,,1,,1,,6,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,25,,,,3,1,1,2,,3,1,,10,21,,1,,1,2,7,,1,1,4,,1,,,2,12,119,,38,,3,1,189,,,,4,,1,1,1,,1,1,,,,6,,1,,,2,,1,,,,,2,,,1,,,,,,,5,1,,,,,,,,,2,,1,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
