"age_NA","ageolder_BP","ageyounger_BP","depth","Geranium","Ulmus","Vitis","Lythrum","Humulus/Cannabis","Eryngium-type","Carduus-type","Centaurea cyanus-type","Centaurea scabiosa-type","Cousinia","Fraxinus ornus","Quercus coccifera-type","Bunium-type","Filago-type","Scabiosa columbaria-type","Chrozophora","Lomelosia rotata-type","Ophioglossum","Lycopodium","Anthoceros laevis-type","Alnus","Malva","Artemisia vulgaris-type","Inula-type","Dryopteris-type","Polygonum aviculare-type","Poaceae (Cerealia-type)","Silene-type","Onopordum-type","Turgenia-type","Pteridium","Caryophyllaceae","Trifolium-type","Cedrus","Asphodelus albus-type","Sparganium-type","Senecio-type","Euphorbia","Cirsium/Gundelia","Apiaceae","Quercus robur/Q. cerris","Brassica-type","Pinus","Artemisia herba-alba-type","Cyperaceae","Carthamus","Amaranthaceae","Isoëtes","Poaceae","Centaurea solstitialis-type","Matricaria-type","Cichorioideae","Betula","Nuphar","Prunus-type","Salix","Sanguisorba-type","Olea","Daphne","Matthiola","Ferula-type","Dipsacus-type","Corylus","Nymphaea","Rosaceae","Rumex acetosa-type","Persicaria maculosa-type","Knautia","Spergularia-type","Ephedra distachya-type","Ephedra fragilis-type","Noaea-type","Mercurialis-type","Hyoscyamus","Polypodium","Platanus","Juniperus","Bupleurum-type","Galium-type","Theligonum","Plantago media-type","Scilla-type","Pimpinella-type","Ranunculus repens-type","Plantago lanceolata-type","Ostrya/Carpinus orientalis","Ranunculus sceleratus-type","Allium","Picea","Typha latifolia","Pistacia","Rhynchospora-type","Papaver","Hedera","Valerianella","Thymus/Mentha","Arctium/Jurinea","Heliotropium-type","Aquilegia-type","Asperula-type","Castanea","Plantago maritima-type","Thalictrum","Capsella-type","Primula","Tribulus","Delphinium-type","Myriophyllum spicatum/M. verticillatum","Ranunculus peltatus-type","Fagus","Alisma","Fabaceae","Stachys-type","Helianthemum","Styrax","Tamarix","Cistus","Fraxinus excelsior","Urtica dioica-type","cf. Anthericum","Anisosciadium-type","Descurainia","Cheilanthes","Acer","Apium-type","Psoraleeae","Prosopis","Ericaceae","Carpinus betulus","Abies","Sambucus","Juglans","Asteroideae","Ononis-type","Teucrium","Andrachne","Acroptilon","cf. Gratiola","Phillyrea","Halothamnus-type","Potamogeton","Echinops","Convolvulus","Hibiscus","Viburnum-type","Scrophularia/Verbascum/Digitalis","Colchicum","Ranunculus asiaticus-type","Rosa-type","Sagina","Scorzonera-type","Asphodeline","Ranunculus sect. Batrachium-type","Elaeagnus","Gentiana","Campanula-type","Myriophyllum alterniflorum","Lithospermum-type","Butomus","Onobrychis-type","Malabaila","Plantago major-type","Abutilon","Hypericum perforatum-type","Cladium mariscus","Nigella","Phlomis","Pteris","Filipendula","Plantago coronopus-type","Loranthus","Thesium","Osmunda regalis","Fagopyrum","Aristolochia","Calendula","Botrychium","Hypericum","Rhus","Xanthium","Rhamnus","Lotus-type","Syringa","Glaucium","Thelypteris palustris-type","Sisyrinchium","Lemna","Lysimachia","Vicia-type","Oleaceae","Rhinanthus-type","Solanum dulcamara","Iris pseudacorus","Primula elatior-type","Equisetum","Anemone","Caltha","Asparagus-type","Echium-type","Urtica pilulifera-type","Myrtus","Datisca","Genista-type","Verbena","Melampyrum","Cornus sanguinea","Potentilla-type","Tilia","Cupressus","Gentiana pneumonanthe-type","Leontice leontopetalum","Menyanthes trifoliata"
NA,NA,NA,155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,7,7,8,8,9,9,14,16,16,20,21,22,26,40,74,74,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,145,NA,NA,1,NA,NA,1,NA,2,1,1,NA,3,1,3,2,1,NA,1,1,NA,8,1,1,1,4,9,6,NA,2,1,5,4,2,3,1,13,3,5,8,21,19,10,16,24,11,14,15,15,32,79,51,189,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,235,NA,NA,1,1,NA,3,NA,NA,NA,1,NA,62,10,1,NA,1,NA,2,NA,NA,31,NA,1,NA,9,12,6,NA,NA,NA,4,10,8,NA,3,47,5,9,12,21,333,12,17,65,109,11,77,28,108,79,55,154,NA,NA,NA,NA,6,6,NA,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,345,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,36,3,3,NA,NA,1,1,NA,1,25,NA,NA,1,NA,2,1,NA,NA,NA,1,3,1,2,8,16,10,2,1,11,123,6,38,47,53,1,52,6,103,11,30,221,NA,NA,NA,7,4,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,5,NA,1,3,NA,1,NA,2,NA,2,4,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,185,NA,NA,4,NA,NA,1,NA,4,NA,3,1,32,2,3,NA,NA,1,2,NA,1,14,1,1,1,13,12,6,1,3,5,10,12,7,3,4,47,3,13,20,42,67,38,52,61,86,14,43,30,88,92,92,353,NA,NA,NA,3,3,15,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,4,1,1,1,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,NA,NA,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,215,2,3,NA,NA,NA,1,NA,NA,NA,2,NA,7,10,1,NA,NA,1,NA,NA,NA,29,NA,1,NA,17,4,18,NA,NA,1,8,13,1,3,6,43,14,16,11,24,209,22,67,48,100,4,69,25,172,39,43,198,1,NA,NA,5,4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,5,6,NA,NA,NA,3,3,3,6,NA,NA,NA,1,NA,NA,3,NA,2,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,295,NA,3,3,NA,NA,11,NA,1,NA,2,3,45,19,6,NA,NA,NA,1,NA,NA,204,NA,4,NA,7,21,5,NA,2,1,8,14,8,4,6,15,8,8,2,51,99,28,7,150,53,6,164,10,54,51,97,150,3,NA,1,4,4,20,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,NA,6,6,2,NA,NA,NA,NA,4,NA,1,4,NA,2,NA,NA,10,NA,NA,NA,3,1,1,NA,NA,NA,NA,1,1,1,NA,NA,4,1,2,NA,5,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,195,2,1,4,NA,NA,3,NA,2,NA,3,1,21,5,3,NA,2,4,NA,NA,1,28,3,4,1,10,9,17,1,4,1,7,19,3,11,14,49,7,10,24,27,106,30,54,69,90,16,34,23,102,132,110,389,NA,NA,NA,1,1,9,NA,NA,1,2,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,1,2,3,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,3,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,285,2,NA,1,NA,NA,4,NA,NA,NA,NA,NA,71,10,3,NA,NA,NA,NA,NA,NA,26,NA,2,1,3,5,6,NA,NA,NA,3,7,6,1,4,27,4,3,6,33,127,20,4,101,45,3,66,15,60,39,73,155,2,NA,NA,1,NA,9,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,1,NA,1,NA,3,3,NA,10,NA,1,NA,NA,5,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,1,1,8,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,165,1,NA,6,NA,NA,1,2,3,NA,5,NA,16,5,2,NA,2,2,3,NA,2,30,1,1,1,25,15,20,2,5,10,22,10,2,12,11,53,7,18,11,33,54,23,67,48,71,21,34,46,142,122,104,301,NA,NA,NA,1,3,2,NA,1,1,2,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
