sample_name,depth,Juniperus,Gramineae,Amaranthaceae,Helichrysum,Triletes,Umbelliferae,Alchemilla,Dodonaea,Olea,Monoletes,Thalictrum,Celtis,Indetermines,Ericaceae,Plantago,Podocarpus,Bosqueia,Cyperaceae,Rubia,Hagenia abyssinica,Prunus,Combretaceae/Melastomataceae,Chenopodium,Illecebraceae,Myrica,Acalypha,Caryophyllaceae,Artemisia,Monocotyledoneae,Urticaceae,Typha,Macaranga capensis,Liguliflorae,Ranunculus,Rumex,Anthospermum,Araliaceae,Myrtaceae,Fagara,Dendrosenecio,Myrsine,Acacia,Mimulopsis,Dombeya,Alnus,Rapanea,Commiphora,Lobelia,Salix,Labiatae,Stoebe
,0.5,16,87,1,9,1,7,33,3,11,1,1,1,12,5,1,47,1,609,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.5,18,114,,25,2,27,108,3,12,7,,8,7,24,4,34,,471,1,9,3,1,6,6,1,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,
,38.5,8,62,,6,3,14,85,7,9,2,,,12,15,4,17,,108,3,12,4,2,3,3,1,2,,,5,,,2,1,,,,,,,,,,,,,,,,,,
,50.5,9,66,,18,1,27,77,8,15,3,1,1,12,7,,26,,258,,10,,3,6,3,,6,,,2,2,,,,1,9,2,2,,,,,,,,,,,,,,
,62.5,22,43,,9,,26,93,2,16,1,,2,10,8,,30,,128,,11,5,1,4,1,1,2,,,,3,,,,,3,,,,,,,,,,,,,,,,
,75.5,13,61,1,7,,14,106,,8,6,,,9,,1,48,,,,11,1,2,5,3,,3,2,1,1,,,,,,3,,1,1,1,1,,,,,,,,,,,
,87.5,12,142,,11,,6,213,4,10,9,,1,19,23,,44,,384,,10,5,2,4,1,1,2,,,2,,,9,,,4,,,,,,1,,,,,,,,,,
,101.5,12,133,,15,1,7,179,3,12,4,,,14,25,,55,,723,,6,2,1,4,8,,1,,,7,2,,5,,,2,,,,,,,1,,,,,,,,,
,112.5,10,58,,5,1,5,77,1,15,2,,,8,5,,46,,228,,2,,1,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,
,125.5,21,71,,6,6,2,88,1,14,3,,,11,7,,52,,410,,2,1,1,,3,,1,,1,1,4,,6,,,,,,,,,,,,,,,,,,,
,137.5,23,110,2,7,,3,197,1,6,1,,,3,11,,51,,496,,4,5,,1,,,2,,,1,,,2,,,,,,,,,,,,,,,,,,,
,150.5,4,159,1,11,1,20,185,,17,3,,1,26,11,,50,,472,2,5,,4,3,1,,1,3,2,1,2,,16,,,,1,,,1,,,,,1,1,,,,,,
,162.5,7,95,1,15,,13,127,20,7,6,,1,6,,,38,,261,,3,2,1,,1,,,3,1,1,,,3,,,1,,,,,,,,,,,,,,,,
,175.5,12,146,,8,,8,100,1,8,2,,3,8,11,,55,,693,1,2,1,1,6,2,,3,4,,1,4,,1,,,3,4,,,1,,,,,,,,,,,,
,187.5,10,145,,37,2,5,62,,4,6,,2,7,10,,49,,228,1,4,4,2,,,,2,10,,,2,,2,,,1,2,1,2,,,,1,,,,,,,,,
,200.5,2,189,1,11,1,6,46,1,5,3,1,,8,8,,42,,337,,2,,1,2,,,1,6,,,3,,3,,,,,1,,,,,,,,,1,,,,,
,207.5,5,78,1,17,2,20,57,,3,,,,10,24,,41,,274,3,1,1,3,2,,,,9,1,,1,1,1,,,,1,,,,,,5,,,,1,,,,,
,212.5,5,175,3,15,1,14,34,,5,1,,,19,20,,9,,55,8,1,3,,4,3,,3,4,,,9,,,1,,,3,2,1,,,,11,,,,,1,3,,,
,218.5,4,180,2,11,5,11,77,1,13,3,,1,20,19,,69,,545,4,2,,,7,,,,10,,4,14,2,1,,,,1,,,1,,1,1,,,,2,,,,,
,225.5,4,137,2,4,1,4,17,,2,3,,,4,3,,21,1,254,5,,,,,,,,,,,15,,1,1,,,1,,,,,,,,,,,,,,,
,231.5,12,120,,53,1,4,36,,8,1,4,,10,1,,28,,422,,2,,,15,3,1,,5,2,,,,,,,,,3,,,,,,,,,1,,,,,
,237.5,10,141,,44,,103,12,,2,2,4,,9,,,30,,214,,2,,,10,6,4,,2,7,1,,1,,,,,2,,,1,,1,,,,,,,,,,
,243.5,27,144,,22,1,15,8,3,13,1,3,,21,3,,66,,480,1,3,1,,22,5,1,,2,3,1,2,,1,,,,,,,,,,,,,,,,,1,1,
,250.5,5,181,,15,1,17,22,,9,9,,1,7,7,,47,,490,2,1,1,2,10,1,1,2,2,2,,3,,,,,,2,,1,,,,2,,,,,1,,,,
,256.5,12,99,,50,1,53,64,2,14,4,,1,10,15,,12,,169,1,6,1,3,27,4,,3,8,,,1,,,1,,1,,,,,,,1,,,,3,,,,,1
,261.5,7,89,,51,,12,32,2,8,1,1,,5,2,,11,,77,,2,1,,17,2,1,,2,3,,,,,1,,,,,,,,,1,,,,,,,,,
,275.5,14,101,,31,,20,18,,3,,,,3,1,,22,,279,,2,1,,41,8,,,,2,,,1,,,,,,,,,,,,,,,,,,,,1
,281.5,4,38,,18,,5,3,1,5,1,2,,,,,5,,120,,,2,,12,3,1,,,2,,,1,,1,,,,,,,,,1,,,,,,,,,
,287.5,8,30,,4,,2,4,,6,,,,,,,26,,540,,,,1,7,3,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,1
,299.5,2,43,,4,,,1,,3,3,,,,,,7,,300,,,,,5,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,
