"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Plantago major","Ulmus","Apiaceae","Vitis","Mentha-type","Plantago lanceolata-type","Rumex acetosa-type","Persicaria maculosa-type","Secale","Cerastium-type","Rumex obtusifolius-type","Eucalyptus","Corylus avellana","Daphne","Hedera","Spergula-type","Eryngium","Agrimonia-type","Centaurea nigra-type","Fraxinus excelsior-type","Gnaphalium-type","Lythrum portula","Pimpinella major-type","Tuberaria","Amaranthaceae-type","Falcaria-type","Corrigiola litoralis","Cyclamen hederifolium","Gladiolus-type","Scandix pecten-veneris-type","Ceratophyllum","Isoëtes","Riccia","Pediastrum","Quercus ilex-type","Genista-type","Odontites-type","Cerinthe","Calendula","Foeniculum-type","Cercophora-type","Rhynchospora","Carduus","Erica arborea-type","Pteridophyta (monolete) undiff.","Poaceae (Cerealia)","Trifolium repens-type","Castanea sativa","Aster-type","Peucedanum-type","Apium-type","Juniperus-type","Brassicaceae","Quercus cerris-type","Cyperus-type","Rubiaceae","Artemisia","Potamogeton-type","Anthemis-type","Ranunculus sect. Batrachium","Plantago coronopus-type","Olea","Pteridium aquilinum","Lemnoideae","Cichorioideae","Oenanthe","Rumex scutatus-type","Cyperaceae","Sparganium-type","Quercus pubescens-type","Typha latifolia-type","Pinus","Poaceae","Lycopodium spike","Prunus-type","Acer","Pistacia","Linum","Scabiosa","Liliaceae-type","Echium","Phillyrea","Ephedra fragilis-type","Urtica dioica-type","Asphodelus albus-type","Borago officinalis","Sambucus nigra","Serratula-type","Theligonum cynocrambe","Ailanthus","Podospora-type","Cuscuta","Asparagus","Daucus","Trifolium pratense-type","Populus","Sporormiella","Polygonum aviculare-type","Asteroideae","Hypericum perforatum-type","Lysimachia vulgaris-type","Euphrasia-type","Carlina","Gelasinospora","Senecio-type","Paronychia-type","Silene dioica-type","Chaerophyllum-type","Juncaceae","Thalictrum","Anemone-type","Calystegia","Sorbus-type","Ficus carica","Amaranthus","Silenoideae-type","Turgenia latifolia","Polypodium","Diporotheca","Rosaceae","Vicia-type","Solanum dulcamara","Rubus","Salix","Euphorbia","Heracleum","Juglans regia","Buxus sempervirens","Ammi-type","Lygeum spartum","Smyrnium-type","Callitriche","Fraxinus ornus","Rumex acetosella","Rhus","Ostrya-type","Alnus glutinosa-type","Calligonum","Tordylium maximum","Utricularia","Anthoceros laevis","Ranunculus acris-type","Mercurialis annua","Picea","Bupleurum-type","Celtis australis","Fabaceae","Potentilla-type","Astragalus-type","Myriophyllum spicatum","Lythrum","Echinops","Rosa","Ornithopus","Glomus","Ustulina deusta","Sedum-type","Botryococcus","Athyrium filix-femina","Plantago maritima-type","Cistus","Abies","Betula","Valerianella locusta-type","Boraginaceae","Anthriscus sylvestris-type","Cannabis sativa","Allium-type","Carthamus","Fagus sylvatica","Lotus-type","Sagina","Androsace","Geranium","Knautia","Valeriana","Campanula-type","Hippocrepis-type"
-56,NA,NA,0,"18583, 3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","4","4","4","4","4","5","6","7","7","7","8","9","10","11","11","14","15","16","20","22","28","28","29","32","36","54","55","225","188","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15.83,NA,NA,10,"18583, 3","1","","","1","","","4","","","","","","3","1","","","","","","1","1","","1","2","1","2","","","","","","","2","","2","1","1","2","","1","","1","","3","2","","5","16","8","15","2","","1","4","5","2","5","3","2","7","12","133","3","5","3","40","9","16","26","8","19","19","134","147","101","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","3","5","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
87.66,NA,NA,20,"18583, 3","1","","","3","","2","1","","","","","1","","","","","","","","","","","","","4","6","1","","","","","","25","3","3","1","","","","2","","","","4","1","1","13","7","1","9","1","","1","12","1","2","1","2","2","54","","14","9","76","1","121","6","51","9","","9","2","1","208","143","","","","","","","","1","","2","7","","","","1","","","1","","5","","","8","1","1","1","1","1","1","1","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
159.5,NA,NA,30,"18583, 3","1","1","1","9","2","","2","1","","","","","","","","2","","","","2","2","","5","","","6","4","6","1","","","52","5","","90","2","","","2","","2","11","7","","3","1","4","2","2","2","2","7","","6","2","6","12","7","15","7","10","1","6","25","24","13","16","12","24","37","34","48","2","270","185","","","2","","","","2","1","","2","1","","","","","","","","1","12","1","","8","","","","","","1","","","3","1","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
231.33,NA,NA,40,"18583, 3","1","","","2","2","1","7","1","","","","","","1","","1","","","","","1","","2","4","","8","1","1","","","1","","","","8","3","1","","","","","16","","1","1","1","5","1","1","5","3","2","3","10","15","3","6","11","15","9","3","6","9","9","28","8","5","17","43","69","50","94","2","297","593","1","","3","","","","4","","","4","1","","","1","","","1","","","6","","","3","1","","1","1","","","","1","1","","4","1","1","","","","","","","","","","","","","1","","1","1","1","1","1","1","1","2","2","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
303.16,NA,NA,50,"18583, 3","1","","","2","1","","1","","","","1","1","","","","","","","","2","","","","","","5","1","2","2","","","87","","","","6","","","","","1","4","","","2","","1","","","2","2","1","1","2","9","2","3","7","8","2","1","1","2","16","55","5","","9","22","130","36","55","1","160","293","","","2","","","","2","","","","1","","","","","","","","1","5","1","","1","","","","","","","","","1","","","","","","","","","","","","","","1","1","","","","","1","","1","","","1","1","","3","1","1","1","1","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
374.99,NA,NA,60,"18583, 3","1","","","2","","3","6","","","1","","","","","","4","","","","1","","","1","","","3","1","","","","","59","2","","","2","","1","","","4","18","2","","1","2","3","3","","5","3","2","1","9","6","2","6","5","16","12","3","1","4","15","13","9","6","12","7","29","64","26","2","199","172","1","","2","","","","4","","","1","","","","","1","","","","","14","","","2","","","1","","","1","1","1","1","","2","","","1","","","","","","","1","","1","1","","4","1","","","","","","","2","","","3","","","","","","","","3","1","1","1","1","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
461.19,NA,NA,72,"18583, 3","1","","","4","","","2","1","","","","","","1","","4","","1","","1","2","","4","","","1","1","10","","","","","4","","","6","","","","5","","4","2","2","","","1","9","","4","1","","1","1","22","2","2","4","18","4","6","1","1","4","4","13","9","7","48","12","300","2","1","154","92","","","1","","","","","","","1","2","","","","","","","","","6","","","2","1","","","","","","","","","","3","","","","","","","","","","1","","","","2","1","1","","","","","","","","","","1","","1","1","","","","","3","1","","","","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
518.65,NA,NA,80,"18583, 3","1","","","5","","1","2","","1","","","","","1","","5","","","","1","","","9","1","","3","1","23","1","","","","3","","1","8","1","2","","2","","9","3","2","","1","4","15","","8","2","3","","","60","8","6","2","14","10","8","3","2","9","15","13","18","1","82","23","228","18","1","219","69","1","","1","","","","1","","","2","1","","","","1","","2","","","1","2","","2","2","","","","","","","3","2","","1","","","","","","","","","1","1","","","","1","","3","","","","","","","1","","","1","","1","1","","","","","","","","","","","","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
590.49,NA,NA,90,"18583, 3","1","","1","1","","","2","2","","","","","","1","","1","","","","1","1","","1","","","1","1","17","2","","1","86","","","3","2","1","","","","","3","1","","","","","","1","1","2","","2","","51","1","1","4","9","1","7","","1","2","9","3","5","","40","11","136","13","","50","107","","","1","","","","","1","1","2","","","","","","","","","5","1","","","","","","1","","","","","1","4","","","","1","","","","","","","","1","","","","2","3","1","","","","","","","1","","","","","2","","","","4","","1","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","",""
