"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Crassulaceae","Malvaceae","Alnus","Ranunculaceae","Fraxinus","Myrica","Pistacia","Rosaceae","Geraniaceae","Dipsacoideae","Acacia","Cedrus","Phillyrea","Ephedra fragilis-type","Noaea-type","Halothamnus-type","Myrtus","Lamiaceae (stephanocolpate)","Bellevalia-type","Cichorioideae","Fabaceae","Asteroideae","Abies","Poaceae","Podocarpus","Bunium-type","Lamiaceae (tricolpate)","Scrophulariaceae","Quercus coccifera-type","Artemisia sp.","Pinus","Cyperus","Atriplex-type","Betula","Castanea","Ericaceae","Allium-type","Centaurea","Chenopodium-type","Quercus ithaburensis-type","Cupressus","Cistaceae","Olea","Campanulaceae","Populus","Plantago","Polygonaceae","Ostrya","Poaceae (Cerealia-type)","Combretaceae","Primulaceae","Rumex","Picea","Tamarix","Cedrus libani","Thymelaea","Epilobium","Brassicaceae","Boraginaceae","Rhamnus","Ceratonia","Ziziphus","Ephedra distachya-type","Sium/Apium-type","Bupleurum-type","Saxifragaceae","Zygophyllaceae","Icacinaceae","Echinops","Papaveraceae","Asphodelus-type","Turgenia-type","Tilia","Valerianoideae","Corylus","Salix","Carpinus","Anisosciadium-type","Plantago lanceolata","Rhus","Acanthaceae","Pimpinella-type","Juniperus","Euphorbiaceae","Ferula-type","Malabaila-type","Ulmus","Caprifoliaceae","Orobanchaceae","Vitis","Acacia albida","Rutaceae","Salvadoraceae","Rubiaceae","Acer","Solanaceae","Cercis","Aristolochiaceae","Tsuga","Dacrydium","Loranthus","Amaryllidaceae","Gentianaceae"
140,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,8,27,39,55,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
630,NA,NA,11,2,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,NA,1,NA,1,NA,2,2,3,4,1,1,NA,2,10,15,95,51,51,1,1,1,1,1,1,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380,NA,NA,26,NA,3,NA,2,NA,NA,NA,NA,1,NA,NA,NA,5,2,1,NA,NA,NA,2,NA,NA,2,2,6,4,1,1,NA,1,48,2,68,111,33,NA,NA,3,1,1,NA,3,NA,NA,1,1,1,1,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2060,NA,NA,36,1,1,NA,1,NA,3,4,NA,NA,NA,NA,NA,7,3,4,2,NA,1,NA,NA,3,2,3,5,NA,1,1,2,NA,12,11,86,41,30,NA,NA,NA,NA,NA,4,2,1,NA,2,NA,NA,1,1,NA,NA,1,NA,NA,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2630,NA,NA,46,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,4,NA,1,NA,NA,3,NA,NA,3,3,13,1,NA,2,3,NA,34,29,51,57,41,NA,NA,NA,NA,1,1,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3260,NA,NA,56,1,3,NA,2,2,1,2,NA,1,NA,NA,NA,8,2,1,7,NA,NA,NA,1,NA,2,2,4,2,NA,2,2,2,26,12,51,24,39,NA,NA,NA,1,NA,4,7,NA,NA,4,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,3,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3790,NA,NA,66,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,1,8,1,4,1,NA,NA,2,NA,NA,NA,9,1,1,3,1,NA,13,8,78,62,52,NA,NA,NA,NA,NA,1,3,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4430,NA,NA,76,2,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,6,1,5,NA,NA,1,1,NA,5,4,2,2,NA,3,2,2,28,11,61,33,43,NA,NA,1,NA,1,1,9,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5090,NA,NA,86,NA,4,NA,NA,NA,NA,2,NA,2,NA,NA,NA,5,3,5,3,NA,NA,NA,1,NA,4,3,4,4,NA,4,1,NA,22,8,81,157,47,NA,NA,3,NA,NA,3,4,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5740,NA,NA,96,1,1,NA,2,2,1,1,NA,2,NA,1,1,NA,8,5,5,NA,1,NA,1,1,2,4,5,3,NA,2,1,5,22,13,58,77,39,1,NA,NA,NA,NA,NA,4,NA,2,8,NA,1,3,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
