"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Lamiaceae undiff.","Cichorioideae","Apiaceae","Polygala","Rumex acetosella-type","Betula pubescens","Sedum-type","Gentiana lutea/G. pneumonanthe","Ranunculus sect. Batrachium-type","Asteroideae undiff.","Potamogeton","Alnus glutinosa","Corylus avellana","Fritillaria lusitanica","Poaceae (Cerealia-type)","Erica australis","Halimium-type","Cyperaceae","Indeterminable undiff.","Quercus","Quercus ilex-type","Olea europaea","Pinus pinaster","Erica arborea-type","Poaceae","Pinus sylvestris-type","Pinus","Armeria","Plantago lanceolata-type","Rumex obtusifolius-type","Castanea sativa","Erica umbellata","Hedysarum cf. H. hedysaroides","Amaranthaceae-type","Vitis","Narcissus pseudonarcissus-type","Potentilla","Calluna vulgaris","Quercus robur-type","Nymphaea","Filipendula","Echium","Polypodium","Taxus baccata","Caryophyllaceae","Brassicaceae","Anthemis-type","Sphagnum","Filago-type","Plantago coronopus","Pteridium aquilinum","Juglans regia","Liliaceae-type undiff.","Dryopteris-type","Aquilegia","Narcissus bulbocodium","Vaccinium myrtillus","Hypericum perforatum-type","Juniperus communis","Equisetum","Galium-type","Campanulaceae","Hedera helix","Polygonum aviculare-type","Salix","Frangula alnus","Plantago alpina-type","Genista-type","Pedicularis sylvatica","Asphodelus","Cytisus grandiflorus","Ilex aquifolium","Micranthes stellaris-type","Hedwigia","Phillyrea","Myriophyllum spicatum","Fraxinus excelsior","Botrychium","Dipsacoideae","Fabaceae undiff.","Sparganium","Thalictrum","Helianthemum-type","Gentianella","Aconitum","Pistacia","Teucrium","Sanguisorba officinalis-type","Ulmus","Vicia","Typha latifolia","Rhamnus","Ephedra","Thymelaeaceae","Saxifraga granulata-type","Lycopodium clavatum","Lonicera periclymenum","Veratrum album","Centaurea nigra-type","Myrtus communis","Poterium sanguisorba","Lythrum","Lysimachia","Nigella","Myrica","Sorbus aucuparia","Lotus","Plantago major-type"
4384,4610,4197,160,NA,NA,2,4,NA,4,49,3,NA,12,NA,NA,13,NA,NA,32,2,NA,145,2,258,58,2,5,14,91,15,20,NA,NA,NA,1,NA,7,1,NA,NA,NA,19,200,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4488,4730,4283,165,NA,NA,NA,2,NA,4,17,NA,NA,27,NA,NA,6,3,NA,3,3,NA,6,1,124,22,NA,2,23,117,1,3,NA,NA,NA,NA,NA,1,NA,NA,1,2,2,102,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4591,4854,4370,170,NA,NA,NA,2,NA,8,25,14,NA,4,1,NA,20,NA,NA,8,NA,NA,16,4,230,30,NA,5,14,319,4,9,NA,1,NA,NA,NA,4,NA,NA,NA,NA,25,200,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4695,4979,4456,175,1,NA,NA,1,NA,8,13,NA,NA,17,NA,NA,4,NA,1,1,3,NA,5,2,89,6,NA,NA,31,290,2,2,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,83,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4799,5105,4542,180,NA,NA,NA,6,NA,10,47,6,NA,6,3,NA,12,NA,NA,15,NA,NA,30,8,156,6,NA,2,19,521,10,12,NA,NA,NA,7,NA,6,5,NA,NA,NA,15,150,NA,1,1,NA,NA,4,7,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4851,5168,4584,182.5,1,NA,2,2,NA,17,151,16,NA,43,NA,39,17,10,2,10,8,NA,8,1,130,14,4,8,40,395,7,15,3,NA,NA,NA,NA,NA,NA,NA,3,7,5,116,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,7,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4902,5232,4627,185,NA,NA,1,2,NA,6,107,8,NA,16,NA,2,9,2,NA,2,2,NA,14,4,98,27,NA,2,29,175,18,20,NA,NA,NA,NA,1,NA,3,NA,7,4,6,71,1,NA,1,NA,5,6,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
5030,5365,4748,190,3,1,1,6,NA,5,103,1,NA,7,1,5,14,4,NA,4,NA,NA,8,5,89,15,4,1,33,222,22,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1,NA,NA,NA,7,4,NA,1,NA,NA,NA,1,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5183,5506,4911,195,NA,NA,NA,NA,NA,3,101,NA,NA,11,NA,NA,3,3,NA,4,3,NA,3,NA,135,32,1,4,21,155,13,17,2,NA,NA,NA,NA,1,1,NA,1,4,6,103,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5335,5646,5073,200,1,NA,2,4,NA,11,186,1,NA,NA,1,17,8,4,NA,8,NA,NA,2,7,339,39,3,10,54,301,7,17,NA,4,2,1,NA,4,NA,NA,NA,NA,NA,300,NA,3,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,4,NA,1,1,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5487,5786,5234,205,1,NA,2,11,NA,16,225,3,2,18,1,14,20,3,NA,6,10,NA,4,NA,433,67,4,10,52,312,19,29,NA,1,1,1,2,NA,3,NA,NA,2,12,366,3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,96,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA
5639,5926,5396,210,NA,NA,2,6,NA,7,147,2,NA,8,2,2,27,NA,NA,12,NA,NA,20,3,249,16,3,21,3,134,21,42,NA,NA,NA,1,NA,1,3,NA,NA,NA,8,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5792,6066,5557,215,NA,1,NA,1,NA,10,328,1,2,26,1,NA,22,NA,NA,12,2,NA,4,NA,378,94,NA,45,32,194,22,67,NA,NA,NA,NA,NA,NA,1,NA,2,6,1,284,1,NA,NA,NA,4,NA,4,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,2,NA,NA,NA,20,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
5868,6136,5637,217.5,NA,NA,NA,6,NA,18,184,1,2,53,1,NA,13,8,NA,7,4,NA,1,NA,246,35,6,18,19,202,6,24,NA,1,NA,1,NA,NA,NA,1,NA,4,1,211,3,NA,NA,NA,NA,1,NA,NA,3,NA,NA,4,NA,NA,2,NA,NA,NA,3,NA,NA,1,1,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5944,6206,5718,220,4,NA,3,12,NA,22,255,7,1,24,3,4,29,6,NA,21,NA,NA,NA,8,656,262,2,59,29,533,37,96,NA,NA,1,4,NA,4,4,NA,NA,NA,NA,394,1,NA,NA,NA,4,1,1,NA,5,NA,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
6096,6347,5879,225,3,NA,3,2,NA,4,236,1,NA,18,1,3,15,2,NA,4,2,NA,2,NA,339,94,2,21,26,108,32,53,NA,NA,NA,1,2,NA,NA,NA,2,1,6,245,1,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA
6248,6489,6041,230,NA,NA,1,12,NA,24,481,8,NA,17,2,11,30,12,NA,18,NA,NA,3,11,539,399,7,37,41,290,25,62,NA,NA,NA,5,NA,NA,1,NA,NA,1,NA,140,3,NA,NA,NA,6,NA,NA,NA,1,NA,NA,6,NA,1,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6401,6630,6202,235,NA,NA,NA,7,NA,7,420,NA,NA,41,NA,NA,17,10,1,6,8,NA,4,NA,524,119,1,43,28,158,54,97,NA,1,NA,NA,NA,NA,3,NA,NA,2,2,405,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
6553,6772,6363,240,NA,NA,NA,4,NA,7,401,3,NA,8,1,NA,20,3,NA,11,NA,NA,NA,18,489,3,4,39,25,166,34,73,NA,2,11,1,NA,1,1,NA,NA,NA,NA,486,NA,1,NA,NA,1,2,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13,NA,1,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6705,6913,6524,245,1,NA,2,2,NA,25,302,2,NA,36,1,4,17,9,NA,11,4,NA,15,NA,421,73,3,47,20,235,28,75,1,1,NA,2,NA,2,NA,NA,NA,1,2,348,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
6857,7056,6685,250,2,NA,3,5,NA,19,308,5,NA,18,1,3,3,2,NA,13,NA,NA,8,15,588,88,4,64,13,197,58,122,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,500,NA,2,1,NA,10,1,5,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7010,7200,6847,255,1,2,3,5,NA,23,233,1,NA,108,2,2,5,13,2,11,4,2,4,4,479,106,4,94,8,184,102,196,NA,NA,5,NA,NA,NA,1,NA,1,10,16,373,NA,NA,NA,NA,2,4,NA,2,NA,NA,NA,3,NA,1,1,NA,NA,1,11,1,NA,NA,NA,NA,NA,37,NA,NA,NA,3,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7162,7343,7007,260,NA,NA,2,3,NA,3,153,4,NA,14,NA,7,NA,1,NA,6,NA,NA,5,18,373,73,5,38,19,92,36,74,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,300,NA,2,NA,1,7,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7314,7487,7167,265,1,NA,NA,2,NA,18,120,1,1,2,NA,NA,2,1,NA,NA,NA,NA,1,NA,211,26,2,41,5,125,11,52,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,185,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,3,NA,NA,3,NA,1,2,NA,1,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7466,7630,7325,270,NA,NA,NA,2,NA,1,76,NA,NA,1,3,NA,4,1,NA,2,NA,NA,28,5,254,54,NA,24,NA,71,30,54,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,200,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7619,7774,7482,275,1,1,1,10,NA,25,98,NA,1,7,NA,NA,2,1,NA,NA,NA,NA,5,NA,234,15,NA,25,4,131,12,37,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7771,7919,7638,280,2,NA,3,4,NA,3,137,1,NA,NA,NA,NA,4,1,NA,19,NA,NA,2,19,515,115,3,80,12,191,26,106,5,NA,7,1,NA,NA,NA,NA,NA,NA,NA,400,NA,5,NA,NA,1,NA,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,14,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
7923,8064,7794,285,NA,NA,2,2,NA,11,124,1,NA,40,2,NA,14,NA,NA,8,3,NA,4,NA,480,74,2,78,7,263,42,120,1,NA,NA,1,NA,NA,1,NA,NA,5,5,406,7,NA,NA,NA,NA,NA,NA,2,1,NA,NA,5,NA,NA,1,1,NA,NA,2,1,NA,3,NA,NA,NA,13,10,NA,NA,NA,2,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
8075,8209,7950,290,2,NA,3,2,NA,9,120,3,NA,1,1,NA,9,1,NA,1,NA,NA,6,4,332,82,2,44,3,111,45,89,NA,1,NA,2,NA,2,NA,NA,NA,NA,4,250,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8228,8354,8105,295,2,NA,2,5,NA,17,185,NA,1,38,1,NA,9,4,NA,4,1,1,7,NA,253,32,NA,23,4,170,25,48,NA,NA,NA,1,NA,NA,NA,NA,NA,6,6,221,3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8380,8501,8261,300,NA,NA,2,3,NA,5,141,3,NA,6,3,2,11,NA,NA,4,NA,1,16,8,230,75,NA,44,3,101,45,89,NA,NA,NA,1,NA,1,NA,NA,NA,NA,7,155,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8684,8794,8569,310,NA,1,1,2,NA,4,86,NA,NA,12,1,1,2,4,NA,NA,NA,NA,5,1,120,3,NA,17,3,144,20,37,NA,1,1,NA,NA,NA,NA,1,NA,5,4,117,3,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8989,9099,8874,320,NA,NA,1,5,NA,15,119,NA,NA,17,4,NA,1,9,NA,NA,1,NA,1,3,262,8,3,26,4,174,35,61,NA,NA,2,NA,NA,NA,NA,NA,NA,5,3,254,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,2,NA,NA,1,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,5,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9293,9408,9171,330,3,NA,2,7,NA,25,212,5,NA,24,2,1,2,3,NA,NA,1,NA,3,3,343,11,1,37,5,224,22,59,NA,NA,2,NA,NA,NA,1,NA,NA,5,7,332,1,NA,NA,NA,1,NA,6,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,1,1,NA,3,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
9583,9706,9451,340,3,NA,2,4,NA,32,185,11,11,12,NA,NA,3,NA,NA,2,3,NA,2,NA,474,32,1,120,5,185,7,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,442,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,16,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9948,10087,9800,352,6,NA,5,9,NA,14,15,3,NA,30,2,2,3,NA,NA,NA,1,NA,7,2,269,30,NA,59,2,186,29,88,NA,1,NA,NA,NA,NA,NA,NA,1,5,2,239,2,NA,NA,NA,1,1,NA,NA,2,NA,NA,2,NA,1,NA,1,NA,NA,5,1,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
10192,10344,10031,360,2,NA,3,8,NA,23,40,4,1,7,NA,NA,3,2,NA,NA,NA,NA,3,NA,316,16,1,99,4,196,3,102,1,NA,NA,NA,NA,NA,1,NA,NA,1,4,300,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1
10496,10668,10317,370,4,NA,3,9,NA,13,16,4,NA,26,3,1,1,NA,NA,NA,NA,NA,12,3,424,28,1,76,NA,309,54,130,NA,1,1,NA,NA,NA,2,NA,1,2,7,396,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,1,1,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
10801,10994,10602,380,4,NA,NA,4,NA,33,16,2,NA,2,1,NA,2,1,NA,NA,NA,NA,6,NA,285,8,NA,99,2,185,17,116,3,NA,NA,NA,1,NA,NA,NA,NA,NA,3,277,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11105,11320,10885,390,4,1,1,7,NA,19,15,1,NA,10,2,4,NA,NA,NA,NA,NA,2,7,NA,270,6,NA,28,2,245,55,83,NA,1,NA,NA,NA,NA,1,NA,NA,3,3,264,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11410,11646,11165,400,4,NA,1,10,NA,44,20,4,4,3,4,NA,1,1,NA,NA,NA,NA,1,NA,290,15,NA,112,4,303,19,131,2,NA,NA,NA,NA,NA,2,NA,NA,1,1,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,3,3,NA,NA,1,NA,NA,1,NA,NA,15,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11714,11971,11443,410,9,1,5,11,NA,27,26,2,NA,46,NA,1,1,NA,NA,NA,1,NA,11,1,381,14,NA,34,4,421,124,158,NA,NA,NA,NA,NA,1,1,NA,2,4,6,367,NA,NA,NA,NA,1,4,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
11866,12132,11581,415,10,NA,1,13,NA,64,26,1,5,NA,1,NA,1,NA,NA,3,1,NA,9,NA,489,18,3,209,8,460,65,274,5,3,NA,NA,NA,NA,5,NA,NA,1,6,471,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,5,NA,NA,NA,NA,2,NA,1,2,NA,3,NA,NA,NA,2,2,NA,25,NA,NA,1,NA,2,NA,2,NA,2,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
