"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Lamiaceae undiff.","Cichorioideae","Apiaceae","Polygala","Rumex acetosella-type","Betula pubescens","Sedum-type","Gentiana lutea/G. pneumonanthe","Ranunculus sect. Batrachium-type","Asteroideae undiff.","Potamogeton","Alnus glutinosa","Corylus avellana","Fritillaria lusitanica","Poaceae (Cerealia-type)","Erica australis","Halimium-type","Cyperaceae","Indeterminable undiff.","Quercus","Quercus ilex-type","Olea europaea","Pinus pinaster","Erica arborea-type","Poaceae","Pinus sylvestris-type","Pinus","Armeria","Plantago lanceolata-type","Rumex obtusifolius-type","Castanea sativa","Erica umbellata","Hedysarum cf. H. hedysaroides","Amaranthaceae-type","Vitis","Narcissus pseudonarcissus-type","Potentilla","Calluna vulgaris","Quercus robur-type","Nymphaea","Filipendula","Echium","Polypodium","Taxus baccata","Caryophyllaceae","Brassicaceae","Anthemis-type","Sphagnum","Filago-type","Plantago coronopus","Pteridium aquilinum","Juglans regia","Liliaceae-type undiff.","Dryopteris-type","Aquilegia","Narcissus bulbocodium","Vaccinium myrtillus","Hypericum perforatum-type","Juniperus communis","Equisetum","Galium-type","Campanulaceae","Hedera helix","Polygonum aviculare-type","Salix","Frangula alnus","Plantago alpina-type","Genista-type","Pedicularis sylvatica","Asphodelus","Cytisus grandiflorus","Ilex aquifolium","Micranthes stellaris-type","Hedwigia","Phillyrea","Myriophyllum spicatum","Fraxinus excelsior","Botrychium","Dipsacoideae","Fabaceae undiff.","Sparganium","Thalictrum","Helianthemum-type","Gentianella","Aconitum","Pistacia","Teucrium","Sanguisorba officinalis-type","Ulmus","Vicia","Typha latifolia","Rhamnus","Ephedra","Thymelaeaceae","Saxifraga granulata-type","Lycopodium clavatum","Lonicera periclymenum","Veratrum album","Centaurea nigra-type","Myrtus communis","Poterium sanguisorba","Lythrum","Lysimachia","Nigella","Myrica","Sorbus aucuparia","Lotus","Plantago major-type"
442,545,356,30,5,NA,3,4,NA,19,1,3,3,6,1,NA,2,NA,NA,19,46,5,13,NA,56,14,87,62,218,614,4,66,NA,6,NA,5,8,NA,3,1,NA,96,7,42,NA,NA,NA,NA,NA,2,NA,3,NA,1,3,7,2,NA,1,NA,42,NA,1,14,NA,5,NA,NA,NA,1,NA,NA,1,12,1,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521,637,422,35,3,2,4,7,NA,18,1,52,3,15,1,NA,8,1,3,61,65,3,10,12,130,10,124,1,314,899,8,9,NA,8,2,8,7,7,4,NA,2,122,19,120,1,NA,NA,NA,NA,4,NA,7,18,NA,2,9,2,NA,1,NA,26,3,NA,6,NA,4,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,4,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
599,731,489,40,NA,2,1,2,NA,2,16,1,4,16,1,NA,9,NA,3,9,28,NA,110,3,81,7,6,1,88,429,2,3,NA,5,1,3,2,1,NA,NA,NA,NA,10,74,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717,872,586,47.5,1,NA,2,3,NA,1,12,5,NA,19,NA,1,9,2,NA,7,15,3,81,NA,45,2,2,1,25,93,2,3,NA,7,NA,2,NA,NA,NA,NA,NA,3,6,43,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
756,919,618,50,NA,1,1,6,NA,1,9,4,7,2,2,NA,4,NA,3,7,8,NA,239,8,70,4,1,NA,39,119,2,2,NA,2,NA,1,3,NA,NA,NA,NA,NA,21,66,NA,NA,1,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809,977,667,52.5,3,1,3,2,NA,2,14,2,NA,103,2,NA,5,1,NA,8,10,3,329,NA,85,8,1,1,27,346,1,2,1,1,1,1,NA,1,NA,NA,NA,10,21,77,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222,1367,1095,62.5,1,NA,1,NA,NA,NA,10,2,NA,31,NA,NA,4,NA,NA,2,6,NA,147,NA,52,3,1,2,48,43,2,4,NA,NA,NA,NA,NA,1,NA,NA,3,NA,21,49,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,1563,1306,67.5,1,NA,1,6,NA,10,17,1,2,44,1,NA,9,2,NA,NA,6,NA,30,NA,43,2,NA,6,115,186,1,7,NA,2,NA,1,2,NA,NA,NA,NA,10,20,41,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,1,2,NA,12,NA,1,1,NA,5,NA,NA,NA,2,1,NA,6,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1738,1862,1622,75,2,NA,2,2,NA,NA,10,NA,NA,273,NA,1,5,1,1,6,5,NA,19,NA,148,9,1,1,84,227,6,7,3,NA,NA,5,3,1,NA,NA,NA,NA,13,139,NA,NA,NA,NA,1,3,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,2065,1831,80,11,NA,2,NA,NA,4,12,NA,NA,290,1,NA,7,1,5,15,8,NA,19,NA,113,3,2,3,104,459,6,9,1,1,NA,2,1,1,1,NA,NA,NA,NA,110,NA,NA,NA,NA,2,3,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2151,2267,2037,85,2,NA,NA,1,NA,NA,5,NA,NA,179,2,NA,1,1,1,12,7,NA,25,12,81,13,NA,1,80,306,4,5,NA,NA,NA,3,2,NA,NA,NA,NA,NA,4,68,NA,NA,NA,NA,11,2,NA,NA,4,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2357,2471,2241,90,2,NA,2,4,NA,1,6,1,NA,194,NA,NA,3,1,7,18,9,NA,10,5,95,3,5,1,64,385,4,5,3,NA,NA,1,3,NA,NA,NA,NA,2,NA,92,3,NA,NA,NA,5,3,1,NA,3,NA,NA,NA,NA,1,3,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2770,2892,2649,100,6,NA,3,1,NA,NA,22,3,NA,210,1,6,8,2,4,22,7,NA,35,11,135,16,NA,1,134,375,12,13,1,1,2,3,7,NA,NA,NA,NA,NA,5,119,NA,NA,NA,NA,13,3,NA,NA,2,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
