Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Actiniopteris radiata-type,Amaranthaceae/Chenopodiaceae undiff.,Anogramma leptophylla,Anthocerotaceae undiff.,Artemisia,Asplenium aethiopicum-type,Asteraceae undiff.,Brassicaceae undiff.,Cheilanthes,Cyperaceae undiff.,Erica-type arborea,Euphorbia-type,Launaea-type,Maerua-type crassifolia,Monoletes undiff.,Ophioglossum,Poaceae undiff.,Pteris-type dentata,Pteris-type vittata,Reboulia,Rhus-type,Riccia,Spores undiff.,Typha,Undetermined
0,688,2,,1,3,,,,,10,1,,,,,5,2,12,182,1,2,,1,,,3
0,687,4,,7,13,8,,1,,18,1,1,,,,50,21,7,39,3,,,5,1,,
18220,689,4,,6,14,3,1,,,21,5,2,,,,45,6,30,75,1,,,1,,1,
0,690,1,55,1,5,16,,5,1,1,55,16,1,1,2,5,2,49,3,1,,3,2,15,3,
