"age_NA","ageolder_BP","ageyounger_BP","depth","Typhaceae","Unknown (trilete)","Plantago coronopus-type","Quercus coccifera","Cichorioideae","Erica arborea","Poaceae","Typha latifolia","Asteroideae","Cistus monspeliensis","Unknown","Amaranthaceae","Pinus pinaster-type","Apiaceae","Asphodelus","Fraxinus","Cyperaceae","Myrtus communis","Quercus suber","Fabaceae","Ephedra","Alnus glutinosa","Acanthus","Caryophyllaceae","Campanulaceae","Olea europaea","Corylus","Lamiaceae","Allium","Lythrum","Hypericum","Linaceae","Polygalaceae"
NA,NA,NA,110,2,4,6,6,8,8,16,20,28,138,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,115,NA,6,8,2,12,6,24,26,14,150,254,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,180,NA,35,8,8,36,2,42,NA,25,4,214,NA,46,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,2,14,6,4,26,20,38,15,38,78,249,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,60,30,48,NA,37,13,15,30,NA,20,29,260,NA,NA,28,NA,NA,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,75,27,9,NA,8,23,15,29,9,43,55,228,NA,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,65,58,13,NA,20,23,15,40,NA,40,38,263,NA,5,5,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,140,12,9,NA,6,46,6,49,NA,60,18,271,3,NA,56,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,85,2,16,2,10,22,16,44,NA,36,100,260,NA,NA,4,NA,NA,2,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,145,10,20,2,10,66,8,74,NA,84,10,328,NA,8,30,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,160,4,11,NA,3,54,5,40,4,72,9,248,NA,5,27,10,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,130,9,12,NA,3,30,6,42,2,69,27,251,3,3,33,9,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,4,10,12,8,20,20,18,10,112,114,336,NA,2,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,90,6,10,2,6,24,20,26,10,40,102,256,NA,NA,4,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,95,6,8,4,8,22,18,20,NA,110,100,310,NA,2,4,NA,2,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,170,2,2,NA,5,36,4,41,6,36,4,260,2,16,90,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,135,12,15,NA,8,37,10,31,NA,93,12,264,NA,5,28,6,NA,NA,NA,3,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,150,3,NA,2,6,29,12,35,2,38,5,226,NA,8,75,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,2,NA,NA,NA,NA,NA
NA,NA,NA,105,NA,8,3,5,14,18,31,25,20,135,271,2,2,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,NA,15,3,6,50,5,52,NA,65,50,289,NA,3,23,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,2,1,NA,NA,NA,NA
NA,NA,NA,55,54,15,3,30,9,12,39,9,12,15,241,NA,NA,12,NA,NA,4,NA,3,18,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA
NA,NA,NA,15,52,31,NA,23,11,12,67,NA,20,2,276,NA,NA,15,NA,NA,NA,11,4,12,NA,NA,NA,2,NA,3,3,NA,5,NA,3,NA,NA
NA,NA,NA,70,43,14,NA,10,25,8,40,8,37,44,262,NA,8,11,NA,2,2,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
NA,NA,NA,40,39,23,NA,39,3,5,43,NA,12,4,251,NA,3,18,NA,NA,9,9,3,20,NA,NA,NA,1,NA,NA,NA,NA,6,6,8,NA,NA
NA,NA,NA,125,10,20,6,9,54,8,56,NA,70,54,343,NA,4,26,10,NA,NA,NA,2,NA,NA,2,NA,NA,NA,2,4,4,2,NA,NA,NA,NA
NA,NA,NA,0,14,12,NA,74,8,14,22,20,20,7,257,NA,NA,12,4,8,NA,10,8,NA,NA,NA,NA,NA,NA,14,NA,NA,6,NA,2,2,NA
NA,NA,NA,10,36,9,6,45,10,7,48,NA,16,6,259,NA,NA,21,7,4,NA,22,3,3,NA,NA,NA,3,NA,10,NA,NA,NA,NA,3,NA,NA
NA,NA,NA,25,46,20,NA,50,4,16,40,NA,10,2,240,NA,NA,10,NA,NA,6,6,2,4,NA,NA,NA,6,NA,2,6,NA,2,4,4,NA,NA
NA,NA,NA,20,50,22,NA,40,8,8,70,NA,24,8,310,NA,NA,32,4,2,NA,4,6,NA,NA,NA,NA,4,2,NA,NA,NA,6,4,12,NA,4
NA,NA,NA,30,46,10,3,68,5,13,51,NA,11,12,276,NA,NA,9,4,NA,3,8,3,5,NA,NA,NA,5,NA,3,NA,NA,2,NA,12,NA,3
NA,NA,NA,5,14,6,NA,86,4,10,40,8,12,12,246,2,2,10,6,4,NA,10,8,2,NA,NA,NA,2,NA,6,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,45,56,20,NA,60,8,10,54,10,14,6,364,2,2,40,NA,6,10,4,6,16,NA,NA,NA,NA,NA,NA,NA,NA,2,10,26,NA,2
NA,NA,NA,50,46,12,2,48,10,5,56,12,13,11,279,2,2,22,NA,2,8,2,4,7,NA,2,2,NA,NA,NA,NA,NA,2,2,7,NA,NA
NA,NA,NA,35,37,11,2,46,10,15,32,10,17,5,244,NA,1,21,4,1,1,6,1,1,NA,NA,NA,1,NA,2,NA,1,5,1,13,NA,NA
