"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Betula","Myriophyllum","Ostrya/Carpinus","Thalictrum","Acer","Fabaceae","Ranunculaceae","Saxifraga","Mentha-type","Plantaginaceae","Vicia-type","Filipendula","Phillyrea","Galeopsis-type","Asphodelus","Hypericum perforatum-type","Centaurea solstitialis","Solanum dulcamara-type","Urtica undiff.","Pteridophyta (monolete) undiff.","Apiaceae","Plantago lanceolata-type","Pteridium","Chenopodium-type","Spergularia-type","Carduus-type","Cistus undiff.","Pistacia","Unknown","Cichorioideae","Asteroideae","Rumex acetosa-type","Brassicaceae","Pinus","Quercus pubescens-type","Cupressaceae undiff.","Genista","Erica","Quercus undiff.","Cyperaceae undiff.","Sarcopoterium","Indeterminable undiff.","Poaceae","Olea","Quercus ilex/Q. coccifera-type","Pteridophyta (trilete) undiff.","Platanus","Secale","Arbutus unedo","Cyclamen","Valerianaceae undiff.","Osmunda regalis-type","Castanea","Alnus","Vitex agnus-castus","Fraxinus undiff.","Triticum-type","Sphagnum","Euphorbia","Xanthium-type","Berberis","Anthoceros laevis-type","Caryophyllaceae","Ephedra","Rosaceae","Helianthemum","Alchemilla","Corylus","Utricularia","Vitis","Rubiaceae","Linaria-type","Hedera","Sedum-type","Cedrus","Hordeum-type","Echinops","Typha angustifolia/Sparganium","Scrophularia-type","Isoëtes","Juncus/Luzula","Potentilla-type","Lythrum","Plantago coronopus-type","Saussurea-type","Polypodium","Juglans","Plantago maritima/P. alpina","Theligonum cynocrambe","Poaceae (Cerealia) undiff.","Papaveraceae","Convolvulus","Ulmus","Phlomis","Gentianaceae","Primulaceae","Geraniaceae","Acanthus","Echium","Dipsacoideae","Equisetum","Linum","Polygonaceae","Campanulaceae","Daphne/Thymelaea","Liliaceae undiff.","Abies","Fagus","Prunus undiff.","Fagopyrum","Paeonia","Matthiola","Rosaceae (herbs) undiff.","Androsace-type","Potamogeton","Tamarix","Mercurialis","Plantago major/P. media-type","Styrax","Veronica-type","Butomus","Epilobium"
-11,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,6,6,7,8,10,10,12,12,13,13,22,29,29,30,31,58,112,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5,NA,NA,2.25,1,1,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,5,NA,2,NA,1,NA,NA,3,1,1,391,2,NA,1,2,NA,NA,10,7,NA,NA,11,1,5,7,21,NA,42,32,10,12,49,37,3,59,1,1,1,1,1,2,2,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,5,1,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,2,NA,NA,1,NA,NA,NA,NA,5,2,2,3,NA,3,3,3,NA,18,6,2,NA,8,1,3,1,36,9,41,33,16,13,48,68,434,168,NA,NA,NA,NA,NA,5,NA,NA,5,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,6,3,2,NA,2,NA,NA,1,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,3,1,1,70,2,NA,NA,2,NA,NA,NA,2,NA,NA,2,5,NA,NA,17,7,18,26,3,6,38,41,8,90,NA,2,NA,NA,NA,1,2,NA,1,NA,10,NA,NA,NA,NA,NA,1,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,10.5,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,20,NA,1,NA,NA,NA,NA,NA,NA,4,2,5,1,2,NA,2,16,NA,NA,5,1,NA,1,8,1,1,NA,148,3,655,7,3,60,10,232,NA,1,NA,5,NA,NA,NA,1,1,NA,NA,1,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,13.5,2,NA,NA,NA,NA,NA,6,1,NA,1,NA,11,NA,NA,NA,2,NA,1,NA,NA,5,12,9,1,2,NA,NA,3,1,NA,11,11,1,3,3,2,2,NA,130,3,574,8,1,100,6,273,1,1,NA,3,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,2,2,NA,1,NA,2,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,NA,NA,16,2,NA,NA,NA,1,NA,5,NA,NA,NA,NA,31,NA,NA,NA,4,1,1,NA,3,10,5,2,NA,1,NA,NA,19,1,1,8,9,3,4,3,NA,3,NA,238,1,257,2,7,67,7,142,12,NA,NA,1,NA,NA,253,NA,1,NA,3,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,NA,NA,19,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,10,NA,1,NA,3,1,NA,NA,NA,10,NA,2,5,NA,NA,NA,11,NA,NA,7,2,NA,4,4,1,1,NA,241,NA,300,3,5,34,1,45,12,NA,NA,3,NA,1,273,2,NA,NA,1,3,6,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,24,3,NA,NA,NA,3,NA,1,NA,NA,NA,2,2,NA,NA,1,3,NA,1,NA,NA,8,5,1,2,4,NA,2,7,NA,NA,9,1,2,NA,3,1,4,NA,177,2,512,3,2,41,12,150,10,NA,NA,NA,NA,NA,412,NA,1,1,1,NA,3,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,NA,NA,27,3,NA,NA,NA,1,NA,6,NA,NA,NA,2,6,NA,NA,NA,2,3,2,NA,NA,8,5,2,NA,2,NA,1,13,1,NA,12,6,3,4,7,NA,2,2,291,1,839,4,17,67,11,98,17,1,NA,1,NA,NA,92,1,1,NA,NA,NA,3,NA,NA,NA,1,3,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
