"age_NA","ageolder_BP","ageyounger_BP","depth","Lycopodium","Unknown","Selaginella","Unknown (monolete)","Carduoideae","Unknown (trilete)","Scrophulariaceae","Grossulariaceae","Quercus ilex-type","Polypodium","Betula","Castanea","Hypericum","Salix","Vitis","Acer","Asteroideae","Plantago","Anthemideae","Cichorioideae","Fabaceae","Chenopodium","Ephedra","Cyperaceae","Cistus","Ulmus","Boraginaceae","Osmunda","Caryophyllaceae","Apiaceae","Populus","Poaceae","Corylus","Rumex","Carex","Primulaceae","Fraxinus","Juglans","Poaceae (Cerealia)","Daphne","Quercus robur-type","Plumbaginaceae","Olea","Artemisia","Cistaceae","Pinus","Brassicaceae","Rubiaceae","Resedaceae","Alnus","Juniperus","Convolvulaceae","Berberidaceae","Filipendula","Rosaceae","Ericaceae","Ranunculaceae","Viburnum"
NA,NA,NA,90,"3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,80,"4","2, 9","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,70,"3","4","9","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,60,"","1, 2","1","3","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,50,"","1, 8","","","","1","1","1","1","1","2","2","2","2","2","2","2","2","2","4","4","4","6","8","8","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,30,"","2","5","4","","4","","","32","","8","","","16","4","12","","","","4","","4","4","44","40","32","2","3","4","4","4","4","8","8","8","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,40,"2","2, 6","13","3","","3","","","2","","4","4","","3","4","4","4","4","4","8","8","8","12","16","16","19","","4","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,20,"","2, 5","","2","","2","","","30","","4","","2","12","18","","2","2","4","2","","6","6","44","22","24","","","","","","10","4","10","12","4","2","2","2","2","2","3","6","8","","","","","","","","","","","","","",""
NA,NA,NA,10,"1","4","3","","","1","","","20","","12","","","12","34","10","4","","6","6","","14","16","320","80","10","","","2","","6","4","","6","14","","","","2","8","","","6","2","2","2","2","2","2","3","3","3","4","4","5","6","6","8"
