"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Artemisia","Fagus","Rumex","Typha latifolia","Vitis","Xanthium","Avena-type","Asteroideae","Rosaceae","Triticum-type","Humulus/Cannabis","Olea","Hedera","Centaurea solstitialis-type","Arbutus","Convolvulus arvensis","Myriophyllum verticillatum/M. spicatum","Sarcopoterium/Sanguisorba minor","Indeterminable/Varia","Betula","Sparganium-type","Hordeum-type","Plantago lanceolata","Ulmus","Fraxinus ornus","Botrychium","Pteridium","Juglans","Ostrya/Carpinus orientalis","Brassicaceae","Poaceae (Cerealia-type, indeterminable)","Salix","Cyperaceae","Alnus","Pistacia","Amaranthaceae","Erica","Quercus ilex/Q. coccifera-type","Platanus","Pinus","Phillyrea","Poaceae","Quercus robur/Q. pubescens-type","Lycopodium spike","Pediastrum simplex","Corylus","Ranunculus","Senecio-type","Serratula-type","Polypodiophyta","Cichorioideae","Scrophulariaceae","Apiaceae","Lamiaceae","Juniperus","Matthiola incana","Anogramma","Caryophyllaceae","Picea","Cistus albidus-type","Polygonum aviculare","Callitriche","Utricularia","Centaurea scabiosa","Cistus monspeliensis","Gypsophila","Ceratonia siliqua","Polypodium","Coelastrum","Fabaceae","Acer","Plantago lagopus-type","Pseudopediastrum boryanum","Secale","Ephedra fragilis-type","Plantago ovata-type","Plantago major/P. media-type","Fraxinus angustifolia-type","Zea mays","Urtica","Euphorbiaceae","Thymelaeaceae","Plantago coronopus-type","Phaeoceros","Tilia","Alchemilla-type","Quercus cerris-type","Pediastrum duplex","Nymphaea","Thalictrum","Lythrum","Linum","Plumbaginaceae","Primula veris-type","Sambucus ebulus","Thelypteris","Trifolium-type","Myrtus","Carpinus betulus","Filipendula","Helianthemum","Reseda","Anemone-type","Centaurea cyanus","Ephedra distachya-type","Asphodelus","Sambucus racemosa","Epilobium","Amphitrema","Mentha-type","Rhamnus","Cistaceae","Gentianaceae","Rubiaceae","Cistus salviifolius","Liliaceae","Vicia-type","Ranunculus acris-type","Prunella-type","Genista-type","Persicaria maculosa","Knautia","Cotinus coggygria","Theligonum cynocrambe","Botryococcus"
98,NA,NA,4,"2.5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","3","3","3","3","4","4","5","5","6","8","9","14","16","17","17","20","35","118","152","213","427, 21358","5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
158,NA,NA,12,"2.5","2","","2","1","","2","2","","1","3","3","","1","","","","","1","","","12","6","1","1","","3","2","","4","2","1","1","2","3","6","17","8","10","8","26","41","113","142","245","265, 21358","5000","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
219,NA,NA,20,"2.5","","1","","4","","","","1","2","2","","","2","1","","1","","","7","","","3","","4","","","42","","1","","3","","","3","2","5","5","53","4","11","56","27","26","158","817, 21358","48","3","","3","3","7","9","1","1","1","1","1","1","2","3","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
293,NA,NA,30,"2.5","","7","2","6","1","2","5","","2","","","","1","","2","","","4","27","1","","7","1","6","3","2","28","","","","","2","","16","4","16","13","43","3","20","79","142","175","148","873, 21358","152","3","","","2","5","5","","","","","","","2","1","","1","1","1","1","1","1","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
436,NA,NA,50,"2","","7","4","6","2","","8","","8","1","","","1","","","","","","13","4","","10","2","5","","2","9","","1","2","3","1","","10","10","46","8","40","2","17","93","126","77","177","829, 21358","92","5","","","2","5","7","","","","1","","","3","2","2","","","","2","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
563,NA,NA,69,"2","","1","8","5","2","","1","1","","","4","","","","3","","","1","10","1","","24","1","4","","3","17","","2","","3","1","","8","24","43","6","26","7","2","61","59","61","247","425, 21358","100","4","","","","","6","","1","","1","","","","3","1","","","","2","","","","2","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
690,NA,NA,90,"2","","","2","2","2","","","1","1","","3","","3","1","3","","","1","14","2","9","2","","2","5","2","11","2","1","","1","2","","18","21","27","3","26","9","11","97","26","63","257","449, 21358","85","11","2","2","5","2","6","","","1","","","","2","2","","","","","2","","","","4","","","1","","","1","","","","","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
783,NA,NA,108,"1.8","1","3","","4","1","3","1","","","","","","","","2","","","2","5","","","13","","3","10","2","","5","1","7","3","1","6","6","55","25","2","15","9","13","34","28","70","299","535, 21358","1300","2","1","3","2","3","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","10","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
819,NA,NA,116,"2","","6","1","8","6","14","","","3","1","","","2","","1","","","1","1","3","1","","2","5","10","1","3","4","1","8","3","1","14","12","99","12","7","6","18","25","7","24","80","284","349, 21358","75","","1","","","","2","","","","2","","","2","","","1","","","","","","","","","","","","","","2","","","12","","","","","","1","","","","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
880,NA,NA,132,"1.6","","5","1","2","","8","","","","","3","","1","3","1","","","1","3","1","4","20","","13","8","8","4","9","1","16","7","1","2","22","34","40","2","17","10","5","27","22","88","306","718, 21358","106","1","1","1","2","9","6","3","","","","","","1","2","","1","1","","","","","","","","","","","","","","","","1","","","1","","","","","","3","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
