"age_NA","ageolder_BP","ageyounger_BP","depth","Betula","Salix","Xanthium","Juglans","Plantago media-type","Centaurea solstitialis-type","Matricaria-type","Rumex hydrolapathum","Loranthus europaeus","Poterium sanguisorba","Pteridium","Juniperus","Helianthemum","Carpinus betulus","Poaceae (Cerealia-type)","Olea","Dryopteris-type","Isoëtes","Picea","Pistacia","Unknown","Amaranthaceae","Humulus/Cannabis","Corylus","Plantago lanceolata-type","Plantago maritima-type","Cyperaceae","Platanus","Sparganium-type","Ulmus","Artemisia vulgaris-type","Alnus","Ericaceae","Fagus","Quercus coccifera-type","Pinus","Poaceae","Ostrya/Carpinus orientalis","Quercus cerris-type","Typha latifolia","Fabaceae","Asteroideae","Stachys-type","Rumex acetosa-type","Ephedra fragilis-type","Fraxinus excelsior","Hypericum perforatum-type","Phillyrea latifolia","Equisetum","Hymenophyllum","Polygonum aviculare-type","Scrophularia/Verbascum","Fraxinus ornus","Asplenium","Vitis","Abies","Allium","Fagopyrum","Gentiana","Galium-type","Filipendula","Cistus","Ranunculus acris-type","Brassica-type","Cichorioideae","Apiaceae","Acer","Urtica","Lysimachia","Persicaria maculosa-type","Myriophyllum spicatum/M. verticillatum","Mercurialis annua","Nymphoides peltata","Caryophyllaceae","Artemisia herba-alba-type","Castanea","Thalictrum","Rosaceae","Lotus-type","Capsella-type","Noaea-type","Ranunculus sceleratus-type","Geranium","Eryngium-type","Filago-type","Tilia","Plantago major-type","Papaver","Morus","Potamogeton","Linum","Rhinanthus-type","Carduus-type","Plantago coronopus-type","Zea mays","Populus","Senecio-type","Tamarix","Trollius","Lobelia","Crocus","Taxus","Liliaceae","Malva","Thymus/Mentha","Ranunculus undiff.","Campanula-type","Solanum dulcamara","Viburnum-type","Anagallis","Bunium-type","Pimpinella-type","Rumex subg. Emex","Thelypteris palustris","Convolvulus","Delphinium-type","Asphodelus","Polypodium","Buxus","Euphorbia","Solanum nigrum","Lomelosia rotata-type","Ophioglossum","Rhamnaceae","Nymphaea","Cladium mariscus","Hedera","Clematis-type","Vicia-type","Nigella","Centaurea cyanus-type","Cirsium/Gundelia","Cornus mas","Spergularia-type","Cousinia","Hedysarum/Ebenus","Arceuthobium oxycedri","Pediastrum","Sambucus nigra-type","Echium-type","Heliotropium-type"
NA,NA,NA,399,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,5,5,5,9,9,14,14,16,19,22,25,54,64,70,99,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,460,5,3,NA,1,4,NA,NA,NA,NA,2,NA,22,2,1,NA,NA,NA,NA,2,2,9,2,1,11,1,1,6,9,14,7,5,45,20,26,76,28,58,57,301,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,380,1,NA,NA,3,6,1,1,NA,NA,NA,4,1,1,13,7,1,NA,NA,2,NA,9,5,1,5,2,NA,5,13,5,15,17,33,30,47,33,108,75,108,359,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,4,NA,4,NA,2,1,1,1,1,1,1,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,440,7,2,1,NA,1,1,NA,NA,NA,NA,7,6,NA,5,1,NA,1,NA,1,NA,5,3,1,5,1,NA,11,7,9,10,NA,43,19,21,49,37,67,61,310,NA,1,NA,NA,2,NA,4,NA,NA,NA,NA,NA,8,1,NA,5,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,500,1,NA,NA,1,3,1,NA,NA,NA,1,10,11,1,NA,8,6,2,2,NA,NA,16,3,2,4,6,5,11,2,1,NA,10,6,30,5,40,1,31,7,112,NA,NA,NA,NA,3,1,NA,NA,2,NA,NA,9,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,540,4,6,NA,1,6,1,NA,NA,NA,4,12,14,NA,2,15,8,1,3,NA,NA,7,5,4,NA,5,5,8,4,3,2,13,20,25,7,50,3,58,14,168,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,1,2,2,1,NA,NA,NA,1,NA,NA,NA,1,2,NA,1,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,600,NA,1,NA,1,NA,1,2,NA,NA,4,10,6,NA,NA,18,12,NA,3,NA,1,8,10,1,3,9,3,14,NA,4,3,6,12,24,10,59,15,75,36,163,NA,NA,NA,NA,15,NA,1,NA,3,NA,NA,13,2,1,2,3,1,NA,NA,NA,1,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,3,5,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,NA,NA,1,2,2,2,NA,NA,NA,2,7,22,1,NA,8,10,1,1,1,NA,5,7,3,6,8,2,15,16,6,NA,7,1,15,14,38,46,58,16,31,NA,NA,2,NA,6,1,NA,NA,2,4,NA,6,NA,2,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,360,1,NA,NA,3,5,3,2,NA,NA,NA,22,1,2,12,9,5,NA,1,3,4,6,8,7,9,6,1,11,8,7,10,3,8,31,54,28,152,69,65,367,3,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,5,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,240,2,1,NA,4,6,NA,6,NA,NA,NA,12,1,NA,9,11,10,NA,1,2,3,9,6,6,11,9,NA,14,16,3,4,10,22,27,32,51,94,95,53,261,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,2,4,NA,NA,4,2,NA,NA,NA,1,NA,NA,NA,2,6,NA,NA,NA,NA,1,NA,1,NA,1,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
