depth,age MA BP,Indigofera*,Entada*,Olea capensis,Justicia flava*,Rhus* natalense,Pteridophyte trilete,Ilex mitis,Hymenodictyon floribundum,Celastraceae,Hallea* rubrostipulata,Dombeya*,Allophylus,Shirakia* elliptica,Maerua*,Fabaceae,Tamarindus,Apiaceae,Vernonieae,Justicia* odora,Alchemilla,Commiphora africana,Podocarpus,Cornulacca,Artemisia,Ericaceae,Thymeleaceae,Combretaceae,Erhetia,Acacia III,Cyperaceae,Aphania* senegalensis,Lannea*,Monocotyledonae,Prunus africana,Nyctaginaceae,Euphorbia,Acanthaceae,Poaceae,Ekebergia*,Aerva* lanata,Acanthus*,Typha,Rubiaceae,Helioptropium steudneri*,Moraceae,Croton*,Rhamnaceae,Pteridophyte trilete botrychium,Acacia I,Balanites aegyptiaca*,Achyranthes* aspera,Hirpicium*,Asteraceae cichoriae,Phyllanthus* amarus,Nuxia/Dobera,Sterculia,Digera muricata,Faidherbia albida,Cyphostemma*,Onagraceae,Myrtaceae,Ficus,Borassus* includes Hyphaene,Capparis fascicularis*,Sapindaceae,Solanum,Barleria,Albizia,Cruciferae,Syzygium guineense,Tribulus,Olea europaea ssp. africana,Alchornea,Celosia* trigyna,Abutilon*,Cissus* quadrangularis,Cyathula* orthocantha,Chrystiana africana,Acalypha,Sapotaceae,Clematis,Suada* monoïca,Paronychia*,Amaranthaceae,Pistacia,Bridelia ferruginea,Plantago lanceolata,Diospyros,Celtis,Caucanthus,Laurembergia,Commelina* benghalensis,Ipomoea*,Macaranga,Trichilia,Hypoestes*,Convolvulus*,Justicia* anselliana,Euclea,Rhizophora,Asteraceae tubuliflorae,Aloe*,Zanthoxylum* usambarense,Pentadesma,Pteridophyte monolete,Asystasia,Buxus hildebrandtii,Tamarix,Plantago africana*,Hymenocardia,Polycarpaea*,Juniperus procera,Chenopodium,Stoebe kilimandscharica,Dodonaea viscosa,Phoenix reclinata,Not determined,Salvadora* persica,Lantana* ukambensis,Anthospermum,Loranthaceae,Vepris* nobilis,Boscia*,Anthocerotaceae,Pavetta,Rumex,Dichrostachys cinerea,Delonix elata,Ephedra,Anogeissus,Hagenia abyssinica,Polygala*,Myrica,Pteridophyte Lygodium,Tiliaceae,Cassia didymobotrya,Pinus,Urticaceae,Mallotus* oppositifolius,Carduus*,Centaurea*
113.01,2.317395201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,17,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0
115.51,2.367755129,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,2,0,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0
117.55,2.40884883,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,37,0,0,0,0,1,1,1,53,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
122.5,2.51964455,1,0,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,24,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,8,0,3,0,0,0,1,3,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
124.99,2.576879147,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
132,2.738009479,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134.52,2.795933649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,13,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
136.38,2.838687204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,26,0,0,0,0,0,1,1,29,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
138,2.875924171,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141.38,2.953616114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
