"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Charcoal","Lycopodium tablets","Sample quantity","Sporormiella-type","Potentilla-type","Scrophulariaceae","Juniperus-type","Amaranthaceae","Ranunculus","Persicaria maculosa-type","Viscum","Poaceae (Cerealia-type)","Lotus-type","Quercus ilex-type","Genista-type","Hypericum perforatum-type","Cerastium fontanum-type","Rosa-type","Unknown","Cichorioideae","Cedrus","Sordaria-type","Apiaceae","Ericaceae undiff.","Olea europaea","Quercus pyrenaica-type","Cistus-type","Cirsium-type","Pinus","Poaceae","Cyperaceae","Lycopodium","Pollen concentration","Lycopodium for charcoal","Linum","Rubiaceae","Aster-type","Alisma plantago-aquatica-type","Silene flos-cuculi","Fraxinus angustifolia-type","Brassicaceae","Anthemis-type","Helianthemum-type","Plantago lanceolata-type","Plantago major/P. media","Artemisia vulgaris-type","Plantago coronopus-type","Sedum-type","Crataegus-type","Bistorta officinalis-type","Viburnum opulus-type","Castanea sativa","Erica arborea-type","Salix","Secale","Pteridium aquilinum","Rumex acetosa-type","Campanulaceae","Alnus glutinosa-type","Erica tetralix-type","Populus","Valerianella locusta-type","Betula pubescens-type","Stachys-type","Corylus avellana","Arenaria serpyllifolia-type","Pseudoschizaea","Gentianaceae","Liliaceae undiff.","Prunus-type","Euphrasia","Unknown (monolete)","Calluna vulgaris","Urtica pilulifera","Fabaceae undiff.","Filipendula vulgaris-type","Unknown (trilete)","Fagus sylvatica","Sagina procumbens-type","Echium vulgare-type","Trifolium-type","Centaurea nigra-type","Rosaceae","Eryngium campestre-type","Caryophyllaceae undiff.","Podospora-type","Erica australis","Melampyrum-type","Urtica dioica-type","Allium-type","Sanguisorba minor-type","Equisetum","Resedaceae","Narcissus-type","Daucus carota-type","Sphagnum","Tilia","Vicia/Lathyrus-type","Acer campestre-type","Herniaria glabra-type","Ulmus","Ilex aquifolium"
-55,NA,NA,1,"5337.14111328125, 31","13911, 1","0.800000011920929","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","3","3","3","6","7","8","19, 331","22","28","42","165193.125","101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-28,NA,NA,4,"24759.02734375, 97","13911, 1","0.5","4","2","1","","1","3","","","","1","","1","","","","","2","1","4","1","","4","3","","1","22, 383","16","38","22","541264.375","109","1","1","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,NA,NA,8,"12777.5107421875, 62","13911, 1","0.5","8","2","","","1","1","","","","1","1","3","","","","","1","","","2","2","2","3","1","1","50, 392","15","34","52","232741.734375","135","","1","","","","","2","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
42,NA,NA,12,"12840.9228515625, 54","13911, 1","0.5","7","","","1","","","","","","1","","1","","1","","1","","","3","1","1","2","4","","1","45, 368","20","45","49","234499.71875","117","","1","","","1","2","1","","1","1","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
76,NA,NA,16,"11312.2421875, 37","13911, 1","0.5","4","1","","","","2","","","","2","","","","","","","","","2","","","2","5","","","44, 283","18","76","66","137002.265625","91","","1","","","","","3","1","1","","","1","","","1","","","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
111,NA,NA,20,"7587.818359375, 36","13911, 1","0.5","4","","","3","","","","","","1","1","2","","1","","1","2","","","1","","3","1","","1","24, 330","23","53","79","134531.703125","132","","","","","","1","1","1","1","","","2","","1","1","","","","1","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
145,NA,NA,24,"6501.88037109375, 43","13911, 1","0.800000011920929","","1","","","","","","","1","2","2","","","","","","1","","2","","1","","1","1","","3, 361","27","43","97","74753.6953125","115","","","","","","","1","","","","","1","","3","","","","","1","","1","1","4","","1","","1","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
178,NA,NA,28,"3934.42431640625, 28","13911, 1","0.5","1","","1","1","","","","","","","2","","","","1","2","1","","","1","1","1","5","","","5, 321","11","17","165","60365.30859375","198","","","","","","1","","","1","1","","3","","1","","","","","1","","","","","","","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
210,NA,NA,32,"8906.4326171875, 63","13911, 1","0.600000023841858","1","","","1","","2","","","","","2","1","","","","1","1","","","1","","","6","","","5, 413","10","8","160","65642.53125","164","","","1","","","","1","","","","","5","","1","1","","","","1","","","","1","","","","","","","","2","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
242,NA,NA,36,"7902.65673828125, 68","13911, 1","0.699999988079071","","","","","","2","","","","1","2","","","1","","2","1","","","","","1","5","","","1, 495","23","13","112","97235.0546875","171","","","","","","","","1","1","1","1","3","","3","","1","","","1","","","","","","","","","","3","","1","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
273,NA,NA,40,"7576.79736328125, 50","13911, 1","0.600000023841858","1","","","2","","4","","","","","1","","","","","2","4","","","","","2","8","2","","2, 477","9","20","115","106651","153","","1","","","","","","","","2","","","2","3","","","","","3","","","1","1","","","","1","","4","","2","1","","","","","","","2","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","",""
303,NA,NA,44,"6349.9072265625, 54","13911, 1","0.699999988079071","1","","","4","","1","","","","","","","","","","","1","","","1","","1","5","1","","4, 395","13","15","146","59754.6875","169","","","","","","","","","1","1","1","2","","2","","","","","1","","","","2","","","","2","","2","","","2","1","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
332,NA,NA,48,"3432.58447265625, 38","13911, 1","1.10000002384186","1","","","3","","2","","","1","1","","1","","","","","3","","","","2","2","2","","1","15, 434","14","26","101","59225.05078125","140","","","","","","","1","","","","","1","","2","","","","","2","","","","2","","","","","","","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
360,NA,NA,52,"5106.22021484375, 37","13911, 1","0.600000023841858","1","","","3","1","1","","","","3","","1","","","","","","","","1","2","","2","","","9, 544","29","20","112","125654.421875","168","","","","","","2","2","1","","","1","","","3","1","","","","2","","","1","3","","","","","","","","1","2","1","","","","","","","","","","1","","3","","","","","","","","","","","","","","","","","","","","","","",""
386,NA,NA,56,"9484.7724609375, 63","13911, 1","0.600000023841858","","1","","1","","1","","","","","1","1","","","","1","2","","","2","","1","1","1","","7, 359","16","17","59","157972.375","154","","","1","","","","1","","","","","1","","2","1","","","","1","","1","","3","","","","1","","","","1","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","",""
424,NA,NA,62,"22770.982421875, 110","13911, 1","0.600000023841858","1","","","1","","3","","1","","1","","","","","","","2","","","5","1","","7","2","","6, 387","26","27","38","280660.53125","112","","2","","","","","","2","1","","1","3","","5","","","","","2","","","1","","","","1","","","3","","2","1","1","","","","","","1","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","",""
435,NA,NA,64,"24841.072265625, 80","13911, 1","0.800000011920929","3","","1","1","1","2","","","","1","1","","","","1","1","2","","2","6","1","","5","","","3, 346","34","24","28","264557.40625","56","","1","","","","3","","1","","","1","3","","4","","","","","1","","3","1","2","1","","","","","","","","","","","","","","","3","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
458,NA,NA,68,"36831.02734375, 139","13911, 1","0.699999988079071","3","","","1","1","8","","","","","1","","","","","","","","3","3","","","4","1","","2, 412","30","15","20","479929.5","75","","1","","","","","","1","","1","","6","","9","","1","","","1","1","","1","4","","","","","","1","","","","2","","","","","","","","","1","","","","","2","","1","","","","","","","","","","","","","","","","","","",""
478,NA,NA,72,"35855.87109375, 133","13911, 1","0.600000023841858","2","","","1","","5","","","","","2","","","","","","2","","1","1","","","4","3","","4, 419","21","19","31","355254.03125","86","","","","","","2","","","","1","","3","1","4","","","","","","","1","1","2","","","","1","","2","","","","2","","","","","","","","","2","","","1","","","","1","1","","","","","","","","","","","","","","","","","",""
497,NA,NA,76,"27721.1953125, 110","13911, 1","0.600000023841858","1","","","1","1","2","","","","","3","","","","","","1","","1","4","","","7","","","5, 620","38","16","38","427702.25","92","","3","","","","1","","3","2","1","","4","","3","","","","","1","","1","","2","","","","","","","","2","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","",""
514,NA,NA,80,"22025.75, 57","13911, 1","0.800000011920929","","1","1","2","","6","","","","","1","2","","","","2","2","","","2","3","","2","","","2, 290","20","15","20","302564.25","45","","","","","","1","1","2","","","1","2","","3","","","","","1","","","1","1","","1","","","","5","","1","","","","","","","","1","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","",""
529,NA,NA,84,"37813.6328125, 137","13911, 1","0.600000023841858","5","","","2","","9","","","","","2","","","","","","","","1","5","1","","1","3","","1, 375","23","17","24","419262.09375","84","","","","1","","1","","","1","1","2","1","1","2","1","","","","3","","1","2","2","","1","","","","1","","3","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","",""
543,NA,NA,88,"24344.25, 105","13911, 1","0.600000023841858","1","","","","1","","","","","","","","","","","","2","","1","2","","","2","3","","1, 440","30","29","32","360092.03125","100","","","1","","","","","1","","1","","1","1","4","","","","","","","","4","","","","","","","3","","","","","","","","","","1","","","1","","","","","","","","","","2","","1","1","","","","","","","","","","","","",""
555,NA,NA,92,"26807.65625, 111","13911, 1","0.600000023841858","3","","","1","","6","","","","","1","1","","1","","1","1","","1","3","1","","4","","","3, 404","22","19","36","293032.625","96","","1","","","","","","","","","","2","","1","","1","","","2","","","2","3","","1","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","2","","","","","","","","","",""
565,NA,NA,96,"50170.8203125, 154","13911, 1","0.699999988079071","6","1","1","","","4","","","","","1","1","","","","","2","","3","9","","1","9","","","613","31","16","35","399160.53125","61","","3","","1","","","","","","","","8","","7","","","","","3","","","5","4","","","","","","4","","1","1","","","","","","","1","","","","2","","","","","","","","","2","","1","","","","1","1","","","","","","","","",""
575,NA,NA,100,"43624.40625, 143","13911, 1","0.800000011920929","5","","2","3","","3","","","2","","1","4","","1","","1","3","","","7","","1","1","3","","331","36","20","24","306476.71875","57","","1","","","","","","","1","","","6","","6","","","","","1","","1","1","1","","","","","","5","","","","","","2","","","","1","","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","",""
584,NA,NA,104,"38342.92578125, 164","13911, 1","0.699999988079071","1","","","1","","2","","","","1","2","1","","","","1","1","","","3","","","3","3","","1, 395","21","11","32","284430.28125","85","","2","","","","","","","2","1","","1","","10","","","","","2","","","","","","","","","","4","","","","","","","","","","2","","","","1","","","","","1","","1","","","","","","","","","","1","","","","","","","",""
592,NA,NA,108,"42076.48046875, 147","13911, 1","0.600000023841858","9","","","","1","2","","","","1","","","","","","1","1","","2","10","","","6","1","","411","28","8","34","330045.28125","81","","","","","","","","","","","","7","","5","","","","","1","","1","1","1","","","","","","5","","","","","","","","","","1","","","1","","","","","","","","1","","1","","","","","","","","","1","1","","","","","",""
600,NA,NA,112,"43057.85546875, 156","13911, 1","0.699999988079071","4","3","","3","","1","","","","","","2","","","","","4","","2","3","","","8","1","","430","23","20","33","305921.5625","72","","","1","","","1","2","","1","1","","2","","4","","","","","","","","2","","","","","","","13","","1","","","","","","","","","","","3","4","","","","","","","","1","","","","","","","1","","","","","","","","","",""
