"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Plantago major","Salix","Ulmus","Apiaceae","Pistacia","Carpinus betulus","Amaranthaceae-type","Cichorioideae","Asteroideae","Fraxinus ornus","Rumex","Plantago lanceolata-type","Phillyrea","Spermatophyta undiff. (cf. upland herbs)","Unknown","Fagus","Artemisia","Ostrya-type","Silenoideae-type","Olea","Abies","Centaurea","Quercus","Poaceae","Pinus","Cyperaceae","Spike","Alnus","Polygonum","Tracheophyta undiff. (aquatic plants)","Juniperus","Corylus avellana","Tilia","Rubiaceae","Acer","Ephedra","Sarcopoterium-type","Fraxinus excelsior"
3103,NA,NA,500,3,NA,NA,10,2,NA,11,14,6,NA,6,NA,NA,3,32,NA,NA,5,22,NA,12,6,11,141,51,13,225,2,4,5,NA,2,NA,5,NA,NA,NA,NA
3141,NA,NA,506,NA,NA,2,11,1,NA,13,7,NA,NA,NA,NA,1,NA,9,NA,NA,4,12,1,8,2,10,144,37,38,215,2,3,2,NA,7,NA,2,NA,NA,NA,NA
3206,NA,NA,516,2,1,1,20,2,2,10,9,3,1,11,2,2,14,25,1,3,8,14,NA,8,5,6,156,45,21,179,3,2,7,NA,6,NA,NA,NA,NA,NA,NA
3312,NA,NA,532,NA,NA,2,5,NA,3,9,6,1,NA,3,NA,2,7,18,1,1,12,3,NA,4,5,37,96,50,15,133,2,4,9,NA,6,1,NA,1,NA,NA,NA
3365,NA,NA,540,NA,NA,NA,2,1,5,1,5,5,NA,16,NA,3,11,17,1,1,22,8,4,9,3,33,204,30,28,253,1,1,29,NA,5,NA,4,1,NA,NA,NA
3472,NA,NA,556,NA,NA,1,1,NA,3,3,3,2,NA,7,3,1,5,NA,1,NA,19,1,2,10,5,37,109,129,23,171,NA,1,19,1,4,NA,NA,3,NA,1,NA
3525,NA,NA,564,NA,NA,2,4,NA,1,1,2,2,NA,8,2,1,5,1,4,NA,19,NA,NA,17,NA,30,87,97,45,55,NA,NA,38,1,6,NA,NA,3,NA,NA,2
3578,NA,NA,572,NA,NA,1,3,NA,3,1,NA,NA,NA,6,2,2,5,7,3,2,22,1,NA,15,NA,22,115,83,35,65,1,2,27,1,5,NA,3,1,NA,2,NA
3658,NA,NA,584,NA,NA,1,3,NA,1,NA,1,4,1,14,2,1,6,5,2,NA,11,1,NA,6,2,37,98,101,82,128,2,NA,34,NA,4,1,3,1,NA,1,NA
3738,NA,NA,596,NA,1,1,6,1,2,3,2,1,NA,2,1,6,4,5,NA,3,27,1,NA,21,2,35,53,66,21,44,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA
3844,NA,NA,612,NA,NA,1,6,NA,2,1,3,3,1,10,2,NA,3,8,2,2,9,2,NA,11,NA,10,102,58,40,122,NA,NA,4,NA,10,NA,3,1,NA,NA,NA
3950,NA,NA,628,NA,NA,1,8,NA,NA,2,2,2,3,5,1,1,2,5,NA,2,13,6,1,4,4,20,81,46,35,86,4,NA,4,NA,2,NA,8,NA,NA,NA,NA
4057,NA,NA,644,NA,1,NA,8,NA,1,1,2,2,NA,4,NA,NA,1,8,8,2,5,2,NA,6,NA,17,92,42,41,120,NA,1,8,1,5,NA,3,NA,NA,NA,NA
4163,NA,NA,660,NA,NA,NA,NA,2,NA,3,NA,2,NA,10,NA,2,8,6,1,NA,21,4,NA,1,2,14,114,43,64,99,1,3,11,NA,3,NA,NA,2,NA,NA,NA
4269,NA,NA,676,1,NA,2,4,NA,4,NA,1,5,NA,NA,NA,1,6,18,2,3,22,3,NA,7,1,30,87,80,14,76,1,3,8,NA,3,1,NA,NA,NA,NA,NA
4309,NA,NA,682,1,NA,NA,9,NA,3,5,4,3,NA,22,2,4,3,20,1,2,19,2,3,8,6,22,122,48,46,83,2,4,7,NA,3,2,29,NA,NA,2,NA
4369,NA,NA,692,1,1,1,3,NA,NA,1,2,2,NA,1,NA,1,6,19,NA,NA,8,13,NA,5,3,14,89,23,25,28,1,2,11,1,7,2,NA,2,NA,NA,NA
4421,NA,NA,708,NA,NA,NA,3,NA,NA,4,2,1,NA,22,1,NA,6,5,1,3,4,5,NA,2,1,11,79,51,12,68,1,2,7,NA,3,2,1,1,NA,NA,NA
4579,NA,NA,756,NA,NA,1,3,NA,5,4,1,NA,NA,8,NA,2,1,15,1,2,27,2,1,13,1,24,100,45,31,94,1,1,8,NA,4,NA,2,NA,NA,NA,NA
4632,NA,NA,772,NA,1,1,2,NA,2,2,NA,4,NA,17,2,2,4,13,NA,NA,24,2,NA,12,2,32,83,47,27,58,1,NA,4,NA,7,NA,1,NA,NA,NA,NA
4684,NA,NA,788,2,1,NA,1,NA,5,1,NA,1,2,3,2,5,4,8,NA,NA,4,6,2,6,NA,38,37,30,9,75,2,NA,9,NA,6,1,NA,1,NA,NA,NA
4737,NA,NA,804,NA,NA,NA,4,NA,4,2,1,NA,4,8,3,3,3,2,NA,NA,27,NA,2,20,1,60,111,47,28,43,1,NA,8,NA,17,NA,1,8,NA,NA,NA
4789,NA,NA,820,NA,NA,NA,3,NA,1,1,2,4,NA,10,2,10,7,9,1,4,31,NA,NA,23,1,68,96,70,58,40,7,2,4,NA,5,2,NA,4,NA,NA,NA
4842,NA,NA,836,NA,1,1,3,NA,3,2,NA,1,NA,14,1,NA,1,13,2,NA,21,1,1,37,3,19,60,54,25,46,1,2,5,NA,5,NA,2,2,NA,NA,NA
4895,NA,NA,852,NA,NA,NA,3,NA,6,2,2,NA,NA,1,NA,2,3,1,1,1,25,1,NA,41,2,26,24,23,4,80,2,NA,1,1,4,NA,NA,1,NA,NA,NA
4947,NA,NA,868,NA,NA,1,1,NA,5,4,NA,1,NA,10,NA,6,3,6,NA,2,46,2,NA,13,1,54,55,52,25,47,1,1,27,4,5,1,NA,2,NA,1,NA
5000,NA,NA,884,NA,3,NA,9,NA,5,9,NA,1,NA,7,1,2,3,9,1,1,21,4,NA,32,3,20,57,40,10,26,2,NA,5,NA,4,1,NA,7,NA,NA,NA
5052,NA,NA,900,4,NA,NA,4,NA,2,32,1,5,NA,3,NA,2,10,28,1,NA,32,8,NA,57,1,17,77,37,36,73,2,NA,2,2,1,NA,3,4,NA,NA,2
5152,NA,NA,916,1,2,2,5,6,NA,18,1,3,NA,NA,NA,NA,4,21,NA,NA,4,3,2,1,1,25,42,42,14,41,1,2,6,2,3,2,1,2,NA,NA,8
5332,NA,NA,932,3,1,NA,8,NA,2,10,4,6,2,2,2,1,4,3,3,NA,7,5,NA,31,4,19,74,48,13,60,1,1,3,1,2,1,4,1,NA,NA,NA
5512,NA,NA,948,NA,3,1,1,NA,14,3,2,1,NA,5,2,NA,1,29,1,2,33,1,NA,27,2,52,86,54,29,64,3,NA,10,NA,1,1,7,2,NA,NA,NA
5691,NA,NA,964,2,1,2,2,1,29,6,2,8,3,13,1,7,3,6,1,3,43,2,NA,24,1,40,79,41,14,118,3,NA,4,1,7,NA,NA,3,NA,NA,NA
5871,NA,NA,980,7,2,1,1,NA,72,4,5,NA,NA,14,NA,4,7,7,1,2,89,NA,NA,52,3,129,55,98,63,89,2,NA,1,NA,18,3,NA,10,NA,NA,NA
6006,NA,NA,992,2,NA,NA,3,NA,1,4,3,3,NA,3,NA,NA,5,2,1,NA,12,4,NA,35,3,29,66,46,23,NA,2,NA,5,NA,5,1,NA,4,NA,NA,NA
6230,NA,NA,1012,NA,NA,NA,15,NA,NA,81,6,6,NA,7,1,6,5,28,NA,2,26,6,NA,16,6,16,79,25,14,22,3,16,21,NA,1,1,3,4,NA,NA,NA
6500,NA,NA,1036,1,2,1,12,1,2,23,6,5,3,2,1,1,5,15,NA,1,24,10,NA,27,10,41,78,52,5,59,NA,1,5,NA,4,2,NA,25,NA,NA,NA
6589,NA,NA,1044,1,1,NA,8,NA,10,9,1,4,3,1,1,2,8,29,NA,2,47,7,NA,23,4,56,57,59,42,83,NA,1,24,NA,8,2,1,13,NA,1,NA
6769,NA,NA,1060,NA,1,5,4,NA,10,2,NA,3,10,3,1,1,7,2,1,NA,63,1,1,36,NA,69,74,110,13,96,NA,1,2,NA,4,1,2,7,NA,NA,NA
6949,NA,NA,1076,NA,NA,4,1,NA,1,4,1,NA,NA,1,NA,8,2,9,NA,1,58,NA,NA,21,NA,31,51,31,17,63,1,NA,10,NA,3,1,NA,1,NA,NA,NA
7039,NA,NA,1084,1,1,34,6,1,13,1,1,1,16,6,5,9,15,3,3,1,158,1,NA,113,NA,104,55,122,8,120,1,NA,NA,1,39,3,3,25,NA,NA,3
7128,NA,NA,1092,NA,9,22,10,NA,3,NA,2,2,16,8,NA,3,11,9,1,NA,95,2,NA,53,NA,71,51,70,23,82,1,1,17,1,14,5,1,10,NA,NA,11
7218,NA,NA,1100,1,4,18,5,NA,3,NA,1,2,8,2,NA,NA,3,14,NA,1,134,1,2,114,1,92,28,87,10,99,1,NA,6,NA,6,12,2,7,1,NA,5
