sample_name,depth,Gramineae,Cyperaceae,Hagenia abyssinica,Umbelliferae,Illecebraceae,Podocarpus,Araliaceae,Rapanea,Juniperus,Ericaceae,Helichrysum,Monocotyledoneae,Thalictrum,Caryophyllaceae,Acalypha,Indetermines,Olea,Rumex,Alchemilla,Myrica,Rubia,Monoletes,Chenopodium,Combretaceae/Melastomataceae,Lobelia,Triletes,Dodonaea,Prunus,Plantago,Celtis,Nuxia congesta,Urticaceae,Bosqueia,Myrtaceae,Myrsine,Justicia 2-porate,Amaranthaceae,Pterolobium,Rhamnaceae,Galium,Fagara,Macaranga capensis,Ranunculus,Prosopis,Mimulopsis,Anthospermum,Acacia
,80,138,199,5,11,2,58,1,1,2,40,16,12,4,2,1,8,7,1,94,1,16,4,2,2,1,,,,,,,,,,,,,,,,,,,,,,
,5,93,974,8,2,1,12,,3,23,23,10,7,,,,4,16,,64,,2,1,1,1,,1,1,1,2,1,1,7,,,,,,,,,,,,,,,
,15,101,919,9,,4,10,,,19,14,9,7,1,2,2,6,11,1,41,12,,2,5,1,,,2,2,,3,2,6,3,1,,,,,,,,,,,,,
,40,108,737,5,1,1,17,1,,,9,5,4,,3,,8,7,1,60,,1,4,3,1,,1,4,,,3,1,6,3,,1,7,1,1,,,,,,,,,
,60,166,489,5,9,4,77,,,1,16,18,3,1,1,2,16,16,,102,1,22,4,2,2,,,4,,,,,2,,,,,,,1,,,,,,,,
,100,202,188,6,15,8,71,1,1,7,28,17,21,,1,2,11,15,,129,,11,2,4,1,,1,1,,,1,,4,,,,,,,,1,1,,,,,,
,120,186,77,,46,6,72,,1,1,102,28,8,,4,56,11,8,,,,2,9,4,5,,6,,1,,,,,2,,,,,1,,1,,2,4,1,,,
,140,200,55,,11,4,,,,3,22,12,9,,1,,12,12,,98,,,,1,2,,,,,,,,4,1,,1,,,,,,,2,,,1,4,1
,160,113,41,,14,2,17,1,3,,16,4,1,,,1,9,5,,34,,2,,5,,,2,,,,,,4,,1,,,,,1,,,1,,,,,
,180,100,17,,12,2,15,,7,4,28,6,3,,,1,4,3,,19,,,4,1,,,1,,,,,,2,2,,,,,,,,,1,1,1,,,
,200,110,50,2,5,2,12,,9,3,16,7,9,,1,2,14,1,,31,,3,2,,,,2,,,,,,1,,1,,,,,,,1,,,,,1,
,220,89,41,1,10,,14,,10,,20,6,9,1,1,,4,1,,24,1,3,2,,1,,4,,,,,1,,,,,,,,,,,2,1,,,,
,240,80,32,,19,,9,,11,1,19,10,4,,,,4,2,,14,,,4,2,,,,,,,,,1,,,,,,,,,1,,,,,,
