"age_NA","ageolder_BP","ageyounger_BP","depth","Betula","Alnus","Plantago lanceolata-type","Rumex acetosa-type","Senecio-type","Cedrus","Centaurea solstitialis-type","Polypodium","Apiaceae","Poaceae","Juniperus","Quercus coccifera-type","Fagus","Dryopteris-type","Unknown","Cyperaceae","Artemisia herba-alba-type","Quercus robur-type","Amaranthaceae","Pinus","Crassulaceae","Asteroideae","Rosaceae","Potamogeton","Carpinus betulus","Capsella-type","Centaurea jacea-type","Polygonum cognatum-type","Abies","Carduus-type","Pteridium","Juglans","Helianthemum","Picea","Galium-type","Noaea-type","Armeria/Limonium","Caryophyllaceae","Liliaceae","Pistacia","Poaceae (Cerealia-type)","Centaurea cyanus-type","Matricaria-type","Urtica dioica-type","Pseudopediastrum boryanum","Plumbaginaceae","Cichorioideae","Spergula-type","Cuscuta","Humulus/Cannabis","Plantago coronopus-type","Echium-type","Fumaria","Fabaceae","Inula-type","Sanguisorba-type","Thymus/Mentha","Sparganium-type","Hippuris","Typha latifolia","Vitis","Convolvulus","Hippophaë","Ranunculus asiaticus-type","Equisetum","Castanea","Ulmus","Xanthium","Ostrya/Carpinus orientalis","Cotinus coggygria","Ophioglossum","Plantago maritima-type","Polygonum aviculare-type","Lysimachia","Olea","Arctium/Jurinea","Plantago tenuiflora-type","Nitraria","Cirsium/Gundelia","Scorzonera-type","Platanus","Brassicaceae","Plantaginaceae","Centaurea scabiosa-type","Halothamnus-type","Filago-type","Anisosciadium-type","Glaux","Brassica-type","Teucrium","Ephedra fragilis-type","Cynoglossum-type","Solanum nigrum","Aquilegia-type","Scilla-type","Pteropyrum","Lomelosia rotata-type","Corylus","Ericaceae","Euphorbia","Salix","Fraxinus excelsior","Hypericum perforatum-type","Rumex hydrolapathum","Ranunculus sceleratus-type","Onopordum-type","Potentilla-type","Scrophulariaceae","Sisyrinchium","Myriophyllum spicatum/M. verticillatum","Dipsacus-type","Triglochin","Delphinium-type","Turgenia-type","Herniaria-type","Campanula-type","Scrophularia/Verbascum","Hypericum hirtellum var. assyriacum-type","Trifolium-type","Isoëtes","Rhamnaceae","Eryngium-type","Plantago media-type","Anchusa/Pulmonaria","Mercurialis annua","Asperula-type","Sphagnum","Plantago ovata-type","Geranium","Persicaria maculosa-type","Rhinanthus-type","Bunium-type","Acanthus","Thalictrum","Ephedra distachya-type","Matthiola","Trapa natans","Urtica pilulifera-type","Ranunculus acris","Datisca","Fraxinus ornus","Bupleurum-type","Symphytum-type","Littorella-type","Pimpinella-type","Hammada-type","Filipendula","Ranunculus sect. Batrachium-type","Tamarix","Malabaila","Hedysarum/Ebenus","Veronica","Valeriana","Populus","Rumex patientia-type","Vicia-type","Lotus-type","Viburnum-type","Ranunculus arvensis-type","Onobrychis-type","Sideritis"
NA,NA,NA,70,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,6,8,11,12,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20,NA,NA,NA,NA,NA,1,1,NA,NA,5,NA,NA,NA,2,NA,49,4,3,5,888,1,1,1,1,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,NA,3,1,NA,NA,1,2,NA,NA,152,1,1,4,1,4,59,15,9,460,285,NA,1,NA,NA,NA,6,NA,NA,2,1,NA,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,50,NA,1,NA,NA,2,7,1,NA,NA,15,5,NA,2,NA,2,99,6,3,13,1016,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,250,NA,NA,2,2,2,NA,NA,NA,NA,220,1,NA,12,NA,NA,1768,14,10,5,62,NA,1,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,4,4,17,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,230,NA,2,2,NA,3,2,1,NA,NA,47,1,NA,2,NA,3,104,9,33,2,435,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,180,NA,NA,4,NA,2,NA,3,NA,5,26,1,NA,1,NA,23,15,18,12,2,117,NA,14,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,6,NA,NA,7,NA,NA,5,NA,5,NA,NA,NA,14,NA,NA,NA,8,NA,NA,1,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,40,NA,NA,4,NA,1,1,7,NA,NA,40,25,1,5,NA,2,26,17,12,31,372,NA,5,NA,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,1,NA,7,NA,NA,NA,1,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,1,1,1,1,2,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,NA,1,1,NA,3,NA,3,NA,NA,15,3,NA,NA,2,7,41,7,2,60,926,NA,4,NA,93,NA,43,NA,NA,1,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,33,84,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,10,NA,NA,1,NA,3,3,5,NA,1,37,5,NA,1,2,13,29,14,4,67,801,NA,4,NA,59,NA,6,NA,NA,NA,NA,5,NA,2,NA,NA,NA,2,4,4,NA,2,NA,1,NA,NA,NA,31,66,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
