depth,Sample ID ,Median Calibrated Age (cal yr BP),Abies,Allophylus,Balanites,Boswellia sacra,Boscia/Cadaba-type,Catha,Celtis,Combretaceae,Commiphora,Delonix,Dodonaea,Ericaceae undiff.,Ficus,Flacourtia,Juniperus,Klainanthus,Klaineanthus-type,Lannea,Lepisanthes,Macaranga,Maerua,Mallotus,Maytenus,Musanga,Olea capensis,Olea africana,Ormocarpum,Pinus,Podocarpus,Prosopis,Prunus,Rhus,Salvadora persica,Tamarindus,Tamarix,Tetrorchidium,Trema,Quercus,Ziziphus,Senegalia I,Senegalia II (gemmate),Senegalia III (reticulate),Capparis,Ephedra,Maesa,Tapinanthus,Abutilon/Pavonia,Acalypha,Acanthaceae-type,Aeschynomene,Aizoaceae- small type,Alchemilla,Aloe,Amaranthaceae,Apiaceae,Apocynaceae,Asclepiadaceae,Asteraceae ,Barleria,Bosquia (3P),Brassicaceae,Capparaceae undiff,Cassia,Cissus,Crotolaria,Croton,Desmodium-type,Euphorbia ,Fabaceae undiff.,Fagonia,Hypericum,Indigofera,Justicia,Lamiaceae (3c),Lamiaceae (6c),Limonium,Kickxia/Acridocarpus ,Merremia,Pavonia,Pimpinella-type,Polygala,Polygonum,Reseda,Rutaceae,Salsola,Sapindaceae-type,Solanum,Tephrosia,Zygophyllum,Cocculus pendulus,Anticharis,Blepharis,Boerhavia erecta,Celosia,Centaurea,Cleome,Commelina,Corchorus,Grass,Heliotropium,Impatiens,Kohautia,Linaria,Lotus,Phyllanthus materspatensis,Phyllanthus rivae-type,Plantago,Polycarpon-type (Reseda),Polycarpon-type 2,Portulaca,Pupalia,Striga,Tribulus,Ricinus,Commicarpus,Convolvulus,Cucurbitaceae,Cyperaceae,Hyphaene,Phoenix ,Monoletes ,Triletes,Broken,Unknown,Unidentifiable,All Total,Typha,Contaminant,Charcoal,total spike,volume,1as,2as,3as,4as,5as,6as,8as,Large 1as,Large 3as,poly,echinate,large echinate,polyechinate ,parasite egg,spormiella 
WP48-1 B,WP48-1 B,0,0,0,0,0,0,0,0,2,10,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,2,24,0,7,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,19,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,77,0,0,0,2,0,0,0,0,49,29,0,2,0,0,0,0,0,5,0,0,0,0,5,0,0,2,0,12,0,0,0,2,0,0,0,316,0,4119,12,9666,45,27,2,0,0,0,0,0,5,0,0,0,0,0,5,0
WP 135-2,WP 135-2,0,0,0,0,49,0,0,0,0,1,0,29,0,7,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,41,1,0,12,0,0,6,10,0,1,5,0,0,10,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,0,13,0,0,34,12,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,10,0,0,0,0,2,11,0,300,1,109,5,9666,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
WP 135-1,WP 135-1,0,0,0,0,6,4,0,0,0,0,0,28,0,7,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,79,0,6,8,0,0,4,12,0,0,0,0,0,8,0,0,0,1,0,0,0,10,0,0,0,10,0,0,0,0,0,0,1,0,0,2,6,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,26,0,0,0,0,0,8,0,0,11,6,0,5,0,0,0,0,1,3,0,0,0,0,0,1,1,2,0,5,0,0,0,0,3,5,0,293,0,59,3,9666,45,21,0,0,0,0,0,0,0,0,3,0,0,0,0,6
WP 135-3,WP 135-3,0,0,0,0,14,1,0,4,3,0,0,23,0,9,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,53,0,0,3,0,0,3,8,0,1,1,0,0,12,0,0,0,0,0,0,0,25,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,1,0,17,0,0,54,8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,8,0,0,0,0,3,5,0,299,0,121,14,9666,45,5,1,1,0,0,0,0,0,0,13,0,0,0,0,0
ASOM 18 WP144-4,ASOM 18 WP144-4,107,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,17,0,0,51,1,0,0,0,0,2,0,3,0,0,31,2,0,0,5,1,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1,0,0,0,0,0,0,19,5,1,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,16,0,0,359,0,162,324,9666,45,210,5,7,2,1,0,0,23,0,0,10,0,1,17,0
ASOM 18 WP 108-1b,ASOM 18 WP 108-1b,109,0,0,0,6,5,0,0,0,2,0,1,0,66,0,0,0,0,0,0,0,5,0,7,0,0,1,0,0,0,0,0,0,14,1,5,3,0,0,7,13,0,0,15,0,0,0,0,1,0,0,0,0,0,15,0,0,7,9,0,42,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,17,0,1,0,0,0,1,0,0,32,8,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,300,0,73,2,9666,45,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ASOM 18 WP 107-2b,ASOM 18 WP 107-2b,114,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,44,0,125,2,9666,45,12,0,0,0,0,0,0,0,0,1,0,0,0,30,1
ASOM 18 WP142-B,ASOM 18 WP142-B,115,0,0,13,0,4,0,0,23,5,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,37,0,0,56,0,0,0,0,0,1,0,26,0,0,41,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,34,23,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,23,0,0,370,0,205,118,9666,45,98,9,3,2,0,0,0,50,0,0,7,0,0,11,0
WP45-2,WP45-2,177,0,0,0,2,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,39,1,0,0,28,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,0,0,0,0,0,2,0,0,66,37,0,3,0,1,0,0,0,2,0,0,0,0,2,0,0,1,0,3,0,0,0,1,1,1,0,303,2,961,19,9666,45,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ASOM 18 WP153-2,ASOM 18 WP153-2,384,0,0,3,0,18,0,0,2,2,0,1,0,5,2,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,5,0,0,0,3,0,6,0,0,1,39,4,0,0,0,0,0,0,12,3,2,58,0,0,0,6,0,0,1,0,0,0,0,0,0,6,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,70,0,0,0,0,0,4,0,1,26,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,1,43,0,0,360,0,556,1167,9666,45,125,0,1,0,0,0,0,9,0,0,4,0,1,0,7
