sample_name,depth,Trinovantedinium applanatum,Arthropod,Botryococcus,Operculodinium centrocarpum,Euclea,Pinus,Suaeda,Triletes undiff.,Euphorbia-type,Echinidinium delicatum,Dinoflagelate undiff.,Spiniferites ramosus,Spiniferites pachydermus,Amaranthaceae/Chenopodiaceae undiff.,Combretaceae/Melastomataceae undiff.,Asteraceae undiff.,Poaceae undiff.,Tribulus,Achritarch,Schrankia leptocarpa,Aerva-type,Convolvulaceae undiff.,Artemisia,Spiniferites undiff,Olea europaea-type,Foraminifera,Unknown,Fungal spores,Tuberculodinium vancampoae,Acacia,Selenopemphix quanta,Bitectatodinium  spongium,Echinidinium undiff,Acacia ehrenbergiana-type,Operculodinium israelianum,Charbon,Polysphaeridium zoharyi,Dodonaea,Spiniferites bulloideus,Sapotaceae undiff.,Pteridophyta undiff.,Cyperaceae undiff.,undeterminable,Hyphaene-type,Rhizophora,Impagidinium sphaericum,Lingulodinium machaerophorum,Podocarpus,Cornulaca,Spiniferites bentori,Copepod Eggs,Tintinnid,Typha,Dipterygium-type glaucum,Spiniferites mirabilis,Impagidinium paradoxum,Rosaceae undiff.,Commiphora,Trinovantedinium spp.,Echinidinium granulatum,Impagidinium patulum,Cleome-type,Avicennia,Mollugo cerviana-type,Echinidinium aculeatum,Celosia-type,Hypoestes-type,Nematosphaeropsis labyrinthus,Acacia tortilis-type,Blepharis-type,Brassicaceae undiff.,Trinovantedinium capitatum,Zygophyllum,Capparis,Votadinium,Impagidinium aculeatum,Acanthaceae undiff.,Monoletes undiff.,Hagenia abyssinica,Apiaceae undiff.,Myrica,Sapindaceae undiff.,Anacardiaceae undiff.,Tamarix,Solanum-type,Reseda-type,Capparidaceae undiff.,Xylia-type,Echinidinium transparantum,Convolvulus-type,Votadinium calvum,Vitellaria-type paradoxa,Trichilia-type,Cichorieae undiff.,Sclerocephalus arabicus,Rosa abyssinica-type,Blighia,Ataxiodinium choane,Fagonia,Oethe-type,Centaurea-type perrottetii,Lippia-type,Plantago,Ephedra,Asclepiadaceae undiff.,Cassipourea,Monocotyledoneae undiff.,Fabaceae undiff.,Macaranga-type,Juniperus-type procera,Aizoaceae undiff.,Stelladinium robustum,Prunus africana-type,Cadaba-type,Ericaceae undiff.,Pentapharsodinium dalei,Calligonum polygonoides,Rumex,Schefflera abyssinica-type
,27,1,7,79,1,1,4,5,1,1,1,41,184,89,12,2,5,63,5,8,4,5,1,4,110,1,147,1,10,8,1,2,55,2,2,2,638,17,1,10,1,1,11,5,5,1,2,4,4,10,52,1318,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,8,22,1,,,9,1,8,2,6,159,11,26,,,40,2,1,,2,,,27,,69,1,5,3,,,14,1,,,146,12,3,11,,1,11,8,,,,1,2,5,3,103,21,,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,5,13,60,5,,,16,2,1,,25,296,22,39,,6,42,4,3,,1,,4,14,,120,2,8,2,,6,32,1,,1,820,26,4,29,,,52,10,2,,,,5,7,70,452,15,,5,2,,1,,1,3,1,1,1,5,2,1,2,2,4,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,,13,45,1,,,10,5,2,1,6,195,21,30,,3,43,2,11,,3,,,14,,154,3,16,12,,4,43,4,,3,652,43,,17,,,32,7,1,,,3,3,6,5,632,32,1,,1,1,,1,,,,,,,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,3,6,66,3,,,9,4,3,,25,631,61,13,2,,41,4,6,,1,,,94,,47,3,7,6,,3,52,7,,,182,70,1,55,,5,25,7,,,,,3,2,37,263,33,,,12,1,,,,,,,,,,,,3,,1,,,,4,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,,8,57,1,,,10,4,4,3,0,120,34,16,,,27,2,11,,4,,,16,4,140,0,4,6,,5,44,7,,,1302,26,1,12,,,19,19,1,,,1,4,3,21,746,34,,,1,,,2,,,,,4,,,,,,2,1,,,,,3,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,,17,31,,,2,12,1,4,,1,144,19,16,1,2,42,3,7,,2,,2,24,2,22,2,13,7,,,25,2,,,167,60,,16,,1,12,4,,,,2,,2,11,195,21,,3,3,,,,,,,,,,,3,,,,1,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,3,8,53,1,,,3,3,,,1,110,23,20,,1,29,4,11,,1,,,9,3,140,0,11,8,,3,46,2,,,576,24,1,10,,,25,9,,,,1,2,8,22,540,14,,,1,,,1,,,,,3,,1,,,,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,,,131,15,,,,2,,,37,270,22,41,1,10,19,,7,,,,4,132,,177,0,26,3,,,40,,,3,905,12,2,135,,,39,8,,,,,1,15,112,442,15,,,7,2,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,5,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2,6,53,2,,,6,2,,9,8,68,27,20,2,4,26,1,10,,,,,13,,170,0,11,3,,7,48,6,,,1347,39,,9,,,20,11,,,,,2,14,14,609,27,,,2,,,1,,,,,,4,,,,,,3,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
