"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Betula","Fagus","Apiaceae","Xanthium","Alnus","Avena-type","Ligustrum","Secale","Poaceae (Cerealia-type)","Jasminum","Fraxinus excelsior","Hordeum-type","Rhamnus/Paliurus","Plantago lagopus-type","Botrychium","Polypodiophyta","Artemisia","Salix","Typha latifolia","Liliaceae","Brassicaceae","Quercus undiff.","Plantago lanceolata-type","Polygonum aviculare","Mercurialis annua","Lythrum","Pistacia","Asteroideae","Oleaceae","Myrtus/Eucalyptus","Cichorioideae","Varia","Caryophyllaceae","Fraxinus ornus","Phillyrea","Quercus pubescens-type","Amaranthaceae","Juniperus","Olea","Quercus ilex/Q. coccifera","Pinus","Cyperaceae","Poaceae","Typha angustifolia/Sparganium","Lycopodium spike","Castanea","Rumex","Ulmus","Ranunculaceae","Ephedra fragilis","Cistus incanus-type","Glaucium-type","Vitis","Triticum-type","Filipendula","Ostrya carpinifolia/Carpinus orientalis","Pteridium","Anemone-type","Sarcopoterium spinosum/Poterium sanguisorba","Erica","Utricularia","Juglans","Potamogeton","Euphorbiaceae","Hedera","Plantago coronopus-type","Helianthemum-type","Unknown (trilete, roughly verrucate)","Fabaceae","Lamiaceae","Rosaceae","Centaurea solstitialis-type","Rubiaceae","Plantago major-type","Ranunculus acris-type","Picea","Cistus undiff.","Gypsophila","Acer","Geranium","Nymphaea","Humulus/Cannabis","Punica granatum","Polypodium","Thalictrum","Ephedra distachya","Asphodelus","Tilia","Plantago maritima-type","Polycnemum","Dorycnium-type","Myriophyllum verticillatum-type","Unknown (trilete, smoothly verrucate)","Malvaceae","Taxus","Campanulaceae","Corylus","Erodium","Plantago holosteum-type","Arceuthobium oxycedri","Centaurea undiff.","Buxus","Vicia-type","Arbutus","Calligonum","Trifolium-type","Theligonum","Aconitum-type","Primulaceae","Plantago","Convolvulus arvensis","Ophioglossum","Epilobium","Plumbaginaceae","Dipsacoideae","Cistus salviifolius","Cistus monspeliensis","Loranthus","Carpinus betulus","Gentianaceae","Salvia","Tribulus","Stachys-type","Allium-type","Platanus","Potentilla-type","Centaurea cyanus","Nigella-type","Cornus","Viburnum","Heliotropium-type","Saxifraga oppositifolia","Sambucus","Fallopia convolvulus","Genista-type","Cotinus coggygria","Fumana","Galega-type"
1801,2114,1499,108,"13","4","","3","2","","3","2","","","1","","","6","1","","3","3","4","","14","1","2","3","1","","","","9","17","1","","22","6","21","4","4","121","10","1","32","19","63","285","86","241","295, 21700","","","3","7","","1","1","1","","","9","1","7","2","13","2","2","1","2","","","1","","1","","2","3","","","1","","3","","1","","","","","","","","1","","","","","1","2","","","","4","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1969,2327,1635,118,"9","14","","","4","","4","","1","","","","","11","","","7","1","6","","72","","","2","","","1","2","1","13","2","","50","4","14","2","13","76","10","","32","10","140","404","106","125","893, 32550","","","1","1","","1","","","2","","9","1","","5","6","","3","","","","","","","2","","","","","1","","1","1","","2","","2","","","","","","2","","","","","2","4","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2097,2422,1789,130,"8","27","","","","","1","1","2","","","","2","1","","","39","14","3","","","5","5","","","1","1","","","21","1","","66","45","7","13","4","24","2","","74","16","170","270","77","101","1026, 21700","","","","","2","1","","","","","1","","","","11","","","4","","","","","","2","","","","","","1","4","","1","","","19","","","7","","","3","1","","","","","6","","","","1","","","","1","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
2182,2487,1887,138,"16","8","","3","3","","","1","1","","2","1","","9","","","18","3","5","","3","","1","2","","15","","","3","23","","1","93","8","21","3","24","74","5","1","45","8","97","243","156","236","324, 21700","1","","","2","","4","","2","1","1","5","","3","2","22","","1","","","","1","","","2","","2","1","","","","1","2","","2","","1","","","","","1","4","1","","","","1","6","","","","1","","","","","","","1","","","1","","","","","3","1","1","1","1","","","","","","","","","","","","","","","","","","","","","",""
2277,2567,1996,147,"9","3","","1","7","","","3","","","2","2","1","13","","1","30","19","3","","2","1","","1","","7","","","9","17","5","","90","6","37","2","30","79","8","1","58","22","58","385","140","320","445, 21700","","1","1","1","","6","","2","1","","9","2","7","2","18","","","","","","","","","1","","2","","","","1","1","5","","","","1","","","","","","3","","","","","","15","3","","","","1","","","","","","2","","","","5","","","","1","","2","","","1","","","","","","","","","","","","","","","","","","","","",""
2394,2668,2122,158,"15","1","","1","2","","","1","","","","","","3","","","20","8","3","2","1","3","2","5","2","","","","1","36","1","","201","18","61","13","29","46","3","","69","29","61","173","51","695","267, 21700","","","2","2","","8","","1","2","","12","","6","4","47","","1","","","","1","5","","7","1","6","1","1","","","","2","","","","20","","","","","","1","","1","","","1","15","","1","","","","","","","","","1","","1","1","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
2511,2775,2241,169,"18","12","","1","1","","1","1","","","2","","","3","1","1","6","9","2","","1","1","1","4","2","","","","2","16","5","","51","14","90","7","22","56","5","","37","53","69","530","73","298","218, 21700","","","2","6","","1","","2","","","9","1","5","6","17","2","","2","","","1","","","2","","","","","2","","2","3","","","","","2","","4","","","5","1","","","","31","9","","","","1","","","","","","","","","","","","","","","","5","4","","","","","1","","","","","","","","","","","","","","","","","","",""
2617,2885,2343,179,"15","7","","","3","","3","1","","","2","","","3","","3","34","4","7","2","1","1","1","2","3","5","","1","3","27","2","","75","16","142","1","40","89","5","1","41","15","71","156","34","169","452, 32550","","","1","5","","5","","1","1","","14","2","8","2","17","2","","","","","1","1","1","4","1","2","4","","1","","","3","","","1","","","","","","","4","","","","","47","10","","","","2","","","","","","","","","","1","1","","","","1","1","8","","","","","2","1","","","","","","","","","","","","","","","","","",""
2670,2941,2389,184,"13","7","","","9","","6","6","3","","4","1","","14","","1","28","9","13","","7","","2","5","5","4","1","","5","44","","","197","57","216","10","16","114","9","","141","65","46","57","101","77","268, 21700","","","6","4","","9","","2","1","1","34","","9","9","48","","2","","","","1","","","3","1","2","1","1","1","1","4","2","","","","1","","","5","","","4","","","","","9","13","","","","2","","","","","","","1","","","1","","","","","1","7","","","","1","","","","1","1","","","","","","","","","","","","","","","",""
2745,3025,2451,191,"14","6","","","5","","3","","","","1","","","12","1","","5","4","15","","","1","2","6","6","5","6","","5","24","","","36","6","33","2","58","181","16","2","75","56","47","174","98","28","217, 32550","1","","3","2","","2","","","","","24","3","3","12","29","1","2","","","","1","","","4","1","3","3","2","2","2","","","","","","1","","","","","","1","","1","","","17","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","1","1","","","","","","","","","","","","","",""
2819,3112,2511,198,"13","","1","","3","","5","2","","","1","","1","8","2","","6","5","20","2","","","","","6","4","5","","8","33","","","36","4","15","2","21","266","10","1","13","67","69","303","150","20","145, 21700","1","","10","","2","2","","1","1","","16","4","3","13","27","2","1","","","","","","","","","3","12","","2","2","1","1","","","","2","","","","","","2","","","2","","2","","","","","3","","","","","","","2","","","","","","","","","","2","","1","","","1","","","","","","1","1","1","","","","","","","","","","",""
2904,3214,2577,206,"20","4","1","1","","","3","4","","","2","","","3","","","12","5","4","","","","","6","","","1","","3","19","","","104","14","19","2","10","70","10","","22","40","95","848","115","336","377, 21700","1","","3","","","4","","1","4","","23","","3","1","21","","1","2","","","","1","","","","2","","","","","1","","","","","","","","1","","","5","","1","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2989,3317,2640,214,"15","8","1","1","2","","3","4","1","","4","","","2","1","","17","3","4","","","","","4","3","2","2","","","24","4","","109","5","50","4","13","74","10","","28","50","75","872","66","141","305, 21700","","","5","4","1","1","","1","4","","18","4","3","2","23","","","","","","","2","","","","","","","2","2","1","1","","2","","","","","1","","","4","","","","","","11","","","","3","","1","","1","","","2","","","","","","","","","","","","1","","","2","","","","","","","","","1","","","","","","","","","",""
3032,3370,2672,218,"21","5","","1","4","","","","","","2","","","5","","","14","4","12","","","","1","1","","","2","","3","8","","","19","4","39","","33","99","12","","15","26","87","1311","29","154","662, 32550","","1","1","1","","3","","","1","","11","6","9","","16","","1","","","","1","","","1","2","1","3","","1","2","","","","1","","","","","1","","","1","1","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
