"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Betula","Fagus","Apiaceae","Xanthium","Alnus","Avena-type","Ligustrum","Secale","Poaceae (Cerealia-type)","Jasminum","Fraxinus excelsior","Hordeum-type","Rhamnus/Paliurus","Plantago lagopus-type","Botrychium","Polypodiophyta","Artemisia","Salix","Typha latifolia","Liliaceae","Brassicaceae","Quercus undiff.","Plantago lanceolata-type","Polygonum aviculare","Mercurialis annua","Lythrum","Pistacia","Asteroideae","Oleaceae","Myrtus/Eucalyptus","Cichorioideae","Varia","Caryophyllaceae","Fraxinus ornus","Phillyrea","Quercus pubescens-type","Amaranthaceae","Juniperus","Olea","Quercus ilex/Q. coccifera","Pinus","Cyperaceae","Poaceae","Typha angustifolia/Sparganium","Lycopodium spike","Castanea","Rumex","Ulmus","Ranunculaceae","Ephedra fragilis","Cistus incanus-type","Glaucium-type","Vitis","Triticum-type","Filipendula","Ostrya carpinifolia/Carpinus orientalis","Pteridium","Anemone-type","Sarcopoterium spinosum/Poterium sanguisorba","Erica","Utricularia","Juglans","Potamogeton","Euphorbiaceae","Hedera","Plantago coronopus-type","Helianthemum-type","Unknown (trilete, roughly verrucate)","Fabaceae","Lamiaceae","Rosaceae","Centaurea solstitialis-type","Rubiaceae","Plantago major-type","Ranunculus acris-type","Picea","Cistus undiff.","Gypsophila","Acer","Geranium","Nymphaea","Humulus/Cannabis","Punica granatum","Polypodium","Thalictrum","Ephedra distachya","Asphodelus","Tilia","Plantago maritima-type","Polycnemum","Dorycnium-type","Myriophyllum verticillatum-type","Unknown (trilete, smoothly verrucate)","Malvaceae","Taxus","Campanulaceae","Corylus","Erodium","Plantago holosteum-type","Arceuthobium oxycedri","Centaurea undiff.","Buxus","Vicia-type","Arbutus","Calligonum","Trifolium-type","Theligonum","Aconitum-type","Primulaceae","Plantago","Convolvulus arvensis","Ophioglossum","Epilobium","Plumbaginaceae","Dipsacoideae","Cistus salviifolius","Cistus monspeliensis","Loranthus","Carpinus betulus","Gentianaceae","Salvia","Tribulus","Stachys-type","Allium-type","Platanus","Potentilla-type","Centaurea cyanus","Nigella-type","Cornus","Viburnum","Heliotropium-type","Saxifraga oppositifolia","Sambucus","Fallopia convolvulus","Genista-type","Cotinus coggygria","Fumana","Galega-type"
4965,5313,4644,327,"6","9","","","2","","2","","","","","","","5","","","","2","6","","","1","","1","1","","1","","3","13","","","7","3","2","8","5","248","8","7","14","49","88","250","60","8","290, 40500","","3","5","2","1","","","1","3","","58","4","1","3","18","","","","","","","","","1","","","","1","4","","","","","2","","","","","","","","2","5","1","","","","","","","1","8","","","","","","","","","1","3","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
5066,5363,4764,335,"9","4","1","","1","","5","","","","2","","","1","","","","3","4","","","","1","2","","1","3","","4","4","","","1","7","2","1","1","92","2","4","6","54","59","230","65","22","725, 21700","","1","5","","","","","","2","","44","","","4","10","","","","","1","","","","","2","","1","2","1","1","","","","","","","","","","","","","3","","","","","","","","","5","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5180,5462,4884,344,"9","3","1","","5","","4","4","","","1","","","11","","","","7","17","2","1","","","4","3","","11","","2","27","2","","4","8","7","11","13","224","10","4","8","83","93","259","1013","2349","313, 32550","","1","5","","6","","","1","5","","44","5","2","8","6","1","","","","2","1","","","","","3","","2","1","","","1","","1","","","","","","","1","","4","","","","","","","","","20","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5306,5585,4954,354,"7","6","1","4","2","","4","6","","","3","","2","5","","","","8","10","","","1","2","","2","2","4","","10","13","","","14","2","5","11","14","212","8","6","7","80","100","310","137","227","269, 32550","","2","8","","5","","","","4","","72","5","","4","13","","","","1","","1","","","","","","","2","3","","1","","","3","","","","","","","1","1","3","","","","","","","","","3","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","",""
5433,5738,5034,364,"20","4","1","","1","","3","6","","","","","","7","","1","","3","10","","1","","1","1","2","1","2","2","5","50","","","12","2","2","5","4","335","13","1","6","51","54","177","87","86","94, 32550","","2","2","3","1","1","","1","3","","31","2","","3","7","","","","","1","","","","","2","","3","","1","","","2","","","","","","","","","","1","5","","","","","","","","","3","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","",""
5521,5811,5134,371,"10","3","2","","","","","1","","","","","","3","","","","28","5","","","2","","3","","","3","3","3","48","","","2","9","1","2","2","239","4","","","28","17","246","70","5","79, 21700","","","2","","","","","2","1","1","14","4","","","5","","","1","","","","","","2","","1","","","","","","","","1","","","","","","","","","2","","","","","","","","","2","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5661,5982,5295,382,"10","1","","1","3","","1","3","","","3","","","5","","","","55","6","","","2","2","4","1","","7","","8","26","","","8","1","4","4","3","381","6","3","","34","24","189","84","29","198, 32550","","","2","","2","2","","1","1","","16","3","","1","6","","","","","1","","","","2","","","1","1","","1","","","1","","","","","","","","1","","3","","","1","","","","","","7","","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
5774,6125,5402,391,"14","3","2","1","1","","1","1","","","","","1","2","","","","27","8","","1","3","1","2","3","","5","","9","34","","","4","3","2","4","7","358","6","1","","33","39","440","71","55","189, 32550","","1","","","2","1","","","2","","31","","","","7","","","1","","","1","","","3","","","1","","","","1","","","1","","","","","","","","","","","","","","","","1","","7","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5914,6319,5516,402,"10","9","","","1","","","","","","2","","1","","1","","","14","1","","2","2","1","1","","","3","1","3","22","","","1","3","2","5","6","182","8","","1","27","56","238","86","141","283, 21700","","","4","1","","","","","","","6","3","1","3","3","1","","3","","","","1","","2","","","1","1","","1","","","","1","","","","","","","","1","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5977,6414,5560,407,"20","5","","1","1","","1","1","","","1","1","1","4","1","","","24","5","2","5","","1","1","1","","1","","1","66","","","5","","1","","","227","9","","","13","25","136","94","19","732, 40500","","","4","2","","1","","3","4","","14","2","2","","","","","1","","","","","","1","2","1","","1","1","","","","","","","","","","","","","","4","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
6103,6604,5636,417,"9","4","1","1","","","1","","","","","","","4","","","","16","1","1","","","","","","","2","","3","46","","1","2","11","3","1","3","216","4","3","","13","29","144","133","5","210, 21700","","","3","","","","","3","1","","11","1","1","1","3","","","","","","","1","","1","","","","1","1","","","1","1","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6204,6758,5689,425,"14","1","","","1","","1","3","1","","1","","","8","1","","","7","2","1","","1","","","2","","2","1","3","37","","","17","5","3","1","1","251","1","","","13","13","76","107","13","231, 21700","","3","2","","","","","2","1","1","9","","1","5","1","","","","","","","","","1","1","1","1","","","","","","","","","","","","1","","","","3","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
6318,6935,5743,434,"8","1","","","3","","1","3","","","","","","1","","","","44","4","","","1","3","2","","","4","","7","84","","","14","12","4","2","6","339","16","1","2","13","19","219","94","7","435, 21700","1","","4","1","","","","1","","","9","1","2","1","2","","1","","","1","","","","","","","","","2","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
6407,7075,5781,441,"5","","","","3","","1","","","","2","","","1","","","","16","3","1","","","","","","","4","1","8","38","","","12","1","","1","2","249","5","4","1","15","13","206","74","3","321, 32550","1","","3","2","","","","","","","2","1","1","2","","","","","","","","","","","","","1","","","","","","","1","","","1","","1","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
6546,7300,5839,452,"7","1","1","1","","","","2","","","2","","","3","1","","","19","6","","","","1","2","","","","1","4","25","","1","8","1","1","","2","215","4","2","","15","44","412","74","15","140, 32550","","","3","","1","","","2","1","","6","4","","1","","","","","","","","","","1","","1","1","","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
6622,7423,5868,458,"7","4","1","","2","","","4","","","","","1","1","","","","43","8","","2","","1","1","1","","7","1","5","39","","","15","1","5","5","4","406","9","4","1","16","29","753","145","36","567, 40500","3","1","4","1","","1","","6","4","","16","2","","1","2","","","","","","","","","2","2","1","","","2","","","","","","","","","","","","","","","","","","","","","","","7","","1","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","","","","","","","","1","","","","",""
6766,7561,6016,470,"12","4","2","","3","","5","3","","","1","","","1","","","","6","6","","5","","1","2","1","1","1","1","9","20","","","4","3","7","5","3","182","9","","2","36","33","345","317","62","352, 21700","","3","","","1","1","","3","1","","10","1","","","","","","","","","","","","2","2","","","1","1","2","1","","3","","","","1","","","","","","","","","","","","","","","4","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
6881,7584,6211,480,"13","2","1","","3","","1","","1","","3","","","4","","","2","12","6","2","10","","","2","22","2","4","1","9","25","","1","16","3","9","12","14","171","5","1","1","16","56","975","1168","148","442, 32550","","1","2","","1","","","2","2","3","10","1","4","2","1","","","","","","2","","","1","2","","4","2","5","2","","1","","","","","","","","","","1","1","","","","","","","","","3","","","","","","","","","","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
7008,7612,6423,491,"5","3","","","6","","1","1","1","","","","","3","","","","25","5","1","3","1","1","","2","1","3","","15","17","","","2","1","2","6","8","186","9","1","","15","45","279","69","10","534, 32550","","1","2","1","1","1","","1","","","4","8","3","1","","","","","","2","","","","","","","2","1","","","2","","","","","","","","","","","","4","","","","","","","","","4","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7134,7647,6635,502,"19","4","","2","","","","7","1","","1","","1","9","","","1","26","9","3","2","2","8","","2","","13","2","24","47","","","16","2","7","18","28","328","20","1","","32","33","620","235","79","420, 40500","1","2","4","1","3","1","","7","3","","13","1","3","1","5","","","2","","1","","","","","5","1","2","3","3","","","","","1","","","","","","","","","4","","","","","","","","","24","","1","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","",""
7203,7671,6750,508,"12","12","","","1","","4","3","1","","2","","2","11","","","","6","10","1","1","","1","1","2","","19","","34","46","1","","13","1","2","20","40","172","12","2","","70","44","455","263","27","115, 21700","","3","3","","","2","","3","3","","15","","2","2","","","","","","","","","","","3","1","","1","4","1","","","","","","","","","","","","","2","1","","1","1","","","","","9","","2","","","","","1","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7317,7717,6932,518,"8","3","1","2","7","","4","5","1","1","1","","1","12","","","1","71","9","","","","1","1","","2","3","6","30","28","","","11","1","10","12","16","134","7","5","","29","44","750","673","2007","314, 32550","","4","7","","2","","","2","2","3","10","6","7","1","2","9","","","","1","","1","","2","5","1","","1","1","8","1","1","","","","","","","","","","","5","1","","","","","","","1","8","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7375,7746,7020,523,"5","6","","1","12","","2","2","","","2","","","13","","","1","6","7","1","2","","1","","","12","16","","30","36","","","76","12","8","13","19","134","5","","","19","31","541","1829","2098","679, 40500","","4","6","3","2","2","","2","4","","15","","6","6","","1","1","1","","","","","","3","3","1","4","1","","6","","","","","1","","","","1","","","2","1","","","","","","","","","21","","","","1","","","","","","1","1","","","","6","","","","","","","1","","","","","","","","","","","","","","","","","","",""
7501,7813,7191,534,"13","2","","3","1","1","1","3","1","","","","12","1","1","1","","11","3","1","8","4","1","","","","8","4","17","13","","","16","33","12","31","14","109","7","9","1","44","31","3487","726","3566","99, 21700","","6","1","7","1","1","","1","7","","14","2","7","3","","","","57","","","1","","","4","2","","3","4","1","1","","","","","","","","","","9","","","1","3","","","","","","","","8","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1"
7650,7929,7358,547,"10","5","1","3","5","","1","6","","","7","","","7","1","","","20","5","","2","","1","2","3","20","5","2","20","105","","","179","5","82","9","1","155","7","","","20","48","4213","244","1522","254, 21700","","1","6","5","1","","","2","5","","9","1","11","2","","","1","","","","","","1","5","16","1","5","1","2","5","","1","","","1","","","","","","","2","4","","","","","","","","","11","","","","","","","","","","1","","","","","","9","","","","","","","","1","","","","","","","","","","","","","","","","",""
