"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cyperaceae","Thalictrum","Ulmus","Alnus","Ostrya-type","Plantago lanceolata-type","Sparganium-type","Vitis","Rumex","Apiaceae","Mercurialis annua","Pinus","Chamaerops humilis","Poaceae","Olea","Pistacia","Quercus ilex-type","Amaranthaceae","Spike","Brassicaceae","Ephedra fragilis-type","Serratula","Chaerophyllum","Eucalyptus","Quercus robur-type","Poaceae (Cerealia)","Quercus suber-type","Cichorioideae","Achillea-type","Artemisia","Euphorbia","Corylus avellana","Daphne","Hedera","Cistus salviifolius","Smyrnium","Utricularia","Erica arborea-type","Urtica dioica-type","Centaurea","Carduus","Teucrium","Phillyrea","Fraxinus","Aster-type","Asphodelus","Plantago major","Asparagus","Falcaria-type","Salvia","Theligonum cynocrambe","Plantago coronopus-type","Cladium","Caryophyllaceae","Helianthemum","Sagina","Fagus","Castanea","Galanthus-type","Plantago maritima-type","Saxifraga","Galium-type","Juniperus","Carpinus","Carlina","Ficus carica","Ranunculus aquatilis-type","Heliotropium","Poterium sanguisorba","Potentilla-type","Serratula-type","Typha latifolia-type","Ornithogalum-type","Iridaceae","Betula","Epilobium","Tilia","Polygonum aviculare-type","Unknown","Botrychium","Adiantum","Boraginaceae","Lamiaceae","Apium","Pediastrum","Ephedra distachya-type","Ranunculaceae","Dryopteris-type"
-58,NA,NA,0,"18584, 2","1","1","1","1","1","1","1","2","3","4","4","5","6","6","10","14","15","26","225","161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
226,NA,NA,8,"18584, 2","1","1","1","","","","6","7","2","29","5","3","5","4","15","36","8","11","175","503","1","1","1","1","2","2","3","4","5","5","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
387,NA,NA,16,"18584, 2","1","","8","","2","","14","18","","28","1","6","12","14","84","90","44","28","18","712","16","","","8","","10","12","12","10","4","42","2","2","2","2","4","4","6","12","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
711,NA,NA,32,"18584, 2","1","8","4","","2","","","50","","24","6","2","8","6","96","22","16","32","20","1400","2","","","","","2","8","2","4","4","40","","","4","2","2","","","16","45","2","2","2","2","4","4","4","6","6","10","12","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1359,NA,NA,64,"18584, 2","1","12","4","","1","","1","6","","","","1","3","","13","26","71","21","5","301","","","","","","1","4","7","5","","9","","1","","1","","","","7","40","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1682,NA,NA,80,"18584, 2","1","1","1","","","","5","2","","","5","3","1","2","13","9","199","14","5","339","","","","","","","2","","","","4","","","","","1","","","1","","","","","","","2","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2006,NA,NA,96,"18584, 2","1","","","1","","","4","4","2","6","","2","","2","20","10","180","10","2","320","","","","","","2","2","10","4","","10","","","","","2","","","10","","","","","","2","2","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2178,NA,NA,112,"18584, 2","1","2","1","1","","","5","2","","1","1","","3","2","16","62","138","69","9","264","","","","","","14","","10","3","1","15","","1","","","","","","6","2","","","","1","2","1","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2299,NA,NA,128,"18584, 2","1","5","1","","1","1","3","3","","2","1","","2","5","80","24","124","6","7","370","","1","","","","3","","2","2","","4","1","1","","","","","","4","","","","","","3","1","","","","","","","","1","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2542,NA,NA,160,"18584, 2","1","4","1","","","","3","","","","3","","","4","24","44","66","96","2","408","","","","","","6","","11","1","3","","","","","","","","","5","1","1","","","","4","","","","","","","1","","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
