"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Charcoal","Betula","Tilia","Centaurea","Typha latifolia-type","Ericaceae","Plantago lanceolata-type","Quercus undiff.","Solanum","Triletes","Typha angustifolia-type","Quercus ilex-type","Quercus robur-type","Elodea","Indeterminable (unknown)","Abies","Olea","Poaceae","Asteroideae","Cyperaceae","Amaranthaceae","Pinus","Cichorioideae","Lycopodium spike","Caryophyllaceae","Nymphaea","Ulmus","Juglans","Alisma","Frangula alnus","Ostrya/Carpinus orientalis","Salix","Apiaceae","Alnus","Lythrum","Juniperus","Bupleurum","Galium","Cornus","Phillyrea","Artemisia","Brassicaceae","Poaceae (Cerealia-type)","Plantago undiff.","Tetraploa aristata (type 89, HdV)","Botryococcus","cf. Richonia variospora (type 140, HdV)","Fungi (type 8B, HdV)","Fungi (type 120, HdV)","Unknown (type 492, HdV)","Algae? (type 225, HdV)","Diporotheca rhizophila (type 143, HdV)","Animalia (type 532, HdV)","Unknown (type 119, HdV)","Unknown (type 150, HdV)","Fungi (type 55, HdV)","Trichocladium opacum (type 10A, HdV)","Fungi (type 972, HdV)","Indeterminable (unidentified)","Zygnemataceae","Glomus cf. G. fasciculatum (type 207, HdV)","Fungi (type 361, HdV)","Sanguisorba minor-type","Castanea","Unknown (type 128, HdV)","Spirogyra","Fungi (type 145, HdV)","Coniochaeta ligniaria (type 172, HdV)","Epipactis","Lamiaceae","Quercus cerris-type","Fungi (type 324, HdV)","Picea","Myrica","Cistus","Fraxinus ornus","Cuscuta epithymum","Myriophyllum","Ranunculaceae","Parnassia palustris","Fraxinus undiff.","Pleospora sp. (type 3B, HdV)","Linum","Monoletes","Brachysporium (type HdV-359)","Closterium idiosporum-type (type 60, HdV)","Vitis","Oleaceae undiff.","Rumex","Utricularia","Unknown (type 181, HdV)","Ustulina deusta (type 44, HdV)","Corylus","Bryophyta (type 340, HdV)","Fungi (type 411, HdV)","Pediastrum","Sordariaceae? (type 205, HdV)","Fungi (type 123, HdV)","Fagus","Avena/Triticum","Hordeum group","Unknown (type 159, HdV)","Fungi (type 11, HdV)","Humulus/Cannabis","Secale","Hedera helix","Gratiola officinalis","Trapa natans","Rosaceae","Valerianoideae","Euphrasia","Equisetum","Fungi (type 367, HdV)","Polygonum aviculare-type","Aristolochia","Bactrodesmium-type (type 502, HdV)","Ephedra","Fabaceae","Urtica","Rhabdocoela (type 353, HdV)","Copepoda (type 179, HdV)","Fungi (type 970, HdV)","Iridaceae","Primulaceae","Populus","Persicaria maculosa-type","Papaver","Juncus","Carpinus betulus","Fraxinus excelsior-type","Fungi (type 83, HdV)","Fungi (type 364, HdV)","Pseudoschizaea","Alona rustica (type 72, HdV)","Crassulaceae","Malvaceae","Ceratophyllum","Fungi (type 174, HdV)","Algae (type 170, HdV)","Pistacia","Podospora sp./Zopfiella sp. (type 466, HdV)","Algae (type 601, HdV)","Boraginaceae","Callitriche","Geranium","Rhamnus","Vitex agnus-castus","Sporormiella (type 113, HdV)","Lingulodinium machaerophorum","Legousia","Neurospora crassa (type 55C, HdV)","Ustilago","Liliaceae","Unknown (type 519, HdV)","Ligustrum","Helianthemum","Caryospora","Isoëtes","Pedicularis","Algae (type 146, HdV)","Unknown (type 69, HdV)","Alchemilla","Jasminum","Elatine","Clasterosporium caricinum (type 126, HdV)","Fungi (type 17, HdV)","cf. Hydrocharis","Thalictrum","Tamarix","Potamogeton","Butomus","Fungi (type 92, HdV)","Scrophulariaceae","Filipendula","Syringa","Algae? (type 229, HdV)","Euphorbia","Sagittaria","cf. Chamaerops","Glyptotendipes pallens group (type 509, HdV)","cf. Cedrus","Fungi (type 350, HdV)","Unknown (type 222, HdV)","Fungi (type 20, HdV)","Fungi (type 312, HdV)","Ruta","Sambucus","Viburnum","Veronica","Ziziphus","Fungi (type 204, HdV)","Gentiana","Saxifraga","Buxus","Hypericum","Daphne","Asphodelus"
-41,NA,NA,1,"4.993","0, 2747, 16620","1","1","1","1","2","2","2","3","3","4","4","4","4","5","7","7","10","17","26","27","54","131","3924, 64074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-26,NA,NA,3,"6.634","0, 7.56, 5632.2","","","3","15","2","5","","","4","21","1","4","","12","7","4","1","7","32","29","74","81","189, 19332","1","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","4","5","5","6","9.45","9.45","9.45","9.45","18.9","18.9","18.9","18.9","28.35","28.35","37.8","47.25","66.15","75.6","122.85","179.55","245.7","1653.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-4,NA,NA,6,"7.226","461.3333, 461.3333, 15512.33","","","","14","","1","1","","7","28","3","7","","6","6","5","15","8","83","34","70","72","173, 19332","","1","1","","","","1","","2","","","","4","7","6","6","5","1","","1","","11.53333","","","17.3","17.3","","5.766667","11.53333","11.53333","","","40.36666","11.53333","5.766667","63.43333","69.2","386.3667","1","2","5.766667","28.83333","28.83333","69.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18,NA,NA,9,"7.882","13.32258, 439.6452, 11430.77","1","","1","13","1","","","2","3","55","2","5","","26","8","1","7","19","50","41","112","101","413, 19332","2","1","","","4","","4","","2","","4","4","2","6","","14","6","4","","","","51.625","","","","","","","","51.625","154.875","","258.125","","309.75","361.375","","5059.25","","","","","206.5","309.75","1","2","2","103.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
55,NA,NA,14,"7.211","0, 219.375, 5113.125","","","3","5","1","","","3","1","31","1","5","1","15","4","2","14","6","77","18","24","46","135, 19332","1","","","","8","","1","","2","","1","2","","4","","4","6","","1","","","","","","","45","","","","","","45","90","","90","90","","4455","","","","135","135","90","1","","","45","1","1","1","1","1","2","2","2","10","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
77,NA,NA,17,"7.387","0, 93.77778, 12284.89","","","2","5","2","","3","","1","44","4","9","","2","12","1","4","6","126","10","59","22","211, 19332","","","","","3","","","2","2","","1","2","","3","","14","1","","1","","","30.14286","60.28571","","60.28571","","","","","30.14286","","90.42857","","","120.5714","90.42857","60.28571","2803.286","","","","","","30.14286","","1","","","1","","","","","","2","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
106,NA,NA,21,"4.442","0, 157.2207, 8258.71","","","1","8","1","","","","2","22","","","","17","18","4","2","7","97","2","105","13","1341, 53395","1","","","1","","","","","","","","12","","1","","2","1","","1","2","","91.84931","","","","18.36986","","","","","73.47945","","","","36.73973","661.3151","","1745.137","","","","349.0274","","","","","","18.36986","","","","","","","","","","","","1","18.36986","73.47945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
128,NA,NA,24,"7.886","0, 517.5, 22474.29","","","3","5","2","","","","7","48","","3","","7","3","","20","16","127","3","43","23","345, 19332","3","","","3","","","1","1","","","3","2","","4","","2","7","","","","","23","23","","","","","","","","23","92","46","23","","345","23","2760","2","2","","","69","","","","1","23","1","","","","","","2","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
150,NA,NA,27,"7.814","0, 211.25, 12738.38","","","2","3","","","","","4","51","4","3","","3","2","2","16","8","95","6","42","24","338, 19332","1","","","","22","","","","1","","","","","1","","5","4","","","","","","42.25","","","","","","","","","","","","","422.5","","2873","","4","","42.25","","","","","","84.5","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
216,NA,NA,36,"7.904","0, 246, 1519","","","1","13","1","","","1","3","61","1","3","","1","5","","25","23","64","5","34","55","603, 19332","","","","","18","","","","","1","","","","1","1","3","1","","","","","2","","1","","3","","","","5","","56","","","27","53","","1","","3","8","31","","1","","2","2","","","","","","","","","","1","","","","","","","1","1","1","1","1","2","2","2","3","4","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
