"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Charcoal","Cyperaceae","Poaceae (Cerealia) undiff.","Bistorta officinalis-type","Quercus undiff.","Solanum dulcamara","Lactucoideae undiff.","Indeterminable (degraded)","Ranunculaceae undiff.","Rubiaceae undiff.","Juglans regia","Coryloideae","Indeterminable undiff.","Indeterminable (corroded)","Plantago lanceolata","Polygonum aviculare-type","Rumex acetosella","Hordeum-type","Indeterminable (obscured)","Aster-type","Centaurea solstitialis-type","Caryophyllaceae undiff.","Ostrya","Avena/Triticum","Artemisia","Anthemis-type","Olea","Quercus coccifera-type","Salix","Secale cereale","Typha angustifolia","Quercus cerris-type","Amaranthaceae undiff.","Poaceae","Pinus","Abies","Ulmus","Brassicaceae","Apiaceae undiff.","Sanguisorba minor-type","Consolida","Silene viscaria-type","Centaurea cyanus-type","Convolvulus arvensis","Polygonum cognatum-type","Betula","Euphorbia undiff.","Sanguisorba officinalis-type","Filipendula","Indeterminable (broken)","Persicaria maculosa","Carpinus","Cedrus","Thymus/Mentha","Turgenia latifolia","Celtis/Morus","Rosaceae undiff.","Castanea sativa","Cirsium-type","Scabiosa undiff.","Hedera","Fraxinus undiff.","Adonis","Fagus","Lomelosia argentea","Pulmonaria obscura-type","Brassicaceae/Olea","Alnus","Typha latifolia","Juniperus","Pimpinella","Campanula-type","Elaeagnus macrophylla-type","Ephedra undiff.","Moraceae","Helianthemum","Vitis vinifera","Humulus/Cannabis","Liquidambar orientalis","Trifolium","Onobrychis","Euphorbia cf. E. helioscopia","Plantago coronopus","Fraxinus ornus-type","Fraxinus excelsior-type","Crataegus/Sorbus","Sambucus nigra","Pteridophyta undiff.","Silene","Elaeagnus angustifolia","Echinophora","Pseudopediastrum boryanum","Gentianella","Anchusa","Verbascum","Cystopteris","Ephedra distachya-type","Lythrum salicaria","Lythrum undiff.","Ephedra fragilis-type","Tilia","Myriophyllum spicatum","Valerianella-type","Carya","Linum catharticum","Aesculus","Potentilla-type","Hippophaë rhamnoides","Serratula/Arctium-type"
-50,NA,NA,1.2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5,6,7,8,10,11,17,22,29,43,49,68,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,11.5,0,NA,NA,NA,NA,5,4,1,NA,3,1,1,1,2,3,4,5,2,NA,3,3,4,NA,5,29,7,17,3,2,22,NA,28,36,73,132,1,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12,NA,NA,23,0,NA,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,2,3,9,NA,1,NA,4,2,3,5,8,25,1,9,2,1,70,NA,35,15,46,147,NA,NA,NA,NA,2,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,34.5,0,NA,NA,1,NA,NA,4,NA,NA,2,NA,NA,NA,5,3,3,NA,3,NA,5,8,NA,3,NA,44,11,14,1,NA,29,1,50,22,79,120,1,NA,NA,3,1,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,46,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,2,3,4,1,4,NA,4,7,1,3,1,50,3,5,1,NA,45,NA,45,15,80,129,NA,NA,1,1,1,NA,3,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,57.5,94.80337,2,NA,NA,NA,NA,7,1,NA,2,NA,NA,NA,NA,2,3,NA,2,NA,3,5,3,3,1,63,5,3,1,NA,25,3,31,20,107,114,1,NA,NA,3,1,NA,3,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,63.5,15.41096,NA,NA,1,NA,NA,46,1,1,4,NA,NA,1,NA,2,5,1,1,1,5,5,5,3,NA,62,3,3,NA,NA,14,1,40,29,125,160,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,70.3,42.85714,NA,NA,NA,NA,NA,14,1,6,2,1,NA,2,4,15,22,1,NA,NA,NA,8,2,6,NA,73,10,2,NA,1,26,2,26,16,76,94,1,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,75.3,1333.587,NA,NA,NA,NA,2,59,1,NA,3,NA,NA,1,3,3,2,NA,1,NA,NA,7,5,2,1,69,10,3,NA,2,7,NA,35,10,92,92,1,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,NA,NA,81.2,257.5107,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,5,NA,1,NA,3,NA,2,1,2,4,2,77,7,2,NA,NA,18,NA,25,13,166,106,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,87.1,232.0917,NA,NA,1,NA,NA,2,1,2,1,3,NA,NA,9,3,2,NA,2,NA,NA,3,3,3,NA,93,4,5,NA,1,15,NA,34,12,167,82,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,NA,NA,91.9,672.5978,NA,NA,NA,NA,NA,11,1,NA,2,1,NA,NA,2,2,NA,1,1,1,NA,10,7,NA,NA,45,7,5,4,1,9,NA,33,12,132,114,3,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,NA,NA,96.6,441.1765,NA,NA,NA,NA,NA,5,NA,1,1,NA,NA,NA,1,3,NA,NA,1,NA,NA,1,1,2,1,57,1,3,3,NA,12,2,25,11,170,108,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,NA,NA,101.4,54.43549,2,NA,NA,NA,NA,9,NA,1,3,1,NA,NA,2,4,4,2,1,1,3,4,14,2,NA,119,5,1,2,2,2,NA,29,29,95,49,NA,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,NA,NA,106.1,51.72414,NA,NA,1,NA,NA,3,NA,NA,1,1,NA,NA,3,4,2,1,NA,NA,5,5,2,5,1,73,4,2,NA,NA,11,2,62,22,108,129,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,NA,NA,110.8,78.03468,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,2,NA,4,NA,NA,NA,2,3,3,1,76,3,NA,NA,NA,5,NA,42,24,146,95,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,NA,NA,114.4,55.32787,6,NA,NA,NA,NA,2,1,1,1,2,NA,NA,1,5,4,6,NA,NA,NA,5,1,2,1,107,7,NA,NA,NA,5,NA,67,17,121,55,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,NA,NA,117.9,261.8535,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,4,1,7,1,NA,NA,NA,4,3,2,1,121,5,1,NA,NA,5,NA,69,9,119,57,1,NA,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1648,NA,NA,376,151.8219,4,NA,NA,NA,NA,6,NA,NA,3,NA,NA,NA,1,4,10,2,NA,1,1,4,3,6,NA,102,8,22,NA,NA,2,2,70,22,88,28,NA,3,3,4,8,NA,1,3,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,NA,NA,121.5,32.92683,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,2,2,5,1,69,8,3,NA,NA,18,1,69,12,127,85,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1628,NA,NA,371.1,26.69039,12,NA,NA,NA,NA,3,NA,1,7,4,NA,NA,1,5,1,1,1,NA,1,NA,2,4,1,108,18,17,NA,1,2,NA,52,23,70,40,NA,4,NA,2,9,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,9,NA,NA,NA,1,NA,NA,NA,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,NA,NA,125,145.1613,NA,NA,NA,NA,NA,5,1,NA,1,NA,NA,NA,NA,2,NA,NA,2,1,1,3,2,6,NA,69,9,NA,NA,1,13,2,78,9,133,66,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,NA,NA,366.9,214.5127,24,NA,NA,NA,NA,6,NA,NA,3,NA,NA,1,NA,4,2,1,NA,1,3,3,4,2,2,112,10,30,3,1,4,NA,39,22,65,43,NA,1,NA,3,6,NA,1,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,NA,NA,128.5,52.12355,2,NA,1,NA,NA,13,NA,1,4,1,NA,NA,1,3,3,NA,2,NA,3,3,5,2,1,129,12,4,NA,NA,16,NA,36,22,139,72,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1588,NA,NA,362.7,0,11,NA,NA,NA,NA,3,1,NA,8,NA,1,NA,1,3,3,8,NA,1,2,3,2,4,NA,85,9,28,3,4,NA,1,55,35,124,31,NA,NA,1,NA,11,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,NA,NA,132.3,96.42857,1,NA,NA,NA,NA,4,NA,NA,4,1,NA,NA,NA,1,3,1,4,NA,3,4,2,1,1,129,7,4,NA,NA,15,4,54,17,87,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1568,NA,NA,358.5,59.0422,9,NA,NA,NA,NA,7,1,NA,5,NA,NA,NA,1,2,1,1,NA,NA,2,10,2,4,1,100,12,12,6,2,2,17,91,18,125,45,NA,3,1,4,10,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,NA,NA,136.1,0,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,2,2,1,2,NA,3,NA,2,1,NA,4,1,155,9,NA,NA,NA,7,2,54,NA,104,90,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1548,NA,NA,354.3,59.05512,1,NA,1,NA,NA,2,NA,NA,8,1,NA,NA,1,6,NA,1,NA,1,5,1,1,4,NA,92,20,15,2,NA,1,42,74,22,136,36,NA,1,NA,3,3,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,NA,NA,139.8,0,1,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,1,1,2,1,1,NA,1,1,NA,6,NA,125,8,NA,NA,NA,16,NA,57,17,87,120,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1528,NA,NA,350.2,87.89063,1,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,3,1,NA,NA,1,NA,2,4,2,NA,108,6,17,NA,1,3,4,56,18,125,33,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,NA,NA,143.6,0,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,2,NA,NA,NA,1,NA,2,2,1,4,2,102,7,24,NA,NA,9,3,37,10,131,72,1,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1508,NA,NA,346.1,74.17583,1,NA,NA,NA,NA,2,NA,NA,5,1,NA,1,NA,2,NA,1,NA,NA,2,4,1,NA,NA,95,11,18,1,1,4,1,54,23,119,54,NA,1,NA,1,6,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,NA,NA,147.3,68.18182,1,NA,NA,NA,NA,2,NA,1,4,2,NA,1,NA,3,1,1,NA,NA,4,NA,2,1,NA,131,10,1,NA,NA,8,4,45,16,139,74,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1486,NA,NA,341.6,0,1,NA,NA,NA,NA,1,NA,NA,2,3,NA,NA,1,5,3,NA,1,NA,NA,4,1,4,NA,140,15,10,1,NA,5,1,38,15,183,27,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,NA,NA,151.2,0,1,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,3,NA,2,NA,NA,3,4,3,8,NA,88,11,NA,NA,NA,11,2,56,17,93,137,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1468,NA,NA,337.8,0,NA,NA,NA,NA,NA,1,NA,NA,3,2,NA,NA,1,1,2,NA,NA,NA,1,1,2,3,NA,119,2,10,NA,2,4,2,29,9,176,25,NA,NA,NA,3,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,NA,NA,155.1,0,1,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,4,2,NA,2,NA,2,2,2,5,NA,78,5,2,NA,NA,18,4,50,26,63,155,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1451,NA,NA,334.4,33.68264,NA,NA,NA,NA,NA,6,1,1,6,6,NA,NA,1,2,2,NA,1,NA,6,2,2,2,1,91,6,17,3,NA,11,NA,44,12,127,47,NA,1,NA,3,4,NA,NA,1,2,NA,NA,NA,NA,1,2,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,NA,NA,159,0,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,1,3,NA,NA,NA,1,1,NA,2,1,97,10,1,NA,NA,5,2,47,27,122,71,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,NA,NA,329.5,142.1053,3,NA,NA,NA,NA,6,NA,NA,4,4,NA,NA,NA,6,5,3,2,NA,1,3,3,3,NA,59,8,27,NA,1,11,3,38,22,172,51,1,3,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
