"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Charcoal","Cyperaceae","Poaceae (Cerealia) undiff.","Bistorta officinalis-type","Quercus undiff.","Solanum dulcamara","Lactucoideae undiff.","Indeterminable (degraded)","Ranunculaceae undiff.","Rubiaceae undiff.","Juglans regia","Coryloideae","Indeterminable undiff.","Indeterminable (corroded)","Plantago lanceolata","Polygonum aviculare-type","Rumex acetosella","Hordeum-type","Indeterminable (obscured)","Aster-type","Centaurea solstitialis-type","Caryophyllaceae undiff.","Ostrya","Avena/Triticum","Artemisia","Anthemis-type","Olea","Quercus coccifera-type","Salix","Secale cereale","Typha angustifolia","Quercus cerris-type","Amaranthaceae undiff.","Poaceae","Pinus","Abies","Ulmus","Brassicaceae","Apiaceae undiff.","Sanguisorba minor-type","Consolida","Silene viscaria-type","Centaurea cyanus-type","Convolvulus arvensis","Polygonum cognatum-type","Betula","Euphorbia undiff.","Sanguisorba officinalis-type","Filipendula","Indeterminable (broken)","Persicaria maculosa","Carpinus","Cedrus","Thymus/Mentha","Turgenia latifolia","Celtis/Morus","Rosaceae undiff.","Castanea sativa","Cirsium-type","Scabiosa undiff.","Hedera","Fraxinus undiff.","Adonis","Fagus","Lomelosia argentea","Pulmonaria obscura-type","Brassicaceae/Olea","Alnus","Typha latifolia","Juniperus","Pimpinella","Campanula-type","Elaeagnus macrophylla-type","Ephedra undiff.","Moraceae","Helianthemum","Vitis vinifera","Humulus/Cannabis","Liquidambar orientalis","Trifolium","Onobrychis","Euphorbia cf. E. helioscopia","Plantago coronopus","Fraxinus ornus-type","Fraxinus excelsior-type","Crataegus/Sorbus","Sambucus nigra","Pteridophyta undiff.","Silene","Elaeagnus angustifolia","Echinophora","Pseudopediastrum boryanum","Gentianella","Anchusa","Verbascum","Cystopteris","Ephedra distachya-type","Lythrum salicaria","Lythrum undiff.","Ephedra fragilis-type","Tilia","Myriophyllum spicatum","Valerianella-type","Carya","Linum catharticum","Aesculus","Potentilla-type","Hippophaë rhamnoides","Serratula/Arctium-type"
688,NA,NA,188.8,34.97409,1,NA,NA,NA,2,6,NA,1,5,NA,NA,1,NA,2,NA,2,NA,NA,NA,3,NA,5,NA,85,7,2,1,NA,3,2,27,12,105,134,1,NA,NA,1,2,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248,NA,NA,301,0,4,NA,NA,NA,NA,NA,NA,1,1,5,NA,NA,NA,NA,1,1,NA,NA,3,1,1,1,NA,21,5,3,6,3,NA,4,68,15,163,79,NA,2,1,NA,4,NA,2,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
708,NA,NA,192.5,0,1,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,1,NA,2,NA,NA,NA,3,1,3,1,130,1,2,NA,NA,4,1,22,23,110,102,1,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1228,NA,NA,297.5,317.6471,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,5,NA,20,1,5,1,1,NA,NA,92,11,176,76,NA,1,NA,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,NA,NA,196.3,0,NA,NA,NA,NA,NA,3,NA,NA,7,NA,NA,NA,NA,3,2,1,2,NA,NA,8,NA,5,NA,128,6,NA,NA,NA,6,NA,34,9,96,98,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208,NA,NA,294,61.36364,1,NA,NA,NA,1,NA,NA,NA,3,2,NA,NA,NA,1,1,2,NA,NA,1,1,2,4,NA,12,5,2,2,2,NA,5,77,8,173,123,1,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,NA,NA,200,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,NA,NA,2,3,4,1,127,3,1,NA,NA,8,3,31,16,85,125,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1188,NA,NA,290.4,275.5102,2,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,NA,1,NA,NA,NA,NA,1,1,2,5,NA,27,2,4,6,NA,1,4,57,14,248,126,NA,NA,NA,33,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
768,NA,NA,204.3,0,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,2,2,1,1,NA,2,7,3,4,NA,155,12,2,NA,NA,11,4,34,20,93,95,NA,1,NA,2,2,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1168,NA,NA,286.9,99.75369,3,NA,2,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,4,1,3,4,NA,30,4,2,NA,NA,2,5,90,17,95,122,NA,1,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
