"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Fagus","Polygonum aviculare-type","Humulus/Cannabis","Carpinus betulus","Quercus ilex","Dryopteris-type","Isoëtes","Osmunda regalis","Alnus","Brassicaceae","Scrophulariaceae","Ericaceae","Ranunculus sect. Batrachium-type","Pseudopediastrum integrum","Unknown","Asteroideae","Ostrya/Carpinus orientalis","Centaurea solstitialis-type","Pteridium","Cichorioideae","Quercus robur-type","Cyperaceae","Poaceae","Pinus","Monactinus simplex","Pseudopediastrum boryanum","Sparganium-type","Betula","Ulmus","Persicaria maculosa-type","Ephedra distachya-type","Equisetum","Artemisia","Carduus-type","Tilia","Polypodium","Corylus","Amaranthaceae","Poaceae (Cerealia-type)","Capsella-type","Plantago coronopus-type","Sanguisorba-type","Ranunculaceae","Apiaceae","Centranthus","Geranium","Plantago lanceolata-type","Myriophyllum spicatum/M. verticillatum","Thalictrum","Fabaceae","Ephedra fragilis-type","Dipsacus-type","Crocus","Botrychium","Caryophyllaceae","Plantago maritima-type","Alisma","Triglochin","Galium-type","Juniperus","Picea","Typha latifolia","Rosaceae","Brassica-type","Arctium/Jurinea","Potentilla-type","Artemisia herba-alba-type","Matricaria-type","Plantago undiff.","Noaea-type","Fallopia convolvulus-type","Rumex acetosa-type","Nymphaea","Plantago media-type","Arabidopsis","Rumex hydrolapathum","Caltha","Ranunculus undiff.","Acer","Asphodelus","Fraxinus excelsior","Liliaceae","Pediastrum","Xanthium","Myriophyllum alterniflorum","Sinapis-type","Fagopyrum","Boraginaceae","Taxus","Thymus/Mentha","Castanea","Plantago major-type","Spergularia-type","Cistaceae","Euphorbia","Nuphar","Pistacia","Filipendula","Filago-type","Menyanthes trifoliata","Iris","Artemisia vulgaris-type","Vitis","Lythrum","Potamogeton","Anemone","Hedera","Salix","Urtica","Thelypteris palustris","Platanus","Olea"
NA,NA,NA,150,1,1,1,1,1,1,1,1,1,2,2,3,4,4,6,6,7,8,11,13,15,17,28,28,41,43,192,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,170,4,NA,2,1,4,NA,4,1,NA,7,NA,NA,9,NA,NA,48,22,10,42,14,7,12,2,1,134,1,NA,36,1,1,1,1,1,2,2,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,110,NA,3,NA,NA,3,NA,10,5,1,21,NA,2,10,NA,NA,10,37,20,66,7,59,58,19,73,48,18,6,18,NA,1,NA,NA,NA,1,NA,NA,NA,30,6,1,1,1,4,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,8,1,1,1,8,NA,14,3,NA,6,NA,3,3,3,NA,31,38,10,88,14,57,97,27,42,77,103,26,26,NA,NA,NA,1,6,NA,NA,6,NA,1,4,2,NA,NA,NA,1,2,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,370,3,NA,NA,NA,1,5,7,2,NA,4,NA,NA,NA,NA,NA,116,37,10,32,10,124,124,279,47,127,29,3,47,NA,1,NA,NA,1,2,NA,5,NA,7,43,1,NA,NA,NA,NA,2,NA,NA,NA,6,1,1,1,1,1,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30,7,1,2,NA,2,NA,9,170,1,2,NA,NA,1,NA,3,82,49,NA,50,29,632,27,1742,316,141,25,119,122,NA,1,NA,NA,4,4,NA,NA,NA,NA,100,NA,2,1,NA,8,56,17,NA,4,12,3,NA,1,NA,NA,NA,1,NA,1,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,270,11,NA,1,NA,7,NA,2,NA,NA,7,NA,NA,1,NA,NA,108,22,42,12,13,29,248,125,89,106,8,58,29,NA,4,NA,NA,NA,2,NA,3,NA,13,139,6,2,1,3,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,1,1,9,NA,NA,NA,8,50,1,4,NA,NA,2,NA,NA,90,41,3,49,36,180,21,64,165,65,18,13,25,2,NA,NA,NA,5,1,NA,2,1,2,23,NA,NA,2,1,1,16,4,NA,1,3,2,6,NA,NA,NA,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,1,26,2,NA,24,NA,12,2,NA,24,NA,2,29,NA,NA,52,53,90,134,38,230,295,130,333,197,49,20,88,2,2,NA,NA,NA,5,NA,3,NA,41,43,2,7,3,5,NA,9,10,NA,4,2,NA,1,NA,NA,NA,1,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,400,1,NA,5,1,2,1,3,NA,NA,6,2,NA,NA,1,NA,49,79,12,280,14,810,NA,43,158,86,38,7,11,NA,12,NA,1,NA,5,NA,8,NA,26,37,3,1,1,NA,NA,8,21,NA,10,25,NA,2,1,NA,NA,NA,4,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
