Sample Age (cal BP) [undefined],diatoms,microforamaminifera,dinoflagellate cysts,LYCOPODIUM tablets,Depth (cm) [cm],Cyperaceae,Heliotropium ,Gramineae,Malvaceae,Phoenix (R1c 5),Salvadora persica,Typha,Avicennia,Chenop/Amar/Caryo,Maerua (R3cp 6),Acacia,Haplophyllum (P3cp 11),Justicia,Combretaceae,Ficus,Olea (R3c 9),Dodonea (P3cp 13),Mangifera indica (P3cp 2,other conifers,Cocos,Compositae (tub),Compositae (lig),Leguminosae (R3cp 15),Bignoniaceae? (R3c 6),P3c 2,R3cp 14,R3cp 8,P3cp 12,Echimonocolpites 3,Cyatheaceae (P3letes 2),cf. Hymenophyllaceae (Echi-Bacutriletes),Pteridaceae (P3letes 1),Indet pollen,clust.chenops
,,,,194,2.5,3,,1,,,,4,1,1316,,,1,,,,,,,,,,,,,,,,,,,,,1,
,,,,113,11.2,,,3,,,,1,,543,,,,,2,,,2,,,1,,2,,,,,,,,,,,,
,,,,387,16.2,1,,2,,,,,,107,,,,,,,,,,1,,1,10,,,,,,,,,,,,
,,,,301,21.2,2,,,1,,,1,,159,,,,,,,,,,,,,3,,,,,,,,,,1,,
,,1,,284,25.5,1,,1,,,,7,,363,,,,,,,,,,,,,7,,,,,,,1,1,,1,,
,16,28,,32,28.5,37,,12,,,,6,,98,,,,,2,6,,,,,1,,1,,,,,,,,1,1,,,2
,6,16,1,14,31.5,79,,14,,1,,43,,172,,,,,,,,,,,,1,1,,,1,1,,,,,,,,1
195,25,9,,29,48.5,152,,16,1,,,19,,121,1,,,1,,,1,,,,,,,,,,,1,,,,,,,
195,41,24,,22,53.5,133,,10,,,,37,,138,,,,,,2,,,,,,,,,,,,1,,,,,,2,
195,8,1,,26,71.5,17,,7,,,,117,,197,,1,,,,2,,,,,,,,,,1,,,,,,,,,
195,3,,,12,87.5,34,,1,,,2,15,,268,,,,,1,,,,,,,,,1,3,,,,,,,,,,
195,4,11,,31,97.5,307,1,7,,,,2,,358,,,,,,,1,,1,,,,,,,,,,,,,,,1,
195,50,10,,21,102.5,68,,10,,,1,20,,211,,,,,1,1,,,,,,,,,,,,3,1,,,,,1,
