"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudoschizaea","Caryophyllaceae","Euphorbia","Salix","Thalictrum","Vitis","Fabaceae","Juglans","Polygonum","Convolvulus","Unknown (trilete)","Unknown (monolete)","Betula","Corylus","Fagus","Rumex","Alnus","Artemisia","Ericaceae","Quercus ilex-type","Sparganium-type","Phillyrea","Quercus robur-type","Pistacia","Cichorioideae","Apiaceae","Pinus","Amaranthaceae","Cyperaceae","Poaceae","Asteroideae","Plantago","Olea","Lamiaceae","Carpinus","Thymelaea","Poaceae (Cerealia-type)","Juniperus","Ranunculaceae","Ephedra","Myriophyllum","Asphodelus","Persicaria amphibia","Buxus","Ulmus","Fraxinus","Typha latifolia-type","Tilia","Hedera","Geraniaceae","Abies","Helianthemum","Malva","Rubiaceae","Nymphaea","Monocotyledoneae","Zygnemataceae","Cistus","Dinoflagellata","Cannabaceae","Brassicaceae","Ligustrum","Rhamnus","Epilobium","Acer","Rosaceae","Lygeum-type","Poterium sanguisorba","Scabiosa"
8698,8851,8559,2300,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,1,25,NA,NA,1,2,7,12,17,NA,6,NA,NA,12,25,2,NA,5,29,2,NA,NA,NA,1,NA,38,NA,12,NA,NA,NA,130,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8707,8865,8563,2310,1,1,NA,NA,NA,1,NA,NA,NA,NA,10,NA,2,39,NA,NA,2,10,4,11,6,1,8,1,NA,11,24,3,1,3,35,7,1,1,NA,1,NA,23,NA,12,NA,NA,NA,103,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8716,8879,8567,2320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,2,50,NA,NA,1,4,2,12,8,NA,5,NA,NA,20,21,4,2,5,41,1,1,1,NA,NA,NA,28,NA,8,NA,NA,NA,108,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8725,8894,8571,2330,2,1,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,40,NA,1,1,2,1,3,8,NA,6,NA,1,13,27,6,1,6,35,5,3,NA,NA,2,NA,22,NA,15,NA,NA,NA,141,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8734,8908,8575,2340,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,1,27,NA,NA,2,1,NA,9,15,NA,4,3,NA,15,25,2,1,10,37,1,1,NA,NA,NA,NA,28,NA,3,NA,NA,NA,88,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8743,8923,8578,2350,3,NA,NA,NA,NA,NA,1,NA,NA,NA,9,3,2,33,1,NA,2,3,2,5,8,NA,9,NA,1,17,42,2,2,10,33,7,1,NA,NA,1,NA,30,NA,13,1,NA,NA,194,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
8752,8938,8582,2360,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,2,38,NA,NA,NA,1,1,8,7,NA,6,NA,NA,16,33,3,1,4,37,4,NA,2,NA,NA,NA,23,NA,16,1,NA,NA,200,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8761,8953,8585,2370,1,1,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,1,45,NA,NA,NA,2,2,4,9,NA,4,NA,1,9,28,2,2,4,20,3,2,2,NA,NA,NA,21,NA,13,2,NA,NA,159,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8770,8968,8589,2380,3,1,2,NA,NA,NA,1,NA,NA,NA,14,NA,NA,25,NA,NA,NA,1,NA,9,2,NA,4,NA,1,16,10,1,NA,2,22,3,2,1,NA,NA,NA,22,NA,4,2,NA,NA,120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8788,8998,8594,2400,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,27,NA,NA,NA,2,NA,3,9,1,2,NA,NA,5,24,6,NA,3,16,4,NA,1,NA,NA,NA,20,NA,7,2,NA,NA,107,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
