"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudoschizaea","Caryophyllaceae","Euphorbia","Salix","Thalictrum","Vitis","Fabaceae","Juglans","Polygonum","Convolvulus","Unknown (trilete)","Unknown (monolete)","Betula","Corylus","Fagus","Rumex","Alnus","Artemisia","Ericaceae","Quercus ilex-type","Sparganium-type","Phillyrea","Quercus robur-type","Pistacia","Cichorioideae","Apiaceae","Pinus","Amaranthaceae","Cyperaceae","Poaceae","Asteroideae","Plantago","Olea","Lamiaceae","Carpinus","Thymelaea","Poaceae (Cerealia-type)","Juniperus","Ranunculaceae","Ephedra","Myriophyllum","Asphodelus","Persicaria amphibia","Buxus","Ulmus","Fraxinus","Typha latifolia-type","Tilia","Hedera","Geraniaceae","Abies","Helianthemum","Malva","Rubiaceae","Nymphaea","Monocotyledoneae","Zygnemataceae","Cistus","Dinoflagellata","Cannabaceae","Brassicaceae","Ligustrum","Rhamnus","Epilobium","Acer","Rosaceae","Lygeum-type","Poterium sanguisorba","Scabiosa"
6500,6622,6391,1280,NA,NA,NA,1,NA,1,2,NA,NA,NA,10,NA,NA,33,NA,NA,16,NA,6,21,6,1,6,3,NA,7,30,5,1,18,8,3,2,3,NA,2,1,74,NA,10,NA,NA,NA,101,1,NA,3,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
6538,6657,6429,1295,1,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,4,23,1,NA,10,2,2,29,16,NA,15,NA,NA,8,25,6,3,7,6,2,5,6,NA,NA,2,53,NA,9,NA,NA,NA,94,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
6575,6693,6468,1310,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,11,1,5,7,NA,NA,4,7,3,14,13,NA,3,NA,NA,20,15,4,1,5,15,NA,13,9,NA,2,NA,43,NA,12,NA,1,NA,241,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
6613,6729,6507,1325,1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,1,19,3,1,10,7,22,30,9,NA,17,NA,NA,11,31,1,1,5,19,1,9,5,NA,1,NA,48,NA,11,NA,1,NA,119,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6650,6765,6545,1340,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,33,NA,NA,11,6,8,31,13,1,37,NA,NA,7,30,1,NA,4,4,3,4,8,NA,NA,1,61,NA,12,NA,1,NA,135,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
6688,6801,6584,1355,NA,NA,NA,NA,NA,1,1,NA,NA,NA,5,1,NA,9,NA,NA,5,1,1,11,52,NA,6,NA,NA,7,9,1,NA,8,3,NA,2,3,NA,1,NA,30,NA,6,NA,NA,NA,186,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6725,6837,6623,1370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,14,NA,NA,2,2,2,9,41,NA,6,NA,NA,7,13,28,3,10,5,NA,2,3,NA,NA,NA,20,NA,2,NA,NA,NA,175,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6800,6909,6700,1400,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,7,NA,3,23,NA,NA,6,7,2,14,74,NA,4,1,NA,20,18,2,2,12,10,1,1,3,NA,2,NA,5,NA,7,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6888,6993,6789,1435,1,2,NA,NA,NA,NA,2,NA,NA,NA,10,1,1,27,NA,NA,3,3,NA,22,40,NA,4,NA,NA,11,22,2,2,6,26,1,NA,5,NA,4,2,20,NA,5,NA,NA,NA,171,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
6975,7077,6879,1470,1,1,NA,1,NA,NA,1,NA,1,NA,8,NA,3,47,NA,NA,5,9,3,13,30,NA,2,NA,NA,31,18,3,2,9,20,NA,NA,2,NA,2,NA,22,NA,3,NA,NA,NA,172,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7063,7161,6968,1505,3,1,NA,NA,NA,NA,4,NA,NA,NA,13,NA,1,24,NA,NA,2,3,2,10,21,NA,8,1,NA,13,13,2,NA,5,18,NA,NA,NA,NA,1,1,14,1,7,NA,NA,NA,319,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7151,7246,7058,1540,2,1,NA,NA,NA,NA,2,NA,NA,NA,14,NA,NA,20,NA,NA,1,2,1,10,13,NA,2,NA,NA,13,17,4,NA,4,11,NA,NA,NA,NA,1,3,20,NA,6,NA,NA,NA,210,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7238,7331,7146,1575,1,NA,NA,NA,NA,NA,3,NA,NA,NA,9,NA,2,25,NA,NA,NA,5,1,18,45,1,9,NA,1,30,10,2,NA,8,9,NA,1,NA,NA,2,1,15,NA,8,NA,NA,NA,146,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7326,7417,7235,1610,NA,NA,NA,NA,NA,NA,4,NA,1,NA,14,NA,1,50,NA,NA,1,4,7,16,42,NA,18,1,NA,35,9,2,NA,9,21,1,1,2,NA,NA,3,14,1,11,NA,NA,NA,188,5,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7413,7503,7323,1645,NA,1,NA,NA,NA,NA,1,NA,NA,NA,6,NA,2,41,NA,NA,2,1,6,12,34,1,13,NA,NA,18,13,1,NA,11,24,2,NA,4,NA,2,1,20,2,5,NA,1,NA,221,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7501,7590,7411,1680,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,9,NA,1,52,NA,NA,6,2,9,28,55,2,15,NA,NA,34,21,2,NA,14,28,3,2,6,NA,2,2,22,2,11,NA,NA,NA,256,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7551,7639,7461,1700,3,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,28,NA,NA,1,1,6,14,32,NA,8,NA,NA,17,13,1,NA,4,12,1,1,4,NA,NA,1,20,NA,6,NA,NA,NA,173,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7626,7714,7537,1730,1,NA,NA,1,NA,NA,NA,NA,2,NA,10,3,1,43,NA,NA,8,12,13,21,43,1,9,1,NA,35,23,4,3,17,21,1,2,1,NA,3,3,19,NA,9,NA,NA,NA,294,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
7701,7789,7613,1760,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,2,51,NA,NA,2,2,2,26,39,NA,20,NA,NA,24,41,1,1,13,12,8,1,4,NA,1,1,19,NA,6,NA,NA,NA,270,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
7776,7864,7689,1790,1,NA,NA,NA,NA,NA,4,NA,NA,NA,9,NA,2,77,NA,NA,4,5,4,25,27,NA,17,NA,NA,41,16,5,NA,23,11,8,1,6,NA,3,2,15,NA,14,NA,1,NA,250,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7851,7938,7764,1820,2,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,30,NA,NA,3,3,2,18,18,1,6,NA,NA,21,9,1,NA,8,6,5,NA,1,NA,NA,NA,15,NA,3,NA,NA,NA,243,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7926,8014,7839,1850,1,3,NA,NA,NA,NA,4,NA,NA,NA,3,NA,1,47,NA,NA,3,6,3,26,17,1,17,NA,NA,34,13,7,NA,15,24,3,1,2,NA,1,NA,20,NA,12,NA,1,NA,284,8,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
8001,8089,7913,1880,1,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,28,NA,NA,5,8,1,19,8,NA,24,NA,NA,8,9,1,NA,10,17,2,2,NA,NA,1,2,18,NA,4,NA,NA,NA,186,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA
8076,8166,7988,1910,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,40,NA,NA,5,NA,NA,15,19,NA,7,NA,NA,1,13,2,1,10,9,NA,NA,1,NA,NA,NA,18,1,6,NA,NA,NA,164,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8151,8243,8062,1940,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,7,NA,NA,42,NA,NA,3,2,1,17,13,1,14,NA,NA,9,26,NA,1,15,15,NA,NA,NA,NA,3,3,28,NA,10,NA,1,NA,402,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
8226,8319,8134,1970,1,NA,NA,NA,NA,NA,1,NA,1,NA,13,NA,1,44,NA,1,2,4,3,35,15,NA,20,NA,NA,34,21,3,NA,14,27,4,2,4,NA,NA,1,20,NA,10,NA,1,NA,228,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8301,8397,8208,2000,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,2,1,24,NA,NA,2,2,3,9,13,2,9,1,NA,16,15,2,1,7,12,1,3,4,NA,1,1,17,1,NA,NA,NA,NA,171,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
