"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Euphorbia","Thalictrum","Ulmus","Lythrum","Pistacia","Lamiaceae","Rosaceae","Convolvulus","Cistus","Ephedra","Plantago","Poaceae (Cerealia-type)","Monocotyledoneae","Phillyrea","Pseudoschizaea","Asteroideae","Quercus robur-type","Thymelaea","Ericaceae","Poaceae","Quercus ilex-type","Artemisia","Olea","Pinus","Cichorioideae","Amaranthaceae","Caryophyllaceae","Rumex","Sparganium-type","Fraxinus","Rubiaceae","Scabiosa","Typha latifolia-type","Cyperaceae","Fabaceae","Apiaceae","Polygonum","Rhamnus","Centaurea-type","Unknown (monolete)","Helianthemum","Juniperus","Unknown (trilete)","Vitis","Ranunculaceae","Tamarix","Carpinus","Daphne","Buxus","Echium","Alnus","Geraniaceae","Brassicaceae","Abies","Cedrus","Coriaria myrtifolia","Zygnemataceae","Myriophyllum","Urtica","Chamaerops","Picea","Papaveraceae","Corylus","Salix","Campanulaceae","Populus","Hedera","Ligustrum","Viburnum","Sanguisorba","Sedum-type","Lygeum","Boraginaceae","Botryococcus","Cannabaceae","Malvaceae","Tilia","Acer","Epilobium","Myrtaceae"
17,116,-78,10,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,7,14,27,28,40,61,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,224,44,30,1,NA,2,NA,2,2,37,NA,NA,2,5,8,NA,NA,3,2,13,7,4,5,7,37,151,87,24,53,14183,1,1,1,1,1,1,2,5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,279,104,40,NA,2,5,NA,2,5,15,NA,NA,4,3,19,3,1,6,8,11,5,NA,NA,15,12,75,26,38,41,24924,NA,NA,NA,4,NA,NA,NA,1,6,11,1,1,1,1,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,335,164,50,NA,NA,11,NA,NA,2,3,NA,NA,2,1,6,1,NA,5,3,32,NA,2,2,3,15,202,15,3,51,772,1,NA,NA,1,NA,NA,NA,2,7,36,1,NA,2,NA,3,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,392,223,60,NA,1,8,NA,NA,NA,5,NA,NA,NA,4,1,NA,NA,5,7,22,2,NA,6,6,19,199,21,14,65,2175,NA,1,NA,NA,NA,NA,NA,2,3,10,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,450,280,70,NA,NA,3,NA,NA,NA,2,NA,NA,NA,6,3,NA,NA,NA,2,16,3,NA,4,4,20,335,NA,7,37,1217,1,NA,NA,3,NA,NA,NA,1,7,4,NA,1,NA,NA,6,NA,2,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,509,338,80,NA,NA,5,NA,NA,2,7,NA,NA,2,7,5,3,2,1,1,22,4,1,2,9,5,177,11,9,127,2643,NA,NA,1,NA,NA,NA,NA,NA,6,15,NA,NA,NA,NA,4,NA,2,1,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,569,396,90,NA,NA,5,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,7,2,2,1,3,2,283,7,6,14,512,1,NA,NA,NA,NA,NA,NA,1,3,4,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,629,452,100,NA,NA,5,NA,NA,NA,1,NA,NA,NA,3,4,1,NA,NA,1,21,1,NA,2,10,5,262,7,5,54,1434,NA,NA,NA,NA,1,NA,NA,2,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
592,690,507,110,NA,NA,2,NA,NA,1,3,NA,NA,NA,10,4,1,NA,1,5,16,2,NA,3,6,19,147,7,9,117,478,NA,NA,NA,NA,NA,NA,2,3,3,11,NA,NA,1,NA,7,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
