"age_NA","ageolder_BP","ageyounger_BP","depth","Spirogyra","Brassicaceae","Plantago coronopus-type","Artemisia","Lamiaceae","Aster-type","Olea europaea","Amaranthaceae","Rumex acetosa-type","Pinus sylvestris-type","Quercus pyrenaica-type","Rumex acetosella-type","Alnus","Urtica dioica-type","Quercus suber","Cichorioideae","Cyperaceae","Plantago lanceolata-type","Poaceae","Cistus ladanifer","Pinus pinaster","Salix","Cardueae","Quercus ilex-type","Zygnema-type","Mougeotia","Poaceae (Cerealia)"
NA,NA,NA,2,2,2,2,3,3,3,4,5,5,5,5,6,7,8,8,11,13,13,19,21,21,23,23,66,NA,NA,NA
NA,NA,NA,3,4,2,3,2,4,3,6,4,6,6,6,5,7,3,11,13,19,3,21,18,13,31,15,54,1,2,8
NA,NA,NA,4,11,1,3,2,4,8,22,4,6,7,5,6,4,4,4,28,33,7,30,13,13,19,13,42,6,7,13
NA,NA,NA,5,9,2,2,2,5,9,31,3,4,5,6,5,5,4,4,31,29,7,33,12,14,22,17,41,5,6,10
