"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Euphorbia","Plantago undiff.","Ranunculaceae","Carpinus betulus","Dipsacoideae","Poaceae (Cerealia-type)","Carthamus","Fabaceae","Caryophyllaceae","Quercus cerris-type","Apiaceae","Asteroideae","Sparganium-type","Unknown","Poaceae","Centaurea solstitialis-type","Pinus","Cyperaceae","Cichorioideae","Fagopyrum","Salix","Vitis","Brassicaceae","Galium-type","Ostrya/Carpinus orientalis","Amaranthaceae","Epilobium","Juglans","Geraniaceae","Rhinanthus-type","Artemisia herba-alba-type","Centaurea cyanus-type","Matricaria-type","Polygonum aviculare-type","Cirsium/Gundelia","cf. Centaurea","Ophioglossum","Boraginaceae","Rumex acetosa-type","Oleaceae","Silybum-type","Myriophyllum spicatum/M. verticillatum","Pseudopediastrum boryanum","Alisma","Sanguisorba-type","Juniperus","Noaea-type","Papaver","Bupleurum-type","Olea","Pteridium","Artemisia vulgaris-type","Hypericum","Potentilla-type","Plantago lanceolata-type","Fraxinus ornus","Cistaceae","Malvaceae","Phillyrea","Thymus/Mentha","Haplophyllum","Scrophularia/Verbascum","Thalictrum","Typha latifolia","Ulmus","Potamogeton","Campanulaceae","Asphodelus"
NA,NA,NA,60,1,1,1,1,1,1,1,1,2,3,5,9,12,15,15,30,32,40,76,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,150,1,NA,NA,NA,NA,NA,2,NA,2,1,5,7,12,9,13,33,16,15,65,24,1,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,90,NA,NA,NA,NA,1,NA,NA,4,1,1,3,6,3,6,10,13,3,15,107,15,NA,2,NA,1,1,NA,NA,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,NA,3,NA,NA,NA,NA,1,1,NA,6,4,5,5,8,12,9,18,55,187,23,NA,4,NA,NA,1,NA,1,NA,NA,1,NA,2,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,130,NA,NA,NA,NA,NA,NA,3,3,3,NA,6,10,8,32,10,42,16,14,54,13,NA,26,NA,6,NA,NA,4,NA,1,3,NA,3,NA,2,1,NA,NA,NA,1,1,2,2,6,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,NA,1,NA,NA,1,NA,3,1,5,NA,3,4,13,35,15,80,5,19,161,61,NA,2,1,1,NA,NA,2,NA,NA,NA,1,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,NA,NA,1,NA,NA,NA,3,1,1,2,5,1,2,31,11,70,NA,7,15,1,NA,5,NA,1,NA,NA,2,NA,2,NA,1,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,5,4,NA,NA,1,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,110,NA,NA,NA,NA,1,NA,1,3,6,2,9,10,6,70,19,90,2,9,53,17,NA,1,1,4,1,1,2,NA,NA,NA,NA,5,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,140,NA,NA,NA,1,NA,NA,2,5,3,NA,9,14,10,25,19,48,20,25,142,37,NA,6,NA,1,2,NA,4,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA
NA,NA,NA,160,NA,1,NA,1,NA,6,4,1,3,2,18,3,21,35,18,93,12,28,89,89,NA,NA,NA,NA,NA,1,4,NA,NA,1,1,4,NA,3,2,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,2,2
